                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                   0.0000             0.000000E+00            -1.373715E+01            -2.472423E+00
                   0.1800            -3.394677E-04            -1.373707E+01             7.577973E+00
                   0.3600            -6.789309E-04            -1.373679E+01             1.496974E+01
                   0.5400            -1.018385E-03            -1.373634E+01             2.236237E+01
                   0.7200            -1.357826E-03            -1.373570E+01             2.975535E+01
                   0.9000            -1.697248E-03            -1.373487E+01             3.714693E+01
                   1.0800            -2.036648E-03            -1.373387E+01             4.453690E+01
                   1.2600            -2.376021E-03            -1.373268E+01             5.192655E+01
                   1.4400            -2.715363E-03            -1.373131E+01             5.931474E+01
                   1.6200            -3.054668E-03            -1.372976E+01             6.670150E+01
                   1.8000            -3.393932E-03            -1.372802E+01             7.408629E+01
                   1.9800            -3.733152E-03            -1.372611E+01             8.146973E+01
                   2.1600            -4.072322E-03            -1.372401E+01             8.885099E+01
                   2.3400            -4.411437E-03            -1.372172E+01             9.623028E+01
                   2.5200            -4.750494E-03            -1.371926E+01             1.036072E+02
                   2.7000            -5.089488E-03            -1.371661E+01             1.109816E+02
                   2.8800            -5.428414E-03            -1.371378E+01             1.183534E+02
                   3.0600            -5.767269E-03            -1.371077E+01             1.257223E+02
                   3.2400            -6.106046E-03            -1.370758E+01             1.330881E+02
                   3.4200            -6.444742E-03            -1.370420E+01             1.404508E+02
                   3.6000            -6.783353E-03            -1.370065E+01             1.478101E+02
                   3.7800            -7.121873E-03            -1.369691E+01             1.551659E+02
                   3.9600            -7.460299E-03            -1.369299E+01             1.625179E+02
                   4.1400            -7.798626E-03            -1.368889E+01             1.698661E+02
                   4.3200            -8.136849E-03            -1.368460E+01             1.772101E+02
                   4.5000            -8.474964E-03            -1.368014E+01             1.845499E+02
                   4.6800            -8.812966E-03            -1.367549E+01             1.918853E+02
                   4.8600            -9.150851E-03            -1.367066E+01             1.992161E+02
                   5.0400            -9.488615E-03            -1.366565E+01             2.065421E+02
                   5.2200            -9.826253E-03            -1.366046E+01             2.138632E+02
                   5.4000            -1.016376E-02            -1.365509E+01             2.211792E+02
                   5.5800            -1.050113E-02            -1.364954E+01             2.284898E+02
                   5.7600            -1.083836E-02            -1.364381E+01             2.357950E+02
                   5.9400            -1.117545E-02            -1.363790E+01             2.430945E+02
                   6.1200            -1.151239E-02            -1.363180E+01             2.503883E+02
                   6.3000            -1.184918E-02            -1.362553E+01             2.576760E+02
                   6.4800            -1.218581E-02            -1.361908E+01             2.649576E+02
                   6.6600            -1.252228E-02            -1.361244E+01             2.722328E+02
                   6.8400            -1.285858E-02            -1.360563E+01             2.795016E+02
                   7.0200            -1.319472E-02            -1.359864E+01             2.867636E+02
                   7.2000            -1.353067E-02            -1.359147E+01             2.940189E+02
                   7.3800            -1.386645E-02            -1.358412E+01             3.012671E+02
                   7.5600            -1.420205E-02            -1.357659E+01             3.085081E+02
                   7.7400            -1.453745E-02            -1.356888E+01             3.157418E+02
                   7.9200            -1.487266E-02            -1.356099E+01             3.229679E+02
                   8.1000            -1.520768E-02            -1.355292E+01             3.301864E+02
                   8.2800            -1.554249E-02            -1.354468E+01             3.373970E+02
                   8.4600            -1.587710E-02            -1.353626E+01             3.445996E+02
                   8.6400            -1.621150E-02            -1.352766E+01             3.517939E+02
                   8.8200            -1.654568E-02            -1.351888E+01             3.589799E+02
                   9.0000            -1.687965E-02            -1.350993E+01             3.661574E+02
                   9.1800            -1.721339E-02            -1.350079E+01             3.733262E+02
                   9.3600            -1.754690E-02            -1.349148E+01             3.804861E+02
                   9.5400            -1.788018E-02            -1.348200E+01             3.876370E+02
                   9.7200            -1.821323E-02            -1.347233E+01             3.947787E+02
                   9.9000            -1.854603E-02            -1.346249E+01             4.019110E+02
                  10.0800            -1.887859E-02            -1.345248E+01             4.090339E+02
                  10.2600            -1.921089E-02            -1.344229E+01             4.161470E+02
                  10.4400            -1.954295E-02            -1.343192E+01             4.232503E+02
                  10.6200            -1.987474E-02            -1.342138E+01             4.303436E+02
                  10.8000            -2.020628E-02            -1.341066E+01             4.374267E+02
                  10.9800            -2.053754E-02            -1.339977E+01             4.444994E+02
                  11.1600            -2.086854E-02            -1.338870E+01             4.515617E+02
                  11.3400            -2.119926E-02            -1.337746E+01             4.586134E+02
                  11.5200            -2.152970E-02            -1.336604E+01             4.656542E+02
                  11.7000            -2.185985E-02            -1.335445E+01             4.726840E+02
                  11.8800            -2.218972E-02            -1.334269E+01             4.797027E+02
                  12.0600            -2.251929E-02            -1.333075E+01             4.867101E+02
                  12.2400            -2.284857E-02            -1.331864E+01             4.937061E+02
                  12.4200            -2.317754E-02            -1.330636E+01             5.006905E+02
                  12.6000            -2.350621E-02            -1.329391E+01             5.076631E+02
                  12.7800            -2.383457E-02            -1.328128E+01             5.146238E+02
                  12.9600            -2.416262E-02            -1.326848E+01             5.215724E+02
                  13.1400            -2.449034E-02            -1.325551E+01             5.285089E+02
                  13.3200            -2.481775E-02            -1.324237E+01             5.354329E+02
                  13.5000            -2.514482E-02            -1.322906E+01             5.423444E+02
                  13.6800            -2.547157E-02            -1.321557E+01             5.492432E+02
                  13.8600            -2.579798E-02            -1.320192E+01             5.561292E+02
