                   Degree          P_inst_total[W]  P_inst_total_no_loss[W]              P_f_loss[W]            P_thr_loss[W]          P_inertia_ro[W]          P_inertia_vh[W]                 P_com[W]              P_bear_s[W]
                   0.0000             6.919533E+01             4.817295E-02             6.914716E+01             3.756145E+05             4.144758E-02             1.246734E-04             6.600703E-03             1.142007E+01
                   0.1800             6.933858E+01            -1.070037E-01             6.944558E+01             3.756145E+05            -1.270361E-01            -3.821216E-04             2.041455E-02             1.141591E+01
                   0.3600             6.925412E+01            -1.878514E-01             6.944197E+01             3.756144E+05            -2.509464E-01            -7.548386E-04             6.384988E-02             1.142240E+01
                   0.5400             6.916781E+01            -2.687452E-01             6.943655E+01             3.756144E+05            -3.748628E-01            -1.127569E-03             1.072451E-01             1.142737E+01
                   0.7200             6.908094E+01            -3.497653E-01             6.943071E+01             3.756144E+05            -4.987722E-01            -1.500273E-03             1.505072E-01             1.143114E+01
                   0.9000             6.899361E+01            -4.308950E-01             6.942451E+01             3.756144E+05            -6.226413E-01            -1.872846E-03             1.936192E-01             1.143353E+01
                   1.0800             6.890557E+01            -5.121249E-01             6.941770E+01             3.756144E+05            -7.464624E-01            -2.245264E-03             2.365827E-01             1.143424E+01
                   1.2600             6.881655E+01            -5.934659E-01             6.941002E+01             3.756144E+05            -8.702528E-01            -2.617577E-03             2.794045E-01             1.143302E+01
                   1.4400             6.872643E+01            -6.748864E-01             6.940132E+01             3.756144E+05            -9.939891E-01            -2.989711E-03             3.220924E-01             1.142975E+01
                   1.6200             6.863528E+01            -7.563743E-01             6.939166E+01             3.756144E+05            -1.117668E+00            -3.361655E-03             3.646551E-01             1.142452E+01
                   1.8000             6.854337E+01            -8.379071E-01             6.938128E+01             3.756144E+05            -1.241275E+00            -3.733365E-03             4.071016E-01             1.141762E+01
                   1.9800             6.845120E+01            -9.194816E-01             6.937068E+01             3.756144E+05            -1.364818E+00            -4.104859E-03             4.494414E-01             1.140958E+01
                   2.1600             6.835949E+01            -1.001070E+00             6.936056E+01             3.756144E+05            -1.488278E+00            -4.476079E-03             4.916844E-01             1.140111E+01
                   2.3400             6.826909E+01            -1.082661E+00             6.935175E+01             3.756144E+05            -1.611654E+00            -4.847022E-03             5.338408E-01             1.139310E+01
                   2.5200             6.818091E+01            -1.164233E+00             6.934514E+01             3.756144E+05            -1.734937E+00            -5.217653E-03             5.759213E-01             1.138649E+01
                   2.7000             6.812800E+01            -1.245768E+00             6.937377E+01             3.756144E+05            -1.858117E+00            -5.587949E-03             6.179368E-01             1.138214E+01
                   2.8800             6.809890E+01            -1.327251E+00             6.942615E+01             3.756144E+05            -1.981191E+00            -5.957892E-03             6.598982E-01             1.138075E+01
                   3.0600             6.807335E+01            -1.408660E+00             6.948201E+01             3.756144E+05            -2.104149E+00            -6.327449E-03             7.018162E-01             1.138270E+01
