                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                   0.0000            -9.328699E-01            -4.900180E+01             3.919351E+00             5.441871E+00             1.522519E+00             2.009566E+01             2.015325E+01
                   0.1800            -2.785894E+00            -5.172138E+01             2.753736E+00             4.351822E+00             1.605331E+00             2.147529E+01             2.153521E+01
                   0.3600            -3.154040E+00            -5.171637E+01             2.433645E+00             4.315199E+00             1.895983E+00             2.153149E+01             2.161480E+01
                   0.5400            -3.517132E+00            -5.170683E+01             2.116749E+00             4.283175E+00             2.187968E+00             2.158669E+01             2.169729E+01
                   0.7200            -3.877501E+00            -5.169734E+01             1.801800E+00             4.253944E+00             2.480721E+00             2.164292E+01             2.178463E+01
                   0.9000            -4.236012E+00            -5.168967E+01             1.488360E+00             4.226784E+00             2.773955E+00             2.170093E+01             2.187751E+01
                   1.0800            -4.593024E+00            -5.168449E+01             1.176235E+00             4.201414E+00             3.067575E+00             2.176095E+01             2.197610E+01
                   1.2600            -4.948735E+00            -5.168205E+01             8.652945E-01             4.177720E+00             3.361596E+00             2.182298E+01             2.208037E+01
                   1.4400            -5.303159E+00            -5.168241E+01             5.555475E-01             4.155653E+00             3.655956E+00             2.188694E+01             2.219018E+01
                   1.6200            -5.656322E+00            -5.168558E+01             2.469762E-01             4.135194E+00             3.950650E+00             2.195273E+01             2.230538E+01
                   1.8000            -6.008216E+00            -5.169152E+01            -6.040788E-02             4.116329E+00             4.245652E+00             2.202022E+01             2.242578E+01
                   1.9800            -6.358872E+00            -5.170022E+01            -3.666354E-01             4.099053E+00             4.540985E+00             2.208927E+01             2.255120E+01
                   2.1600            -6.708263E+00            -5.171163E+01            -6.716792E-01             4.083359E+00             4.836615E+00             2.215977E+01             2.268145E+01
                   2.3400            -7.056400E+00            -5.172573E+01            -9.755524E-01             4.069245E+00             5.132551E+00             2.223158E+01             2.281635E+01
                   2.5200            -7.403272E+00            -5.174247E+01            -1.278244E+00             4.056706E+00             5.428778E+00             2.230455E+01             2.295571E+01
                   2.7000            -7.748874E+00            -5.176183E+01            -1.579750E+00             4.045738E+00             5.725290E+00             2.237857E+01             2.309934E+01
                   2.8800            -8.093208E+00            -5.178376E+01            -1.880074E+00             4.036338E+00             6.022089E+00             2.245349E+01             2.324704E+01
                   3.0600            -8.436261E+00            -5.180824E+01            -2.179205E+00             4.028502E+00             6.319161E+00             2.252919E+01             2.339864E+01
                   3.2400            -8.778035E+00            -5.183523E+01            -2.477145E+00             4.022227E+00             6.616509E+00             2.260553E+01             2.355394E+01
                   3.4200            -9.118530E+00            -5.186469E+01            -2.773894E+00             4.017507E+00             6.914131E+00             2.268238E+01             2.371277E+01
