                   Degree                dmdtheta1                dedtheta1                dvdtheta1
                   0.0000            -5.333487E-09            -2.293686E-03             1.687538E-08
                   0.1800            -4.625654E-05            -2.028536E+01             1.530650E-08
                   0.3600            -4.617716E-05            -2.034388E+01             1.379477E-08
                   0.5400            -4.612199E-05            -2.035561E+01             1.234003E-08
                   0.7200            -4.607912E-05            -2.035025E+01             1.094235E-08
                   0.9000            -4.604379E-05            -2.033953E+01             9.601763E-09
                   1.0800            -4.601403E-05            -2.032796E+01             8.318251E-09
                   1.2600            -4.598894E-05            -2.031723E+01             7.091855E-09
                   1.4400            -4.596805E-05            -2.030794E+01             5.922565E-09
                   1.6200            -4.595105E-05            -2.030025E+01             4.810430E-09
                   1.8000            -4.593770E-05            -2.029418E+01             3.755436E-09
                   1.9800            -4.592778E-05            -2.028967E+01             2.757605E-09
                   2.1600            -4.592109E-05            -2.028665E+01             1.816955E-09
                   2.3400            -4.591743E-05            -2.028504E+01             9.334895E-10
                   2.5200            -4.591661E-05            -2.028474E+01             1.072292E-10
                   2.7000            -4.591842E-05            -2.028567E+01            -6.618297E-10
                   2.8800            -4.592268E-05            -2.028774E+01            -1.373678E-09
                   3.0600            -4.592920E-05            -2.029085E+01            -2.028297E-09
                   3.2400            -4.593778E-05            -2.029493E+01            -2.625690E-09
                   3.4200            -4.594823E-05            -2.029988E+01            -3.165846E-09
                   3.6000            -4.596036E-05            -2.030561E+01            -3.648757E-09
                   3.7800            -4.597399E-05            -2.031204E+01            -4.074428E-09
                   3.9600            -4.598891E-05            -2.031908E+01            -4.442850E-09
                   4.1400            -4.600494E-05            -2.032663E+01            -4.754022E-09
                   4.3200            -4.602189E-05            -2.033461E+01            -5.007941E-09
                   4.5000            -4.603957E-05            -2.034294E+01            -5.204611E-09
                   4.6800            -4.605778E-05            -2.035151E+01            -5.344028E-09
                   4.8600            -4.607633E-05            -2.036025E+01            -5.426196E-09
                   5.0400            -4.609502E-05            -2.036906E+01            -5.451112E-09
                   5.2200            -4.611366E-05            -2.037785E+01            -5.418788E-09
                   5.4000            -4.613207E-05            -2.038653E+01            -5.329219E-09
                   5.5800            -4.615003E-05            -2.039501E+01            -5.182413E-09
                   5.7600            -4.616736E-05            -2.040320E+01            -4.978380E-09
                   5.9400            -4.618385E-05            -2.041101E+01            -4.717123E-09
                   6.1200            -4.619932E-05            -2.041834E+01            -4.398649E-09
                   6.3000            -4.621355E-05            -2.042511E+01            -4.022966E-09
                   6.4800            -4.622636E-05            -2.043121E+01            -3.590085E-09
                   6.6600            -4.623755E-05            -2.043657E+01            -3.100015E-09
                   6.8400            -4.624692E-05            -2.044109E+01            -2.552768E-09
                   7.0200            -4.625426E-05            -2.044467E+01            -1.948358E-09
                   7.2000            -4.625938E-05            -2.044722E+01            -1.286794E-09
                   7.3800            -4.626209E-05            -2.044866E+01            -5.680897E-10
                   7.5600            -4.626218E-05            -2.044888E+01             2.077388E-10
                   7.7400            -4.625947E-05            -2.044780E+01             1.040674E-09
                   7.9200            -4.625374E-05            -2.044533E+01             1.930704E-09
                   8.1000            -4.624482E-05            -2.044138E+01             2.877808E-09
                   8.2800            -4.623251E-05            -2.043586E+01             3.881968E-09
                   8.4600            -4.621662E-05            -2.042867E+01             4.943168E-09
                   8.6400            -4.619695E-05            -2.041975E+01             6.061384E-09
                   8.8200            -4.617334E-05            -2.040898E+01             7.236601E-09
                   9.0000            -4.614558E-05            -2.039630E+01             8.468791E-09
                   9.1800            -4.611351E-05            -2.038163E+01             9.757934E-09
                   9.3600            -4.607695E-05            -2.036487E+01             1.110401E-08
                   9.5400            -4.603573E-05            -2.034595E+01             1.250699E-08
                   9.7200            -4.598968E-05            -2.032479E+01             1.396685E-08
                   9.9000            -4.593863E-05            -2.030133E+01             1.548356E-08
                  10.0800            -4.588244E-05            -2.027548E+01             1.705710E-08
                  10.2600            -4.582094E-05            -2.024718E+01             1.868745E-08
                  10.4400            -4.575399E-05            -2.021636E+01             2.037456E-08
                  10.6200            -4.568146E-05            -2.018296E+01             2.211842E-08
                  10.8000            -4.560320E-05            -2.014691E+01             2.391898E-08
                  10.9800            -4.551910E-05            -2.010817E+01             2.577623E-08
                  11.1600            -4.542903E-05            -2.006667E+01             2.769013E-08
                  11.3400            -4.533288E-05            -2.002237E+01             2.966064E-08
                  11.5200            -4.523056E-05            -1.997522E+01             3.168773E-08
                  11.7000            -4.512195E-05            -1.992519E+01             3.377137E-08
                  11.8800            -4.500698E-05            -1.987222E+01             3.591152E-08
                  12.0600            -4.488558E-05            -1.981630E+01             3.810815E-08
                  12.2400            -4.475766E-05            -1.975739E+01             4.036122E-08
                  12.4200            -4.462318E-05            -1.969546E+01             4.267068E-08
                  12.6000            -4.448208E-05            -1.963051E+01             4.503651E-08
                  12.7800            -4.433433E-05            -1.956250E+01             4.745866E-08
                  12.9600            -4.417989E-05            -1.949145E+01             4.993709E-08
                  13.1400            -4.401875E-05            -1.941733E+01             5.247175E-08
                  13.3200            -4.385090E-05            -1.934015E+01             5.506262E-08
                  13.5000            -4.367633E-05            -1.925991E+01             5.770964E-08
                  13.6800            -4.349507E-05            -1.917663E+01             6.041277E-08
                  13.8600            -4.330713E-05            -1.909032E+01             6.317197E-08
                  14.0400            -4.311255E-05            -1.900099E+01             6.598718E-08
                  14.2200            -4.291136E-05            -1.890868E+01             6.885837E-08
                  14.4000            -4.270363E-05            -1.881341E+01             7.178549E-08
                  14.5800            -4.248941E-05            -1.871522E+01             7.476848E-08
                  14.7600            -4.226878E-05            -1.861414E+01             7.780731E-08
                  14.9400            -4.204182E-05            -1.851022E+01             8.090191E-08
                  15.1200            -4.180863E-05            -1.840350E+01             8.405224E-08
                  15.3000            -4.156930E-05            -1.829404E+01             8.725825E-08
                  15.4800            -4.132395E-05            -1.818190E+01             9.051988E-08
                  15.6600            -4.107269E-05            -1.806712E+01             9.383709E-08
                  15.8400            -4.081565E-05            -1.794978E+01             9.720981E-08
                  16.0200            -4.055298E-05            -1.782995E+01             1.006380E-07
                  16.2000            -4.028480E-05            -1.770769E+01             1.041216E-07
                  16.3800            -4.001128E-05            -1.758308E+01             1.076605E-07
                  16.5600            -3.973256E-05            -1.745619E+01             1.112548E-07
