                   Degree          P_inst_total[W]  P_inst_total_no_loss[W]              P_f_loss[W]            P_thr_loss[W]          P_inertia_ro[W]          P_inertia_vh[W]                 P_com[W]              P_bear_s[W]
                   7.5600             7.590445E+01            -6.067568E+00             8.197202E+01             0.000000E+00            -8.039122E+00            -2.413997E-02             1.995695E+00             1.120658E+01
                   7.7400             7.584248E+01            -6.206756E+00             8.204924E+01             0.000000E+00            -8.223626E+00            -2.469196E-02             2.041562E+00             1.119785E+01
                   7.9200             7.578154E+01            -6.345581E+00             8.212712E+01             0.000000E+00            -8.407656E+00            -2.524238E-02             2.087317E+00             1.118970E+01
                   8.1000             7.572201E+01            -6.484030E+00             8.220604E+01             0.000000E+00            -8.591200E+00            -2.579121E-02             2.132961E+00             1.118252E+01
                   8.2800             7.566417E+01            -6.622096E+00             8.228626E+01             0.000000E+00            -8.774251E+00            -2.633841E-02             2.178493E+00             1.117660E+01
                   8.4600             7.560818E+01            -6.759765E+00             8.236795E+01             0.000000E+00            -8.956795E+00            -2.688394E-02             2.223914E+00             1.117213E+01
                   8.6400             7.555414E+01            -6.897028E+00             8.245117E+01             0.000000E+00            -9.138824E+00            -2.742777E-02             2.269223E+00             1.116920E+01
                   8.8200             7.550204E+01            -7.033875E+00             8.253592E+01             0.000000E+00            -9.320327E+00            -2.796987E-02             2.314422E+00             1.116781E+01
                   9.0000             7.545179E+01            -7.170294E+00             8.262209E+01             0.000000E+00            -9.501294E+00            -2.851020E-02             2.359511E+00             1.116790E+01
                   9.1800             7.540326E+01            -7.306274E+00             8.270953E+01             0.000000E+00            -9.681715E+00            -2.904874E-02             2.404490E+00             1.116931E+01
                   9.3600             7.535624E+01            -7.441804E+00             8.279804E+01             0.000000E+00            -9.861579E+00            -2.958544E-02             2.449360E+00             1.117189E+01
                   9.5400             7.531052E+01            -7.576873E+00             8.288740E+01             0.000000E+00            -1.004088E+01            -3.012028E-02             2.494123E+00             1.117541E+01
                   9.7200             7.526589E+01            -7.711471E+00             8.297736E+01             0.000000E+00            -1.021960E+01            -3.065322E-02             2.538779E+00             1.117966E+01
                   9.9000             7.522211E+01            -7.845585E+00             8.306770E+01             0.000000E+00            -1.039773E+01            -3.118423E-02             2.583330E+00             1.118443E+01
                  10.0800             7.517898E+01            -7.979204E+00             8.315819E+01             0.000000E+00            -1.057527E+01            -3.171328E-02             2.627778E+00             1.118952E+01
                  10.2600             7.513632E+01            -8.112318E+00             8.324863E+01             0.000000E+00            -1.075220E+01            -3.224033E-02             2.672122E+00             1.119474E+01
                  10.4400             7.509395E+01            -8.244913E+00             8.333886E+01             0.000000E+00            -1.092851E+01            -3.276536E-02             2.716367E+00             1.119994E+01
                  10.6200             7.505174E+01            -8.376978E+00             8.342872E+01             0.000000E+00            -1.110420E+01            -3.328833E-02             2.760512E+00             1.120498E+01
                  10.8000             7.500959E+01            -8.508502E+00             8.351810E+01             0.000000E+00            -1.127925E+01            -3.380920E-02             2.804561E+00             1.120978E+01
                  10.9800             7.496743E+01            -8.639473E+00             8.360690E+01             0.000000E+00            -1.145366E+01            -3.432796E-02             2.848515E+00             1.121425E+01
                  11.1600             7.492519E+01            -8.769878E+00             8.369507E+01             0.000000E+00            -1.162741E+01            -3.484457E-02             2.892377E+00             1.121834E+01
                  11.3400             7.488285E+01            -8.899706E+00             8.378256E+01             0.000000E+00            -1.180050E+01            -3.535899E-02             2.936150E+00             1.122204E+01
                  11.5200             7.484040E+01            -9.028944E+00             8.386935E+01             0.000000E+00            -1.197291E+01            -3.587120E-02             2.979835E+00             1.122531E+01
                  11.7000             7.479783E+01            -9.157581E+00             8.395542E+01             0.000000E+00            -1.214463E+01            -3.638116E-02             3.023435E+00             1.122818E+01
                  11.8800             7.475516E+01            -9.285603E+00             8.404076E+01             0.000000E+00            -1.231567E+01            -3.688885E-02             3.066954E+00             1.123064E+01
                  12.0600             7.471240E+01            -9.412998E+00             8.412540E+01             0.000000E+00            -1.248600E+01            -3.739423E-02             3.110395E+00             1.123272E+01
                  12.2400             7.466957E+01            -9.539754E+00             8.420933E+01             0.000000E+00            -1.265562E+01            -3.789728E-02             3.153759E+00             1.123442E+01
                  12.4200             7.462670E+01            -9.665858E+00             8.429255E+01             0.000000E+00            -1.282451E+01            -3.839796E-02             3.197052E+00             1.123578E+01
                  12.6000             7.458379E+01            -9.791298E+00             8.437509E+01             0.000000E+00            -1.299268E+01            -3.889625E-02             3.240276E+00             1.123680E+01
                  12.7800             7.454087E+01            -9.916061E+00             8.445693E+01             0.000000E+00            -1.316010E+01            -3.939212E-02             3.283433E+00             1.123749E+01
                  12.9600             7.449795E+01            -1.004013E+01             8.453808E+01             0.000000E+00            -1.332678E+01            -3.988553E-02             3.326529E+00             1.123787E+01
                  13.1400             7.445503E+01            -1.016351E+01             8.461853E+01             0.000000E+00            -1.349270E+01            -4.037646E-02             3.369566E+00             1.123793E+01
                  13.3200             7.441211E+01            -1.028616E+01             8.469827E+01             0.000000E+00            -1.365785E+01            -4.086488E-02             3.412548E+00             1.123766E+01
                  13.5000             7.436918E+01            -1.040809E+01             8.477727E+01             0.000000E+00            -1.382222E+01            -4.135076E-02             3.455479E+00             1.123705E+01
                  13.6800             7.432624E+01            -1.052928E+01             8.485552E+01             0.000000E+00            -1.398581E+01            -4.183408E-02             3.498362E+00             1.123609E+01
                  13.8600             7.428326E+01            -1.064972E+01             8.493298E+01             0.000000E+00            -1.414861E+01            -4.231480E-02             3.541202E+00             1.123473E+01
                  14.0400             7.424023E+01            -1.076939E+01             8.500962E+01             0.000000E+00            -1.431060E+01            -4.279290E-02             3.584001E+00             1.123296E+01
                  14.2200             7.419712E+01            -1.088828E+01             8.508541E+01             0.000000E+00            -1.447178E+01            -4.326835E-02             3.626764E+00             1.123074E+01
                  14.4000             7.415393E+01            -1.100639E+01             8.516031E+01             0.000000E+00            -1.463214E+01            -4.374112E-02             3.669494E+00             1.122804E+01
                  14.5800             7.411062E+01            -1.112369E+01             8.523431E+01             0.000000E+00            -1.479167E+01            -4.421119E-02             3.712196E+00             1.122484E+01
                  14.7600             7.406720E+01            -1.124018E+01             8.530738E+01             0.000000E+00            -1.495037E+01            -4.467852E-02             3.754872E+00             1.122112E+01
                  14.9400             7.402368E+01            -1.135584E+01             8.537951E+01             0.000000E+00            -1.510822E+01            -4.514310E-02             3.797527E+00             1.121687E+01
                  15.1200             7.398008E+01            -1.147066E+01             8.545073E+01             0.000000E+00            -1.526522E+01            -4.560490E-02             3.840164E+00             1.121210E+01
                  15.3000             7.393644E+01            -1.158463E+01             8.552106E+01             0.000000E+00            -1.542135E+01            -4.606388E-02             3.882786E+00             1.120684E+01
                  15.4800             7.389284E+01            -1.169774E+01             8.559057E+01             0.000000E+00            -1.557661E+01            -4.652004E-02             3.925397E+00             1.120115E+01
                  15.6600             7.384937E+01            -1.180997E+01             8.565934E+01             0.000000E+00            -1.573100E+01            -4.697333E-02             3.968001E+00             1.119512E+01
                  15.8400             7.380618E+01            -1.192132E+01             8.572750E+01             0.000000E+00            -1.588450E+01            -4.742373E-02             4.010600E+00             1.118885E+01
                  16.0200             7.376342E+01            -1.203177E+01             8.579520E+01             0.000000E+00            -1.603710E+01            -4.787122E-02             4.053198E+00             1.118251E+01
                  16.2000             7.372131E+01            -1.214132E+01             8.586263E+01             0.000000E+00            -1.618880E+01            -4.831578E-02             4.095797E+00             1.117627E+01
                  16.3800             7.368006E+01            -1.224995E+01             8.593001E+01             0.000000E+00            -1.633959E+01            -4.875738E-02             4.138401E+00             1.117034E+01
                  16.5600             7.363993E+01            -1.235765E+01             8.599758E+01             0.000000E+00            -1.648947E+01            -4.919599E-02             4.181013E+00             1.116497E+01
                  16.7400             7.360119E+01            -1.246441E+01             8.606560E+01             0.000000E+00            -1.663841E+01            -4.963160E-02             4.223634E+00             1.116039E+01
                  16.9200             7.356411E+01            -1.257022E+01             8.613433E+01             0.000000E+00            -1.678642E+01            -5.006417E-02             4.266267E+00             1.115687E+01
                  17.1000             7.352896E+01            -1.267508E+01             8.620404E+01             0.000000E+00            -1.693350E+01            -5.049369E-02             4.308914E+00             1.115465E+01
                  17.2800             7.349598E+01            -1.277896E+01             8.627494E+01             0.000000E+00            -1.707962E+01            -5.092013E-02             4.351578E+00             1.115396E+01
                  17.4600             7.346535E+01            -1.288187E+01             8.634722E+01             0.000000E+00            -1.722478E+01            -5.134347E-02             4.394260E+00             1.115496E+01
                  17.6400             7.343723E+01            -1.298379E+01             8.642102E+01             0.000000E+00            -1.736899E+01            -5.176369E-02             4.436962E+00             1.115778E+01
                  17.8200             7.341167E+01            -1.308471E+01             8.649638E+01             0.000000E+00            -1.751222E+01            -5.218076E-02             4.479686E+00             1.116246E+01
                  18.0000             7.338864E+01            -1.318463E+01             8.657328E+01             0.000000E+00            -1.765447E+01            -5.259466E-02             4.522432E+00             1.116896E+01
                  18.1800             7.336803E+01            -1.328354E+01             8.665157E+01             0.000000E+00            -1.779574E+01            -5.300537E-02             4.565202E+00             1.117713E+01
                  18.3600             7.334961E+01            -1.338143E+01             8.673104E+01             0.000000E+00            -1.793601E+01            -5.341287E-02             4.607997E+00             1.118674E+01
                  18.5400             7.333307E+01            -1.347829E+01             8.681135E+01             0.000000E+00            -1.807529E+01            -5.381714E-02             4.650817E+00             1.119745E+01
                  18.7200             7.331799E+01            -1.357411E+01             8.689210E+01             0.000000E+00            -1.821355E+01            -5.421816E-02             4.693663E+00             1.120884E+01
                  18.9000             7.330392E+01            -1.366889E+01             8.697281E+01             0.000000E+00            -1.835081E+01            -5.461590E-02             4.736535E+00             1.122042E+01
                  19.0800             7.329032E+01            -1.376262E+01             8.705294E+01             0.000000E+00            -1.848704E+01            -5.501035E-02             4.779434E+00             1.123165E+01
                  19.2600             7.327667E+01            -1.385529E+01             8.713197E+01             0.000000E+00            -1.862225E+01            -5.540148E-02             4.822359E+00             1.124199E+01
                  19.4400             7.326245E+01            -1.394691E+01             8.720935E+01             0.000000E+00            -1.875643E+01            -5.578928E-02             4.865311E+00             1.125089E+01
                  19.6200             7.324719E+01            -1.403745E+01             8.728463E+01             0.000000E+00            -1.888956E+01            -5.617373E-02             4.908287E+00             1.125788E+01
                  19.8000             7.323050E+01            -1.412691E+01             8.735741E+01             0.000000E+00            -1.902165E+01            -5.655480E-02             4.951289E+00             1.126255E+01
                  19.9800             7.321210E+01            -1.421530E+01             8.742740E+01             0.000000E+00            -1.915268E+01            -5.693248E-02             4.994316E+00             1.126460E+01
                  20.1600             7.319185E+01            -1.430260E+01             8.749445E+01             0.000000E+00            -1.928266E+01            -5.730676E-02             5.037365E+00             1.126388E+01
                  20.3400             7.316973E+01            -1.438881E+01             8.755854E+01             0.000000E+00            -1.941157E+01            -5.767760E-02             5.080437E+00             1.126037E+01
                  20.5200             7.314591E+01            -1.447392E+01             8.761983E+01             0.000000E+00            -1.953941E+01            -5.804500E-02             5.123530E+00             1.125419E+01
                  20.7000             7.312065E+01            -1.455793E+01             8.767859E+01             0.000000E+00            -1.966617E+01            -5.840893E-02             5.166643E+00             1.124562E+01
                  20.8800             7.309440E+01            -1.464084E+01             8.773524E+01             0.000000E+00            -1.979184E+01            -5.876938E-02             5.209773E+00             1.123507E+01
                  21.0600             7.306766E+01            -1.472264E+01             8.779030E+01             0.000000E+00            -1.991643E+01            -5.912633E-02             5.252920E+00             1.122306E+01
                  21.2400             7.304105E+01            -1.480332E+01             8.784437E+01             0.000000E+00            -2.003992E+01            -5.947977E-02             5.296082E+00             1.121017E+01
                  21.4200             7.301521E+01            -1.488289E+01             8.789810E+01             0.000000E+00            -2.016231E+01            -5.982968E-02             5.339257E+00             1.119705E+01
                  21.6000             7.299081E+01            -1.496133E+01             8.795214E+01             0.000000E+00            -2.028360E+01            -6.017603E-02             5.382442E+00             1.118434E+01
                  21.7800             7.296846E+01            -1.503865E+01             8.800711E+01             0.000000E+00            -2.040377E+01            -6.051883E-02             5.425635E+00             1.117266E+01
                  21.9600             7.294873E+01            -1.511484E+01             8.806358E+01             0.000000E+00            -2.052282E+01            -6.085804E-02             5.468835E+00             1.116257E+01
                  22.1400             7.293211E+01            -1.518990E+01             8.812202E+01             0.000000E+00            -2.064075E+01            -6.119366E-02             5.512039E+00             1.115453E+01
                  22.3200             7.291896E+01            -1.526383E+01             8.818279E+01             0.000000E+00            -2.075755E+01            -6.152567E-02             5.555245E+00             1.114890E+01
                  22.5000             7.290952E+01            -1.533662E+01             8.824614E+01             0.000000E+00            -2.087321E+01            -6.185405E-02             5.598449E+00             1.114592E+01
