                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                   0.0000             7.752234E-02             5.942544E-04             1.787505E-06             4.541730E-05             6.414592E-04             4.862155E-01             7.718903E-02             4.868569E-01
                   0.1800             7.931714E-02            -1.821380E-03            -5.478666E-06             2.572653E-04            -1.569593E-03             4.873159E-01             7.698431E-02             4.857463E-01
                   0.3600             7.949285E-02            -3.597943E-03            -1.082249E-05             5.903496E-04            -3.018416E-03             4.871919E-01             7.695363E-02             4.841735E-01
                   0.5400             7.968120E-02            -5.374592E-03            -1.616652E-05             9.228442E-04            -4.467915E-03             4.870875E-01             7.692843E-02             4.826196E-01
                   0.7200             7.988299E-02            -7.151143E-03            -2.151015E-05             1.254657E-03            -5.917997E-03             4.870047E-01             7.690976E-02             4.810867E-01
                   0.9000             8.009843E-02            -8.927116E-03            -2.685192E-05             1.585756E-03            -7.368212E-03             4.869444E-01             7.689851E-02             4.795762E-01
                   1.0800             8.032748E-02            -1.070240E-02            -3.219146E-05             1.916141E-03            -8.818450E-03             4.869076E-01             7.689553E-02             4.780891E-01
                   1.2600             8.056996E-02            -1.247724E-02            -3.752949E-05             2.245825E-03            -1.026895E-02             4.868945E-01             7.690134E-02             4.766255E-01
                   1.4400             8.082554E-02            -1.425131E-02            -4.286497E-05             2.574830E-03            -1.171935E-02             4.869048E-01             7.691603E-02             4.751855E-01
                   1.6200             8.109388E-02            -1.602455E-02            -4.819770E-05             2.903183E-03            -1.316957E-02             4.869380E-01             7.693926E-02             4.737685E-01
                   1.8000             8.137459E-02            -1.779678E-02            -5.352710E-05             3.230912E-03            -1.461939E-02             4.872878E-01             7.697021E-02             4.726685E-01
                   1.9800             8.166732E-02            -1.956807E-02            -5.885338E-05             3.558049E-03            -1.606887E-02             4.879331E-01             7.700757E-02             4.718642E-01
                   2.1600             8.197164E-02            -2.133818E-02            -6.417575E-05             3.884629E-03            -1.751772E-02             4.885946E-01             7.704968E-02             4.710769E-01
                   2.3400             8.228717E-02            -2.310708E-02            -6.949415E-05             4.210689E-03            -1.896589E-02             4.892700E-01             7.709457E-02             4.703041E-01
                   2.5200             8.261349E-02            -2.487464E-02            -7.480807E-05             4.536264E-03            -2.041318E-02             4.899565E-01             7.714012E-02             4.695433E-01
