                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                   0.0000             0.000000E+00            -1.853497E+01            -4.501043E+00
                   0.1800            -3.394677E-04            -1.853486E+01             1.379569E+01
                   0.3600            -6.789309E-04            -1.853449E+01             2.725239E+01
                   0.5400            -1.018385E-03            -1.853387E+01             4.071067E+01
                   0.7200            -1.357826E-03            -1.853301E+01             5.416958E+01
                   0.9000            -1.697248E-03            -1.853190E+01             6.762594E+01
                   1.0800            -2.036648E-03            -1.853054E+01             8.107937E+01
                   1.2600            -2.376021E-03            -1.852894E+01             9.453223E+01
                   1.4400            -2.715363E-03            -1.852709E+01             1.079824E+02
                   1.6200            -3.054668E-03            -1.852500E+01             1.214300E+02
                   1.8000            -3.393932E-03            -1.852266E+01             1.348740E+02
                   1.9800            -3.733152E-03            -1.852007E+01             1.483156E+02
                   2.1600            -4.072322E-03            -1.851724E+01             1.617531E+02
                   2.3400            -4.411437E-03            -1.851416E+01             1.751871E+02
                   2.5200            -4.750494E-03            -1.851083E+01             1.886168E+02
                   2.7000            -5.089488E-03            -1.850726E+01             2.020419E+02
                   2.8800            -5.428414E-03            -1.850344E+01             2.154623E+02
                   3.0600            -5.767269E-03            -1.849938E+01             2.288772E+02
                   3.2400            -6.106046E-03            -1.849507E+01             2.422867E+02
                   3.4200            -6.444742E-03            -1.849052E+01             2.556905E+02
                   3.6000            -6.783353E-03            -1.848572E+01             2.690882E+02
                   3.7800            -7.121873E-03            -1.848067E+01             2.824793E+02
                   3.9600            -7.460299E-03            -1.847538E+01             2.958637E+02
                   4.1400            -7.798626E-03            -1.846985E+01             3.092410E+02
                   4.3200            -8.136849E-03            -1.846407E+01             3.226109E+02
                   4.5000            -8.474964E-03            -1.845804E+01             3.359730E+02
                   4.6800            -8.812966E-03            -1.845177E+01             3.493270E+02
                   4.8600            -9.150851E-03            -1.844526E+01             3.626727E+02
                   5.0400            -9.488615E-03            -1.843850E+01             3.760097E+02
                   5.2200            -9.826253E-03            -1.843150E+01             3.893377E+02
                   5.4000            -1.016376E-02            -1.842425E+01             4.026564E+02
                   5.5800            -1.050113E-02            -1.841676E+01             4.159654E+02
                   5.7600            -1.083836E-02            -1.840903E+01             4.292645E+02
                   5.9400            -1.117545E-02            -1.840105E+01             4.425533E+02
                   6.1200            -1.151239E-02            -1.839283E+01             4.558315E+02
                   6.3000            -1.184918E-02            -1.838436E+01             4.690989E+02
                   6.4800            -1.218581E-02            -1.837566E+01             4.823550E+02
                   6.6600            -1.252228E-02            -1.836671E+01             4.955996E+02
                   6.8400            -1.285858E-02            -1.835752E+01             5.088323E+02
                   7.0200            -1.319472E-02            -1.834808E+01             5.220529E+02
                   7.2000            -1.353067E-02            -1.833840E+01             5.352610E+02
                   7.3800            -1.386645E-02            -1.832849E+01             5.484564E+02
                   7.5600            -1.420205E-02            -1.831833E+01             5.616387E+02
                   7.7400            -1.453745E-02            -1.830793E+01             5.748076E+02
                   7.9200            -1.487266E-02            -1.829728E+01             5.879628E+02
                   8.1000            -1.520768E-02            -1.828640E+01             6.011040E+02
                   8.2800            -1.554249E-02            -1.827528E+01             6.142309E+02
                   8.4600            -1.587710E-02            -1.826391E+01             6.273431E+02
                   8.6400            -1.621150E-02            -1.825231E+01             6.404405E+02
                   8.8200            -1.654568E-02            -1.824047E+01             6.535226E+02
