                   Degree              Press.Ratio   Mass_leak_rad_ro[kg/s]      Mass_leak_vef[kg/s]       Mass_leak_vs[kg/s]      Mass_leak_ref[kg/s]    Mass_leak_total[kg/s]
                  10.0800             1.080389E+00             6.377065E-08             1.043584E-05             0.000000E+00             6.222169E-07             1.112183E-05
                  10.2600             1.080189E+00             6.375254E-08             1.043957E-05             0.000000E+00             6.301893E-07             1.113351E-05
                  10.4400             1.079971E+00             6.373275E-08             1.044323E-05             0.000000E+00             6.377622E-07             1.114472E-05
                  10.6200             1.079733E+00             6.371126E-08             1.044680E-05             0.000000E+00             6.449135E-07             1.115542E-05
                  10.8000             1.079477E+00             6.368800E-08             1.044732E-05             0.000000E+00             6.516210E-07             1.116263E-05
                  10.9800             1.079201E+00             6.366296E-08             1.045069E-05             0.000000E+00             6.578629E-07             1.117222E-05
                  11.1600             1.078906E+00             6.363608E-08             1.045395E-05             0.000000E+00             6.636173E-07             1.118121E-05
                  11.3400             1.078590E+00             6.360734E-08             1.045414E-05             0.000000E+00             6.688622E-07             1.118661E-05
                  11.5200             1.078255E+00             6.309422E-08             1.045421E-05             0.000000E+00             6.735765E-07             1.119088E-05
                  11.7000             1.077898E+00             6.306074E-08             1.045710E-05             0.000000E+00             6.777391E-07             1.119790E-05
                  11.8800             1.077521E+00             6.302527E-08             1.045689E-05             0.000000E+00             6.813292E-07             1.120125E-05
                  12.0600             1.077124E+00             6.298778E-08             1.045655E-05             0.000000E+00             6.843265E-07             1.120386E-05
                  12.2400             1.076705E+00             6.294829E-08             1.045605E-05             0.000000E+00             6.867115E-07             1.120571E-05
                  12.4200             1.076266E+00             6.290673E-08             1.045244E-05             0.000000E+00             6.884651E-07             1.120381E-05
                  12.6000             1.075806E+00             6.286313E-08             1.045162E-05             0.000000E+00             6.895687E-07             1.120406E-05
                  12.7800             1.075325E+00             6.281748E-08             1.045064E-05             0.000000E+00             6.900051E-07             1.120346E-05
                  12.9600             1.074824E+00             6.276978E-08             1.044653E-05             0.000000E+00             6.897572E-07             1.119906E-05
                  13.1400             1.074302E+00             6.272002E-08             1.044521E-05             0.000000E+00             6.888093E-07             1.119673E-05
                  13.3200             1.073760E+00             6.266821E-08             1.044074E-05             0.000000E+00             6.871463E-07             1.119056E-05
                  13.5000             1.073198E+00             6.261437E-08             1.043609E-05             0.000000E+00             6.847543E-07             1.118346E-05
                  13.6800             1.072617E+00             6.208030E-08             1.043126E-05             0.000000E+00             6.816205E-07             1.117496E-05
                  13.8600             1.072015E+00             6.202083E-08             1.042624E-05             0.000000E+00             6.777331E-07             1.116599E-05
                  14.0400             1.071395E+00             6.195933E-08             1.042103E-05             0.000000E+00             6.730817E-07             1.115607E-05
                  14.2200             1.070757E+00             6.189581E-08             1.041267E-05             0.000000E+00             6.676567E-07             1.114222E-05
                  14.4000             1.070100E+00             6.183032E-08             1.040707E-05             0.000000E+00             6.614503E-07             1.113035E-05
                  14.5800             1.069426E+00             6.176288E-08             1.039832E-05             0.000000E+00             6.544554E-07             1.111454E-05
                  14.7600             1.068734E+00             6.169354E-08             1.038938E-05             0.000000E+00             6.466669E-07             1.109774E-05
                  14.9400             1.068026E+00             6.162234E-08             1.038319E-05             0.000000E+00             6.380803E-07             1.108289E-05
                  15.1200             1.067303E+00             6.107538E-08             1.037385E-05             0.000000E+00             6.286931E-07             1.106362E-05
                  15.3000             1.066564E+00             6.099860E-08             1.036433E-05             0.000000E+00             6.185040E-07             1.104383E-05
