                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                   0.0000             0.000000E+00            -1.854628E+01            -4.506541E+00
                   0.1800            -3.394677E-04            -1.854617E+01             1.381254E+01
                   0.3600            -6.789309E-04            -1.854580E+01             2.728568E+01
                   0.5400            -1.018385E-03            -1.854518E+01             4.076039E+01
                   0.7200            -1.357826E-03            -1.854432E+01             5.423574E+01
                   0.9000            -1.697248E-03            -1.854321E+01             6.770853E+01
                   1.0800            -2.036648E-03            -1.854185E+01             8.117840E+01
                   1.2600            -2.376021E-03            -1.854025E+01             9.464769E+01
                   1.4400            -2.715363E-03            -1.853840E+01             1.081143E+02
                   1.6200            -3.054668E-03            -1.853631E+01             1.215783E+02
                   1.8000            -3.393932E-03            -1.853396E+01             1.350387E+02
                   1.9800            -3.733152E-03            -1.853138E+01             1.484967E+02
                   2.1600            -4.072322E-03            -1.852854E+01             1.619507E+02
                   2.3400            -4.411437E-03            -1.852546E+01             1.754011E+02
                   2.5200            -4.750494E-03            -1.852213E+01             1.888472E+02
                   2.7000            -5.089488E-03            -1.851856E+01             2.022886E+02
                   2.8800            -5.428414E-03            -1.851474E+01             2.157254E+02
                   3.0600            -5.767269E-03            -1.851067E+01             2.291568E+02
                   3.2400            -6.106046E-03            -1.850636E+01             2.425827E+02
                   3.4200            -6.444742E-03            -1.850181E+01             2.560028E+02
                   3.6000            -6.783353E-03            -1.849700E+01             2.694168E+02
                   3.7800            -7.121873E-03            -1.849195E+01             2.828243E+02
                   3.9600            -7.460299E-03            -1.848666E+01             2.962251E+02
                   4.1400            -7.798626E-03            -1.848112E+01             3.096187E+02
                   4.3200            -8.136849E-03            -1.847534E+01             3.230049E+02
                   4.5000            -8.474964E-03            -1.846931E+01             3.363833E+02
                   4.6800            -8.812966E-03            -1.846304E+01             3.497537E+02
                   4.8600            -9.150851E-03            -1.845652E+01             3.631157E+02
                   5.0400            -9.488615E-03            -1.844976E+01             3.764690E+02
                   5.2200            -9.826253E-03            -1.844275E+01             3.898132E+02
                   5.4000            -1.016376E-02            -1.843550E+01             4.031482E+02
                   5.5800            -1.050113E-02            -1.842800E+01             4.164735E+02
                   5.7600            -1.083836E-02            -1.842026E+01             4.297888E+02
                   5.9400            -1.117545E-02            -1.841228E+01             4.430938E+02
                   6.1200            -1.151239E-02            -1.840406E+01             4.563883E+02
                   6.3000            -1.184918E-02            -1.839559E+01             4.696718E+02
                   6.4800            -1.218581E-02            -1.838688E+01             4.829441E+02
                   6.6600            -1.252228E-02            -1.837792E+01             4.962049E+02
                   6.8400            -1.285858E-02            -1.836872E+01             5.094538E+02
                   7.0200            -1.319472E-02            -1.835928E+01             5.226905E+02
