                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                   0.0000             3.254951E+02             3.254773E+02             3.254951E+02             3.254773E+02             3.283690E+02             3.277847E+02             3.283690E+02             3.277847E+02             3.292900E+02             3.285930E+02
                   0.1800             3.255847E+02             3.255750E+02             3.256126E+02             3.256025E+02             3.284377E+02             3.278652E+02             3.284690E+02             3.278955E+02             3.293947E+02             3.287082E+02
                   0.3600             3.255568E+02             3.255514E+02             3.255971E+02             3.255899E+02             3.284011E+02             3.278335E+02             3.284467E+02             3.278773E+02             3.293743E+02             3.286916E+02
                   0.5400             3.255064E+02             3.255042E+02             3.255552E+02             3.255499E+02             3.283444E+02             3.277804E+02             3.284004E+02             3.278338E+02             3.293292E+02             3.286491E+02
                   0.7200             3.254440E+02             3.254446E+02             3.254999E+02             3.254959E+02             3.282773E+02             3.277161E+02             3.283421E+02             3.277773E+02             3.292716E+02             3.285934E+02
                   0.9000             3.253772E+02             3.253801E+02             3.254392E+02             3.254362E+02             3.282066E+02             3.276476E+02             3.282791E+02             3.277157E+02             3.292092E+02             3.285323E+02
                   1.0800             3.253102E+02             3.253151E+02             3.253775E+02             3.253754E+02             3.281361E+02             3.275791E+02             3.282156E+02             3.276533E+02             3.291461E+02             3.284703E+02
                   1.2600             3.252452E+02             3.252519E+02             3.253173E+02             3.253158E+02             3.280679E+02             3.275127E+02             3.281537E+02             3.275924E+02             3.290846E+02             3.284098E+02
                   1.4400             3.251834E+02             3.251918E+02             3.252596E+02             3.252588E+02             3.280030E+02             3.274496E+02             3.280946E+02             3.275342E+02             3.290258E+02             3.283519E+02
                   1.6200             3.251252E+02             3.251351E+02             3.252051E+02             3.252049E+02             3.279420E+02             3.273901E+02             3.280387E+02             3.274792E+02             3.289703E+02             3.282971E+02
                   1.8000             3.250709E+02             3.250822E+02             3.251539E+02             3.251543E+02             3.278849E+02             3.273346E+02             3.279864E+02             3.274276E+02             3.289182E+02             3.282458E+02
                   1.9800             3.250205E+02             3.250331E+02             3.251063E+02             3.251072E+02             3.278320E+02             3.272830E+02             3.279376E+02             3.273795E+02             3.288697E+02             3.281979E+02
                   2.1600             3.249741E+02             3.249878E+02             3.250622E+02             3.250635E+02             3.277830E+02             3.272354E+02             3.278924E+02             3.273350E+02             3.288247E+02             3.281537E+02
                   2.3400             3.249315E+02             3.249463E+02             3.250217E+02             3.250234E+02             3.277380E+02             3.271917E+02             3.278509E+02             3.272941E+02             3.287834E+02             3.281129E+02
                   2.5200             3.248927E+02             3.249084E+02             3.249847E+02             3.249868E+02             3.276969E+02             3.271518E+02             3.278130E+02             3.272567E+02             3.287456E+02             3.280757E+02
                   2.7000             3.248576E+02             3.248742E+02             3.249511E+02             3.249536E+02             3.276597E+02             3.271156E+02             3.277786E+02             3.272228E+02             3.287113E+02             3.280419E+02
                   2.8800             3.248262E+02             3.248436E+02             3.249210E+02             3.249238E+02             3.276262E+02             3.270832E+02             3.277477E+02             3.271924E+02             3.286806E+02             3.280116E+02
                   3.0600             3.247983E+02             3.248164E+02             3.248943E+02             3.248974E+02             3.275964E+02             3.270543E+02             3.277203E+02             3.271654E+02             3.286533E+02             3.279848E+02
                   3.2400             3.247740E+02             3.247927E+02             3.248709E+02             3.248743E+02             3.275702E+02             3.270290E+02             3.276963E+02             3.271418E+02             3.286294E+02             3.279612E+02
                   3.4200             3.247531E+02             3.247724E+02             3.248509E+02             3.248545E+02             3.275476E+02             3.270072E+02             3.276757E+02             3.271216E+02             3.286089E+02             3.279411E+02
                   3.6000             3.247357E+02             3.247555E+02             3.248341E+02             3.248379E+02             3.275285E+02             3.269889E+02             3.276585E+02             3.271046E+02             3.285917E+02             3.279242E+02
                   3.7800             3.247215E+02             3.247417E+02             3.248206E+02             3.248246E+02             3.275128E+02             3.269738E+02             3.276446E+02             3.270909E+02             3.285778E+02             3.279105E+02
                   3.9600             3.247105E+02             3.247312E+02             3.248102E+02             3.248143E+02             3.275005E+02             3.269621E+02             3.276338E+02             3.270804E+02             3.285671E+02             3.279000E+02
                   4.1400             3.247027E+02             3.247237E+02             3.248029E+02             3.248071E+02             3.274913E+02             3.269535E+02             3.276263E+02             3.270730E+02             3.285595E+02             3.278925E+02
