                   Degree                T_ocsc[K]                T_ocdc[K]                T_rosc[K]                T_rodc[K]              T_roller[K]               T_uocsc[K]               T_locsc[K]               T_uocdc[K]               T_locdc[K]
                   0.0000             3.387951E+02             3.387951E+02             3.412792E+02             3.412792E+02             3.419793E+02             3.393340E+02             3.383636E+02             3.393340E+02             3.383636E+02
                   0.1800             3.383267E+02             3.384017E+02             3.408255E+02             3.409026E+02             3.415979E+02             3.389139E+02             3.378996E+02             3.389449E+02             3.379384E+02
                   0.3600             3.383582E+02             3.384798E+02             3.408424E+02             3.409688E+02             3.416673E+02             3.389930E+02             3.380043E+02             3.390198E+02             3.380379E+02
                   0.5400             3.383477E+02             3.385069E+02             3.408209E+02             3.409881E+02             3.416887E+02             3.390189E+02             3.380464E+02             3.390449E+02             3.380792E+02
                   0.7200             3.383085E+02             3.385005E+02             3.407732E+02             3.409764E+02             3.416783E+02             3.390102E+02             3.380477E+02             3.390370E+02             3.380819E+02
                   0.9000             3.382526E+02             3.384740E+02             3.407104E+02             3.409463E+02             3.416490E+02             3.389808E+02             3.380242E+02             3.390095E+02             3.380614E+02
                   1.0800             3.381884E+02             3.384368E+02             3.406404E+02             3.409066E+02             3.416098E+02             3.389401E+02             3.379870E+02             3.389716E+02             3.380282E+02
                   1.2600             3.381216E+02             3.383950E+02             3.405684E+02             3.408630E+02             3.415664E+02             3.388944E+02             3.379432E+02             3.389292E+02             3.379892E+02
                   1.4400             3.380556E+02             3.383522E+02             3.404977E+02             3.408188E+02             3.415223E+02             3.388472E+02             3.378970E+02             3.388860E+02             3.379485E+02
                   1.6200             3.379921E+02             3.383107E+02             3.404299E+02             3.407760E+02             3.414796E+02             3.388010E+02             3.378511E+02             3.388441E+02             3.379085E+02
                   1.8000             3.379324E+02             3.382717E+02             3.403660E+02             3.407359E+02             3.414395E+02             3.387569E+02             3.378070E+02             3.388047E+02             3.378708E+02
                   1.9800             3.378769E+02             3.382358E+02             3.403067E+02             3.406992E+02             3.414026E+02             3.387158E+02             3.377656E+02             3.387685E+02             3.378361E+02
                   2.1600             3.378261E+02             3.382036E+02             3.402522E+02             3.406661E+02             3.413694E+02             3.386780E+02             3.377274E+02             3.387360E+02             3.378048E+02
                   2.3400             3.377798E+02             3.381753E+02             3.402025E+02             3.406369E+02             3.413401E+02             3.386438E+02             3.376926E+02             3.387072E+02             3.377773E+02
                   2.5200             3.377382E+02             3.381508E+02             3.401576E+02             3.406116E+02             3.413146E+02             3.386133E+02             3.376615E+02             3.386824E+02             3.377536E+02
                   2.7000             3.377012E+02             3.381302E+02             3.401174E+02             3.405903E+02             3.412931E+02             3.385866E+02             3.376341E+02             3.386615E+02             3.377337E+02
                   2.8800             3.376686E+02             3.381134E+02             3.400818E+02             3.405728E+02             3.412754E+02             3.385635E+02             3.376103E+02             3.386444E+02             3.377176E+02
                   3.0600             3.376401E+02             3.381003E+02             3.400505E+02             3.405590E+02             3.412613E+02             3.385439E+02             3.375899E+02             3.386309E+02             3.377051E+02
                   3.2400             3.376149E+02             3.380900E+02             3.400226E+02             3.405480E+02             3.412501E+02             3.385271E+02             3.375722E+02             3.386202E+02             3.376953E+02
