                   Degree                   P1[Pa]                   P2[Pa]                   P3[Pa]                   P4[Pa]                   P5[Pa]                   P6[Pa]                   P7[Pa]                   P8[Pa]                   P9[Pa]                  P3a[Pa]
                   6.3000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.268888E+05             2.244989E+05             4.437207E+05
                   6.4800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.268904E+05             2.245005E+05             4.437237E+05
                   6.6600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.268920E+05             2.245021E+05             4.437267E+05
                   6.8400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.268936E+05             2.245037E+05             4.437297E+05
                   7.0200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.268952E+05             2.245053E+05             4.437327E+05
                   7.2000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.268968E+05             2.245069E+05             4.437357E+05
                   7.3800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.268984E+05             2.245085E+05             4.437387E+05
                   7.5600             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269000E+05             2.245101E+05             4.437416E+05
                   7.7400             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269015E+05             2.245116E+05             4.437446E+05
                   7.9200             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269030E+05             2.245131E+05             4.437475E+05
                   8.1000             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269046E+05             2.245147E+05             4.437504E+05
                   8.2800             3.073276E+05             3.078331E+05             3.078323E+05             3.070195E+05             3.094221E+05             3.096312E+05             3.094092E+05             2.269061E+05             2.245162E+05             4.437533E+05
