                   Degree              dlvdt[mm/s]            dlvdtt[mm/s2]
                   0.0000             0.000000E+00             2.375003E+05
                   0.1800             3.375174E+00             2.374987E+05
                   0.3600             6.750303E+00             2.374939E+05
                   0.5400             1.012534E+01             2.374859E+05
                   0.7200             1.350024E+01             2.374748E+05
                   0.9000             1.687496E+01             2.374604E+05
                   1.0800             2.024946E+01             2.374429E+05
                   1.2600             2.362368E+01             2.374222E+05
                   1.4400             2.699759E+01             2.373983E+05
                   1.6200             3.037113E+01             2.373713E+05
                   1.8000             3.374427E+01             2.373410E+05
                   1.9800             3.711695E+01             2.373076E+05
                   2.1600             4.048914E+01             2.372709E+05
                   2.3400             4.386078E+01             2.372311E+05
                   2.5200             4.723184E+01             2.371882E+05
                   2.7000             5.060226E+01             2.371420E+05
                   2.8800             5.397200E+01             2.370927E+05
                   3.0600             5.734102E+01             2.370402E+05
                   3.2400             6.070927E+01             2.369845E+05
                   3.4200             6.407671E+01             2.369256E+05
                   3.6000             6.744329E+01             2.368636E+05
                   3.7800             7.080896E+01             2.367984E+05
                   3.9600             7.417369E+01             2.367300E+05
                   4.1400             7.753742E+01             2.366585E+05
                   4.3200             8.090011E+01             2.365838E+05
                   4.5000             8.426172E+01             2.365059E+05
                   4.6800             8.762220E+01             2.364249E+05
                   4.8600             9.098150E+01             2.363407E+05
                   5.0400             9.433959E+01             2.362534E+05
                   5.2200             9.769641E+01             2.361629E+05
                   5.4000             1.010519E+02             2.360693E+05
                   5.5800             1.044061E+02             2.359725E+05
                   5.7600             1.077588E+02             2.358725E+05
                   5.9400             1.111102E+02             2.357694E+05
                   6.1200             1.144600E+02             2.356632E+05
                   6.3000             1.178083E+02             2.355538E+05
                   6.4800             1.211550E+02             2.354413E+05
                   6.6600             1.245001E+02             2.353257E+05
                   6.8400             1.278436E+02             2.352069E+05
                   7.0200             1.311853E+02             2.350850E+05
                   7.2000             1.345253E+02             2.349599E+05
                   7.3800             1.378634E+02             2.348318E+05
                   7.5600             1.411998E+02             2.347005E+05
                   7.7400             1.445342E+02             2.345661E+05
                   7.9200             1.478667E+02             2.344286E+05
                   8.1000             1.511973E+02             2.342880E+05
                   8.2800             1.545258E+02             2.341443E+05
                   8.4600             1.578522E+02             2.339974E+05
