                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                   0.0000             0.000000E+00            -2.388725E+01            -7.475872E+00
                   0.1800            -3.394677E-04            -2.388711E+01             2.291354E+01
                   0.3600            -6.789309E-04            -2.388663E+01             4.526404E+01
                   0.5400            -1.018385E-03            -2.388584E+01             6.761716E+01
                   0.7200            -1.357826E-03            -2.388472E+01             8.997132E+01
                   0.9000            -1.697248E-03            -2.388329E+01             1.123213E+02
                   1.0800            -2.036648E-03            -2.388155E+01             1.346663E+02
                   1.2600            -2.376021E-03            -2.387948E+01             1.570105E+02
                   1.4400            -2.715363E-03            -2.387710E+01             1.793502E+02
                   1.6200            -3.054668E-03            -2.387440E+01             2.016855E+02
                   1.8000            -3.393932E-03            -2.387138E+01             2.240149E+02
                   1.9800            -3.733152E-03            -2.386805E+01             2.463402E+02
                   2.1600            -4.072322E-03            -2.386440E+01             2.686590E+02
                   2.3400            -4.411437E-03            -2.386043E+01             2.909717E+02
                   2.5200            -4.750494E-03            -2.385614E+01             3.132774E+02
                   2.7000            -5.089488E-03            -2.385154E+01             3.355753E+02
                   2.8800            -5.428414E-03            -2.384662E+01             3.578655E+02
                   3.0600            -5.767269E-03            -2.384139E+01             3.801467E+02
                   3.2400            -6.106046E-03            -2.383583E+01             4.024188E+02
                   3.4200            -6.444742E-03            -2.382996E+01             4.246815E+02
                   3.6000            -6.783353E-03            -2.382378E+01             4.469339E+02
                   3.7800            -7.121873E-03            -2.381728E+01             4.691754E+02
                   3.9600            -7.460299E-03            -2.381046E+01             4.914060E+02
                   4.1400            -7.798626E-03            -2.380333E+01             5.136245E+02
                   4.3200            -8.136849E-03            -2.379588E+01             5.358308E+02
                   4.5000            -8.474964E-03            -2.378811E+01             5.580241E+02
                   4.6800            -8.812966E-03            -2.378003E+01             5.802042E+02
                   4.8600            -9.150851E-03            -2.377164E+01             6.023703E+02
                   5.0400            -9.488615E-03            -2.376293E+01             6.245220E+02
                   5.2200            -9.826253E-03            -2.375390E+01             6.466587E+02
                   5.4000            -1.016376E-02            -2.374456E+01             6.687800E+02
                   5.5800            -1.050113E-02            -2.373491E+01             6.908852E+02
                   5.7600            -1.083836E-02            -2.372494E+01             7.129740E+02
                   5.9400            -1.117545E-02            -2.371466E+01             7.350456E+02
                   6.1200            -1.151239E-02            -2.370407E+01             7.570996E+02
                   6.3000            -1.184918E-02            -2.369316E+01             7.791357E+02
                   6.4800            -1.218581E-02            -2.368194E+01             8.011529E+02
                   6.6600            -1.252228E-02            -2.367040E+01             8.231512E+02
                   6.8400            -1.285858E-02            -2.365856E+01             8.451297E+02
                   7.0200            -1.319472E-02            -2.364640E+01             8.670880E+02
                   7.2000            -1.353067E-02            -2.363393E+01             8.890256E+02
                   7.3800            -1.386645E-02            -2.362114E+01             9.109421E+02
                   7.5600            -1.420205E-02            -2.360805E+01             9.328368E+02
                   7.7400            -1.453745E-02            -2.359465E+01             9.547093E+02
                   7.9200            -1.487266E-02            -2.358093E+01             9.765591E+02
                   8.1000            -1.520768E-02            -2.356691E+01             9.983855E+02
                   8.2800            -1.554249E-02            -2.355257E+01             1.020188E+03
                   8.4600            -1.587710E-02            -2.353793E+01             1.041967E+03
                   8.6400            -1.621150E-02            -2.352297E+01             1.063720E+03
                   8.8200            -1.654568E-02            -2.350771E+01             1.085449E+03
                   9.0000            -1.687965E-02            -2.349214E+01             1.107151E+03
                   9.1800            -1.721339E-02            -2.347625E+01             1.128827E+03
                   9.3600            -1.754690E-02            -2.346007E+01             1.150477E+03
                   9.5400            -1.788018E-02            -2.344357E+01             1.172099E+03
                   9.7200            -1.821323E-02            -2.342677E+01             1.193693E+03
                   9.9000            -1.854603E-02            -2.340966E+01             1.215260E+03
                  10.0800            -1.887859E-02            -2.339224E+01             1.236797E+03
                  10.2600            -1.921089E-02            -2.337452E+01             1.258305E+03
                  10.4400            -1.954295E-02            -2.335649E+01             1.279783E+03
                  10.6200            -1.987474E-02            -2.333816E+01             1.301231E+03
                  10.8000            -2.020628E-02            -2.331952E+01             1.322648E+03
                  10.9800            -2.053754E-02            -2.330058E+01             1.344034E+03
                  11.1600            -2.086854E-02            -2.328134E+01             1.365388E+03
                  11.3400            -2.119926E-02            -2.326179E+01             1.386710E+03
                  11.5200            -2.152970E-02            -2.324194E+01             1.408000E+03
                  11.7000            -2.185985E-02            -2.322179E+01             1.429256E+03
                  11.8800            -2.218972E-02            -2.320133E+01             1.450478E+03
                  12.0600            -2.251929E-02            -2.318058E+01             1.471667E+03
                  12.2400            -2.284857E-02            -2.315952E+01             1.492821E+03
                  12.4200            -2.317754E-02            -2.313816E+01             1.513939E+03
                  12.6000            -2.350621E-02            -2.311650E+01             1.535022E+03
                  12.7800            -2.383457E-02            -2.309455E+01             1.556069E+03
                  12.9600            -2.416262E-02            -2.307229E+01             1.577080E+03
                  13.1400            -2.449034E-02            -2.304974E+01             1.598054E+03
                  13.3200            -2.481775E-02            -2.302689E+01             1.618990E+03
                  13.5000            -2.514482E-02            -2.300374E+01             1.639888E+03
                  13.6800            -2.547157E-02            -2.298029E+01             1.660748E+03
                  13.8600            -2.579798E-02            -2.295655E+01             1.681569E+03
                  14.0400            -2.612405E-02            -2.293251E+01             1.702351E+03
                  14.2200            -2.644978E-02            -2.290818E+01             1.723093E+03
                  14.4000            -2.677516E-02            -2.288355E+01             1.743795E+03
                  14.5800            -2.710019E-02            -2.285863E+01             1.764457E+03
                  14.7600            -2.742486E-02            -2.283342E+01             1.785077E+03
                  14.9400            -2.774917E-02            -2.280791E+01             1.805656E+03
                  15.1200            -2.807312E-02            -2.278211E+01             1.826193E+03
                  15.3000            -2.839669E-02            -2.275602E+01             1.846687E+03
                  15.4800            -2.871990E-02            -2.272964E+01             1.867139E+03
                  15.6600            -2.904273E-02            -2.270297E+01             1.887547E+03
                  15.8400            -2.936517E-02            -2.267600E+01             1.907912E+03
                  16.0200            -2.968723E-02            -2.264875E+01             1.928232E+03
                  16.2000            -3.000891E-02            -2.262121E+01             1.948508E+03
                  16.3800            -3.033019E-02            -2.259339E+01             1.968739E+03
                  16.5600            -3.065107E-02            -2.256527E+01             1.988924E+03
                  16.7400            -3.097155E-02            -2.253687E+01             2.009064E+03
                  16.9200            -3.129162E-02            -2.250818E+01             2.029157E+03
                  17.1000            -3.161129E-02            -2.247921E+01             2.049204E+03
                  17.2800            -3.193054E-02            -2.244995E+01             2.069203E+03
                  17.4600            -3.224937E-02            -2.242041E+01             2.089155E+03
                  17.6400            -3.256778E-02            -2.239059E+01             2.109059E+03
                  17.8200            -3.288577E-02            -2.236048E+01             2.128915E+03
                  18.0000            -3.320332E-02            -2.233009E+01             2.148722E+03
                  18.1800            -3.352044E-02            -2.229942E+01             2.168480E+03
                  18.3600            -3.383713E-02            -2.226847E+01             2.188188E+03
                  18.5400            -3.415337E-02            -2.223724E+01             2.207846E+03
                  18.7200            -3.446916E-02            -2.220574E+01             2.227454E+03
                  18.9000            -3.478451E-02            -2.217395E+01             2.247011E+03
                  19.0800            -3.509940E-02            -2.214188E+01             2.266517E+03
                  19.2600            -3.541384E-02            -2.210954E+01             2.285971E+03
                  19.4400            -3.572781E-02            -2.207693E+01             2.305373E+03
