                   Degree          P_inst_total[W]  P_inst_total_no_loss[W]              P_f_loss[W]            P_thr_loss[W]          P_inertia_ro[W]          P_inertia_vh[W]                 P_com[W]              P_bear_s[W]
                   0.0000             6.047851E+01             4.394395E-02             6.043457E+01             2.394476E+05             4.174628E-02             1.256000E-04             2.072074E-03             8.803568E+00
                   0.1800             5.999184E+01            -5.658035E-02             6.004842E+01             2.394476E+05            -1.279516E-01            -3.849615E-04             7.175623E-02             8.786449E+00
                   0.3600             5.988040E+01            -1.434222E-01             6.002382E+01             2.394476E+05            -2.527549E-01            -7.604484E-04             1.100931E-01             8.787379E+00
                   0.5400             5.977109E+01            -2.303851E-01             6.000147E+01             2.394476E+05            -3.775643E-01            -1.135949E-03             1.483151E-01             8.786752E+00
                   0.7200             5.966371E+01            -3.172671E-01             5.998097E+01             2.394476E+05            -5.023667E-01            -1.511423E-03             1.866110E-01             8.786125E+00
                   0.9000             5.955777E+01            -4.039821E-01             5.996175E+01             2.394476E+05            -6.271285E-01            -1.886765E-03             2.250331E-01             8.785481E+00
                   1.0800             5.945510E+01            -4.905046E-01             5.994561E+01             2.394476E+05            -7.518419E-01            -2.261951E-03             2.635992E-01             8.786797E+00
                   1.2600             5.935174E+01            -5.768410E-01             5.992859E+01             2.394476E+05            -8.765244E-01            -2.637030E-03             3.023205E-01             8.786181E+00
                   1.4400             5.924961E+01            -6.629582E-01             5.991257E+01             2.394476E+05            -1.001152E+00            -3.011930E-03             3.412062E-01             8.785544E+00
                   1.6200             5.914827E+01            -7.488912E-01             5.989716E+01             2.394476E+05            -1.125722E+00            -3.386638E-03             3.802178E-01             8.784888E+00
                   1.8000             5.904990E+01            -8.346453E-01             5.988455E+01             2.394476E+05            -1.250221E+00            -3.761111E-03             4.193366E-01             8.786522E+00
                   1.9800             5.894995E+01            -9.202284E-01             5.987018E+01             2.394476E+05            -1.374654E+00            -4.135365E-03             4.585608E-01             8.785912E+00
                   2.1600             5.885067E+01            -1.005624E+00             5.985629E+01             2.394476E+05            -1.499003E+00            -4.509345E-03             4.978888E-01             8.785286E+00
                   2.3400             5.875204E+01            -1.090833E+00             5.984287E+01             2.394476E+05            -1.623269E+00            -4.883044E-03             5.373193E-01             8.784644E+00
                   2.5200             5.865409E+01            -1.175845E+00             5.982993E+01             2.394476E+05            -1.747440E+00            -5.256430E-03             5.768510E-01             8.783989E+00
                   2.7000             5.855959E+01            -1.260655E+00             5.982024E+01             2.394476E+05            -1.871508E+00            -5.629477E-03             6.164826E-01             8.786095E+00
                   2.8800             5.846308E+01            -1.345258E+00             5.980834E+01             2.394476E+05            -1.995469E+00            -6.002170E-03             6.562133E-01             8.785505E+00
                   3.0600             5.836727E+01            -1.429645E+00             5.979692E+01             2.394476E+05            -2.119313E+00            -6.374474E-03             6.960421E-01             8.784903E+00
                   3.2400             5.827215E+01            -1.513812E+00             5.978596E+01             2.394476E+05            -2.243034E+00            -6.746371E-03             7.359683E-01             8.784290E+00
                   3.4200             5.817773E+01            -1.597752E+00             5.977549E+01             2.394476E+05            -2.366625E+00            -7.117841E-03             7.759911E-01             8.783666E+00
                   3.6000             5.808402E+01            -1.681459E+00             5.976548E+01             2.394476E+05            -2.490080E+00            -7.488857E-03             8.161101E-01             8.783033E+00
                   3.7800             5.799102E+01            -1.764924E+00             5.975595E+01             2.394476E+05            -2.613389E+00            -7.859392E-03             8.563246E-01             8.782390E+00
                   3.9600             5.790226E+01            -1.848143E+00             5.975040E+01             0.000000E+00            -2.736548E+00            -8.229430E-03             8.966343E-01             8.785259E+00
                   4.1400             5.781080E+01            -1.931110E+00             5.974191E+01             0.000000E+00            -2.859548E+00            -8.598940E-03             9.370367E-01             8.784703E+00
                   4.3200             5.772007E+01            -2.013817E+00             5.973389E+01             0.000000E+00            -2.982382E+00            -8.967904E-03             9.775333E-01             8.784139E+00
                   4.5000             5.763008E+01            -2.096256E+00             5.972633E+01             0.000000E+00            -3.105043E+00            -9.336295E-03             1.018124E+00             8.783568E+00
                   4.6800             5.754083E+01            -2.178421E+00             5.971925E+01             0.000000E+00            -3.227525E+00            -9.704091E-03             1.058807E+00             8.782991E+00
                   4.8600             5.745233E+01            -2.260306E+00             5.971263E+01             0.000000E+00            -3.349819E+00            -1.007127E-02             1.099584E+00             8.782408E+00
                   5.0400             5.736458E+01            -2.341903E+00             5.970648E+01             0.000000E+00            -3.471920E+00            -1.043781E-02             1.140455E+00             8.781820E+00
                   5.2200             5.727760E+01            -2.423206E+00             5.970080E+01             0.000000E+00            -3.593820E+00            -1.080368E-02             1.181418E+00             8.781228E+00
                   5.4000             5.719138E+01            -2.504207E+00             5.969559E+01             0.000000E+00            -3.715511E+00            -1.116887E-02             1.222473E+00             8.780632E+00
                   5.5800             5.710594E+01            -2.584900E+00             5.969084E+01             0.000000E+00            -3.836988E+00            -1.153334E-02             1.263621E+00             8.780032E+00
                   5.7600             5.702602E+01            -2.665279E+00             5.969130E+01             0.000000E+00            -3.958243E+00            -1.189708E-02             1.304861E+00             8.784166E+00
                   5.9400             5.694226E+01            -2.745335E+00             5.968759E+01             0.000000E+00            -4.079268E+00            -1.226006E-02             1.346193E+00             8.783674E+00
                   6.1200             5.685928E+01            -2.825063E+00             5.968435E+01             0.000000E+00            -4.200058E+00            -1.262227E-02             1.387617E+00             8.783179E+00
                   6.3000             5.677711E+01            -2.904457E+00             5.968157E+01             0.000000E+00            -4.320606E+00            -1.298367E-02             1.429132E+00             8.782681E+00
                   6.4800             5.670576E+01            -2.983509E+00             5.968927E+01             0.000000E+00            -4.440903E+00            -1.334425E-02             1.470738E+00             8.782182E+00
                   6.6600             5.666180E+01            -3.062213E+00             5.972402E+01             0.000000E+00            -4.560944E+00            -1.370398E-02             1.512435E+00             8.781682E+00
                   6.8400             5.661862E+01            -3.140563E+00             5.975918E+01             0.000000E+00            -4.680722E+00            -1.406284E-02             1.554221E+00             8.781180E+00
                   7.0200             5.657622E+01            -3.218553E+00             5.979477E+01             0.000000E+00            -4.800229E+00            -1.442081E-02             1.596097E+00             8.780679E+00
                   7.2000             5.653461E+01            -3.296175E+00             5.983079E+01             0.000000E+00            -4.919459E+00            -1.477787E-02             1.638061E+00             8.780178E+00
                   7.3800             5.649381E+01            -3.373426E+00             5.986723E+01             0.000000E+00            -5.038405E+00            -1.513398E-02             1.680113E+00             8.779678E+00
                   7.5600             5.645382E+01            -3.450298E+00             5.990411E+01             0.000000E+00            -5.157061E+00            -1.548914E-02             1.722252E+00             8.779179E+00
                   7.7400             5.641465E+01            -3.526786E+00             5.994144E+01             0.000000E+00            -5.275419E+00            -1.584332E-02             1.764476E+00             8.778682E+00
                   7.9200             5.637632E+01            -3.602884E+00             5.997921E+01             0.000000E+00            -5.393473E+00            -1.619650E-02             1.806786E+00             8.778187E+00
                   8.1000             5.633884E+01            -3.678587E+00             6.001742E+01             0.000000E+00            -5.511217E+00            -1.654865E-02             1.849178E+00             8.777696E+00
