                   Degree              Press.Ratio   Mass_leak_rad_ro[kg/s]      Mass_leak_vef[kg/s]       Mass_leak_vs[kg/s]      Mass_leak_ref[kg/s]    Mass_leak_total[kg/s]
                   0.0000             1.004785E+00             1.178611E-05             6.245078E-06             0.000000E+00             0.000000E+00             1.803119E-05
                   0.1800             1.175045E+00             4.503092E-07             1.248679E-05             0.000000E+00             3.419510E-08             1.297130E-05
                   0.3600             1.175593E+00             6.379113E-07             1.247661E-05             0.000000E+00             6.798295E-08             1.318250E-05
                   0.5400             1.174787E+00             2.727601E-07             1.245291E-05             0.000000E+00             1.011576E-07             1.282683E-05
                   0.7200             1.173780E+00             5.137031E-08             1.243118E-05             0.000000E+00             1.338627E-07             1.261641E-05
                   0.9000             1.172889E+00             7.911314E-08             1.241268E-05             0.000000E+00             1.662819E-07             1.265807E-05
                   1.0800             1.172195E+00             3.001809E-08             1.239775E-05             0.000000E+00             1.985819E-07             1.262635E-05
                   1.2600             1.171718E+00             7.900138E-08             1.239011E-05             0.000000E+00             2.309256E-07             1.270004E-05
                   1.4400             1.171459E+00             7.898565E-08             1.238615E-05             0.000000E+00             2.634652E-07             1.272860E-05
                   1.6200             1.171287E+00             7.897847E-08             1.238709E-05             0.000000E+00             2.960692E-07             1.276213E-05
                   1.8000             1.171148E+00             7.897265E-08             1.238836E-05             0.000000E+00             3.286694E-07             1.279600E-05
                   1.9800             1.171040E+00             7.896813E-08             1.238636E-05             0.000000E+00             3.612823E-07             1.282661E-05
                   2.1600             1.170962E+00             7.896485E-08             1.238829E-05             0.000000E+00             3.939235E-07             1.286118E-05
                   2.3400             1.170912E+00             7.896275E-08             1.239054E-05             0.000000E+00             4.266068E-07             1.289611E-05
                   2.5200             1.170889E+00             7.896173E-08             1.239310E-05             0.000000E+00             4.593445E-07             1.293141E-05
                   2.7000             1.170889E+00             7.896175E-08             1.239597E-05             0.000000E+00             4.921479E-07             1.296708E-05
                   2.8800             1.170913E+00             7.896272E-08             1.239914E-05             0.000000E+00             5.250265E-07             1.300313E-05
                   3.0600             1.170957E+00             7.896459E-08             1.240260E-05             0.000000E+00             5.579887E-07             1.303955E-05
                   3.2400             1.171022E+00             7.896728E-08             1.240634E-05             0.000000E+00             5.910413E-07             1.307635E-05
                   3.4200             1.171104E+00             7.897074E-08             1.241036E-05             0.000000E+00             6.241900E-07             1.311352E-05
                   3.6000             1.171202E+00             7.897488E-08             1.241826E-05             0.000000E+00             6.574389E-07             1.315468E-05
                   3.7800             1.171315E+00             7.897966E-08             1.242282E-05             0.000000E+00             6.907906E-07             1.319259E-05
                   3.9600             1.171440E+00             7.898500E-08             1.242763E-05             0.000000E+00             7.242464E-07             1.323086E-05
                   4.1400             1.171574E+00             7.899041E-08             1.243626E-05             0.000000E+00             7.577906E-07             1.327304E-05
                   4.3200             1.171718E+00             7.899623E-08             1.244151E-05             0.000000E+00             7.914348E-07             1.331194E-05
                   4.5000             1.171869E+00             7.900236E-08             1.244699E-05             0.000000E+00             8.251749E-07             1.335116E-05
