                             Degree                     Suc.Volume[m3]                    Comp.Volume[m3]               I.Suct.Press._1[kPa]                    I.Suct.Temp.[K]                 I.Disc.Press.[kPa]                    I.Disc.Temp.[K]
                             0.0000                       5.000000E-08                       3.284577E-05                       1.009454E+02                       3.036782E+02                       1.002216E+02                       3.030542E+02
                             0.1800                       5.005066E-08                       3.284572E-05                       1.009454E+02                       3.036782E+02                       1.002218E+02                       3.030544E+02
                             0.3600                       5.009648E-08                       3.284566E-05                       1.009454E+02                       3.036782E+02                       1.002221E+02                       3.030546E+02
                             0.5400                       5.013763E-08                       3.284559E-05                       1.009454E+02                       3.036782E+02                       1.002224E+02                       3.030549E+02
                             0.7200                       5.017429E-08                       3.284552E-05                       1.009454E+02                       3.036782E+02                       1.002227E+02                       3.030551E+02
                             0.9000                       5.020665E-08                       3.284544E-05                       1.009454E+02                       3.036782E+02                       1.002230E+02                       3.030554E+02
                             1.0800                       5.023489E-08                       3.284536E-05                       1.009454E+02                       3.036782E+02                       1.002234E+02                       3.030557E+02
                             1.2600                       5.025918E-08                       3.284527E-05                       1.009454E+02                       3.036782E+02                       1.002238E+02                       3.030561E+02
                             1.4400                       5.027970E-08                       3.284517E-05                       1.009454E+02                       3.036782E+02                       1.002242E+02                       3.030564E+02
                             1.6200                       5.029663E-08                       3.284507E-05                       1.009454E+02                       3.036782E+02                       1.002246E+02                       3.030568E+02
                             1.8000                       5.031015E-08                       3.284496E-05                       1.009454E+02                       3.036782E+02                       1.002251E+02                       3.030572E+02
                             1.9800                       5.032045E-08                       3.284485E-05                       1.009454E+02                       3.036782E+02                       1.002256E+02                       3.030576E+02
                             2.1600                       5.032769E-08                       3.284472E-05                       1.009454E+02                       3.036782E+02                       1.002261E+02                       3.030581E+02
                             2.3400                       5.033207E-08                       3.284459E-05                       1.009454E+02                       3.036782E+02                       1.002266E+02                       3.030586E+02
                             2.5200                       5.033375E-08                       3.284446E-05                       1.009454E+02                       3.036782E+02                       1.002272E+02                       3.030591E+02
                             2.7000                       5.033292E-08                       3.284431E-05                       1.009454E+02                       3.036782E+02                       1.002279E+02                       3.030596E+02
                             2.8800                       5.032977E-08                       3.284416E-05                       1.009454E+02                       3.036782E+02                       1.002285E+02                       3.030602E+02
                             3.0600                       5.032446E-08                       3.284400E-05                       1.009454E+02                       3.036782E+02                       1.002292E+02                       3.030608E+02
                             3.2400                       5.031718E-08                       3.284383E-05                       1.009454E+02                       3.036782E+02                       1.002299E+02                       3.030614E+02
                             3.4200                       5.030811E-08                       3.284365E-05                       1.009454E+02                       3.036782E+02                       1.002307E+02                       3.030620E+02
                             3.6000                       5.029743E-08                       3.284347E-05                       1.009454E+02                       3.036782E+02                       1.002315E+02                       3.030627E+02
                             3.7800                       5.028532E-08                       3.284328E-05                       1.009454E+02                       3.036782E+02                       1.002323E+02                       3.030634E+02
                             3.9600                       5.027195E-08                       3.284307E-05                       1.009454E+02                       3.036782E+02                       1.002332E+02                       3.030642E+02
                             4.1400                       5.025752E-08                       3.284286E-05                       1.009454E+02                       3.036782E+02                       1.002341E+02                       3.030650E+02
                             4.3200                       5.024219E-08                       3.284264E-05                       1.009454E+02                       3.036782E+02                       1.002350E+02                       3.030658E+02
                             4.5000                       5.022615E-08                       3.284241E-05                       1.009454E+02                       3.036782E+02                       1.002360E+02                       3.030666E+02
                             4.6800                       5.020957E-08                       3.284217E-05                       1.009454E+02                       3.036782E+02                       1.002370E+02                       3.030675E+02
                             4.8600                       5.019265E-08                       3.284192E-05                       1.009454E+02                       3.036782E+02                       1.002381E+02                       3.030684E+02
                             5.0400                       5.017555E-08                       3.284166E-05                       1.009454E+02                       3.036782E+02                       1.002392E+02                       3.030694E+02
                             5.2200                       5.015845E-08                       3.284140E-05                       1.009454E+02                       3.036782E+02                       1.002403E+02                       3.030704E+02
                             5.4000                       5.014155E-08                       3.284112E-05                       1.009454E+02                       3.036782E+02                       1.002415E+02                       3.030714E+02
                             5.5800                       5.012501E-08                       3.284083E-05                       1.009454E+02                       3.036782E+02                       1.002428E+02                       3.030725E+02
                             5.7600                       5.010902E-08                       3.284053E-05                       1.009454E+02                       3.036782E+02                       1.002440E+02                       3.030736E+02
                             5.9400                       5.009376E-08                       3.284022E-05                       1.009454E+02                       3.036782E+02                       1.002454E+02                       3.030747E+02
                             6.1200                       5.007940E-08                       3.283990E-05                       1.009454E+02                       3.036782E+02                       1.002467E+02                       3.030759E+02
                             6.3000                       5.006612E-08                       3.283956E-05                       1.009454E+02                       3.036782E+02                       1.002482E+02                       3.030772E+02
                             6.4800                       5.005412E-08                       3.283922E-05                       1.009454E+02                       3.036782E+02                       1.002496E+02                       3.030784E+02
                             6.6600                       5.004355E-08                       3.283887E-05                       1.009454E+02                       3.036782E+02                       1.002511E+02                       3.030797E+02
                             6.8400                       5.003462E-08                       3.283850E-05                       1.009454E+02                       3.036782E+02                       1.002527E+02                       3.030811E+02
                             7.0200                       5.002748E-08                       3.283812E-05                       1.009454E+02                       3.036782E+02                       1.002543E+02                       3.030825E+02
                             7.2000                       5.002233E-08                       3.283773E-05                       1.009454E+02                       3.036782E+02                       1.002560E+02                       3.030839E+02
                             7.3800                       5.001935E-08                       3.283733E-05                       1.009454E+02                       3.036782E+02                       1.002577E+02                       3.030854E+02
                             7.5600                       5.001871E-08                       3.283691E-05                       1.009454E+02                       3.036782E+02                       1.002595E+02                       3.030870E+02
                             7.7400                       5.002059E-08                       3.283649E-05                       1.009454E+02                       3.036782E+02                       1.002613E+02                       3.030885E+02
                             7.9200                       5.002517E-08                       3.283605E-05                       1.009454E+02                       3.036782E+02                       1.002632E+02                       3.030902E+02
                             8.1000                       5.003263E-08                       3.283559E-05                       1.009454E+02                       3.036782E+02                       1.002651E+02                       3.030918E+02
                             8.2800                       5.004316E-08                       3.283513E-05                       1.009454E+02                       3.036782E+02                       1.002671E+02                       3.030936E+02
                             8.4600                       5.005692E-08                       3.283465E-05                       1.009454E+02                       3.036782E+02                       1.002692E+02                       3.030953E+02
                             8.6400                       5.007411E-08                       3.283416E-05                       1.009454E+02                       3.036782E+02                       1.002713E+02                       3.030971E+02
                             8.8200                       5.009489E-08                       3.283365E-05                       1.009454E+02                       3.036782E+02                       1.002734E+02                       3.030990E+02
                             9.0000                       5.011945E-08                       3.283313E-05                       1.009454E+02                       3.036782E+02                       1.002757E+02                       3.031009E+02
                             9.1800                       5.014796E-08                       3.283260E-05                       1.009454E+02                       3.036782E+02                       1.002779E+02                       3.031029E+02
                             9.3600                       5.018061E-08                       3.283205E-05                       1.009454E+02                       3.036782E+02                       1.002803E+02                       3.031049E+02
                             9.5400                       5.021757E-08                       3.283149E-05                       1.009454E+02                       3.036782E+02                       1.002827E+02                       3.031070E+02
                             9.7200                       5.025903E-08                       3.283092E-05                       1.009454E+02                       3.036782E+02                       1.002852E+02                       3.031091E+02
                             9.9000                       5.030516E-08                       3.283033E-05                       1.009454E+02                       3.036782E+02                       1.002877E+02                       3.031113E+02
                            10.0800                       5.035613E-08                       3.282972E-05                       1.009454E+02                       3.036782E+02                       1.002903E+02                       3.031135E+02
                            10.2600                       5.041214E-08                       3.282910E-05                       1.009454E+02                       3.036782E+02                       1.002929E+02                       3.031158E+02
                            10.4400                       5.047335E-08                       3.282847E-05                       1.009454E+02                       3.036782E+02                       1.002956E+02                       3.031182E+02
                            10.6200                       5.053994E-08                       3.282782E-05                       1.009454E+02                       3.036782E+02                       1.002984E+02                       3.031206E+02
                            10.8000                       5.061210E-08                       3.282715E-05                       1.009454E+02                       3.036782E+02                       1.003013E+02                       3.031230E+02
                            10.9800                       5.069000E-08                       3.282647E-05                       1.009454E+02                       3.036782E+02                       1.003042E+02                       3.031256E+02
                            11.1600                       5.077382E-08                       3.282578E-05                       1.009454E+02                       3.036782E+02                       1.003072E+02                       3.031281E+02
                            11.3400                       5.086374E-08                       3.282506E-05                       1.009454E+02                       3.036782E+02                       1.003102E+02                       3.031308E+02
                            11.5200                       5.095993E-08                       3.282434E-05                       1.009454E+02                       3.036782E+02                       1.003133E+02                       3.031335E+02
                            11.7000                       5.106258E-08                       3.282359E-05                       1.009454E+02                       3.036782E+02                       1.003165E+02                       3.031362E+02
                            11.8800                       5.117185E-08                       3.282283E-05                       1.009454E+02                       3.036782E+02                       1.003198E+02                       3.031390E+02
                            12.0600                       5.128793E-08                       3.282205E-05                       1.009454E+02                       3.036782E+02                       1.003231E+02                       3.031419E+02
                            12.2400                       5.141100E-08                       3.282126E-05                       1.009454E+02                       3.036782E+02                       1.003265E+02                       3.031448E+02
                            12.4200                       5.154123E-08                       3.282045E-05                       1.009454E+02                       3.036782E+02                       1.003300E+02                       3.031478E+02
                            12.6000                       5.167880E-08                       3.281962E-05                       1.009454E+02                       3.036782E+02                       1.003335E+02                       3.031509E+02
                            12.7800                       5.182389E-08                       3.281877E-05                       1.009454E+02                       3.036782E+02                       1.003371E+02                       3.031540E+02
                            12.9600                       5.197667E-08                       3.281791E-05                       1.009454E+02                       3.036782E+02                       1.003408E+02                       3.031572E+02
                            13.1400                       5.213732E-08                       3.281703E-05                       1.009454E+02                       3.036782E+02                       1.003446E+02                       3.031605E+02
                            13.3200                       5.230601E-08                       3.281613E-05                       1.009454E+02                       3.036782E+02                       1.003485E+02                       3.031638E+02
                            13.5000                       5.248293E-08                       3.281522E-05                       1.009454E+02                       3.036782E+02                       1.003524E+02                       3.031672E+02
                            13.6800                       5.266825E-08                       3.281428E-05                       1.009454E+02                       3.036782E+02                       1.003564E+02                       3.031707E+02
                            13.8600                       5.286215E-08                       3.281333E-05                       1.009454E+02                       3.036782E+02                       1.003605E+02                       3.031742E+02
                            14.0400                       5.306479E-08                       3.281236E-05                       1.009454E+02                       3.036782E+02                       1.003646E+02                       3.031778E+02
                            14.2200                       5.327637E-08                       3.281137E-05                       1.009454E+02                       3.036782E+02                       1.003689E+02                       3.031814E+02
                            14.4000                       5.349705E-08                       3.281036E-05                       1.009454E+02                       3.036782E+02                       1.003732E+02                       3.031852E+02
                            14.5800                       5.372700E-08                       3.280934E-05                       1.009454E+02                       3.036782E+02                       1.003776E+02                       3.031890E+02
                            14.7600                       5.396642E-08                       3.280829E-05                       1.009454E+02                       3.036782E+02                       1.003821E+02                       3.031928E+02
                            14.9400                       5.421546E-08                       3.280722E-05                       1.009454E+02                       3.036782E+02                       1.003866E+02                       3.031968E+02
                            15.1200                       5.447431E-08                       3.280614E-05                       1.009454E+02                       3.036782E+02                       1.003913E+02                       3.032008E+02
                            15.3000                       5.474313E-08                       3.280504E-05                       1.009454E+02                       3.036782E+02                       1.003960E+02                       3.032049E+02
                            15.4800                       5.502212E-08                       3.280391E-05                       1.009454E+02                       3.036782E+02                       1.004009E+02                       3.032090E+02
                            15.6600                       5.531143E-08                       3.280277E-05                       1.009454E+02                       3.036782E+02                       1.004058E+02                       3.032133E+02
                            15.8400                       5.561124E-08                       3.280160E-05                       1.009454E+02                       3.036782E+02                       1.004107E+02                       3.032176E+02
                            16.0200                       5.592174E-08                       3.280042E-05                       1.009454E+02                       3.036782E+02                       1.004158E+02                       3.032220E+02
                            16.2000                       5.624309E-08                       3.279922E-05                       1.009454E+02                       3.036782E+02                       1.004210E+02                       3.032264E+02
                            16.3800                       5.657546E-08                       3.279799E-05                       1.009454E+02                       3.036782E+02                       1.004262E+02                       3.032310E+02
                            16.5600                       5.691904E-08                       3.279674E-05                       1.009454E+02                       3.036782E+02                       1.004316E+02                       3.032356E+02
                            16.7400                       5.727398E-08                       3.279548E-05                       1.009454E+02                       3.036782E+02                       1.004370E+02                       3.032403E+02
                            16.9200                       5.764048E-08                       3.279419E-05                       1.009454E+02                       3.036782E+02                       1.004426E+02                       3.032450E+02
                            17.1000                       5.801870E-08                       3.279288E-05                       1.009454E+02                       3.036782E+02                       1.004482E+02                       3.032499E+02
                            17.2800                       5.840881E-08                       3.279155E-05                       1.009454E+02                       3.036782E+02                       1.004539E+02                       3.032548E+02
                            17.4600                       5.881099E-08                       3.279020E-05                       1.009454E+02                       3.036782E+02                       1.004597E+02                       3.032598E+02
                            17.6400                       5.922540E-08                       3.278883E-05                       1.009454E+02                       3.036782E+02                       1.004656E+02                       3.032649E+02
                            17.8200                       5.965223E-08                       3.278743E-05                       1.009454E+02                       3.036782E+02                       1.004716E+02                       3.032701E+02
                            18.0000                       6.009165E-08                       3.278601E-05                       1.009454E+02                       3.036782E+02                       1.004776E+02                       3.032753E+02
                            18.1800                       6.054382E-08                       3.278458E-05                       1.009454E+02                       3.036782E+02                       1.004838E+02                       3.032807E+02
                            18.3600                       6.100891E-08                       3.278311E-05                       1.009454E+02                       3.036782E+02                       1.004901E+02                       3.032861E+02
                            18.5400                       6.148711E-08                       3.278163E-05                       1.009454E+02                       3.036782E+02                       1.004965E+02                       3.032916E+02
                            18.7200                       6.197858E-08                       3.278012E-05                       1.009454E+02                       3.036782E+02                       1.005030E+02                       3.032971E+02
                            18.9000                       6.248349E-08                       3.277859E-05                       1.009454E+02                       3.036782E+02                       1.005095E+02                       3.033028E+02
                            19.0800                       6.300202E-08                       3.277704E-05                       1.009454E+02                       3.036782E+02                       1.005162E+02                       3.033086E+02
                            19.2600                       6.353433E-08                       3.277547E-05                       1.009454E+02                       3.036782E+02                       1.005230E+02                       3.033144E+02
                            19.4400                       6.408059E-08                       3.277387E-05                       1.009454E+02                       3.036782E+02                       1.005298E+02                       3.033203E+02
