                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                   8.4600            -3.477940E+01            -5.379428E+01            -2.721056E+01             5.122789E+00             3.267234E+01             2.509284E+01             4.119627E+01
                   8.6400            -3.546764E+01            -5.388850E+01            -2.784809E+01             5.134730E+00             3.332923E+01             2.518059E+01             4.177199E+01
                   8.8200            -3.615526E+01            -5.398252E+01            -2.848514E+01             5.146557E+00             3.398552E+01             2.526763E+01             4.234936E+01
                   9.0000            -3.684225E+01            -5.407635E+01            -2.912168E+01             5.158269E+00             3.464120E+01             2.535394E+01             4.292825E+01
                   9.1800            -3.752858E+01            -5.416996E+01            -2.975770E+01             5.169866E+00             3.529626E+01             2.543952E+01             4.350856E+01
                   9.3600            -3.821423E+01            -5.426336E+01            -3.039320E+01             5.181349E+00             3.595069E+01             2.552435E+01             4.409018E+01
                   9.5400            -3.889920E+01            -5.435654E+01            -3.102815E+01             5.192716E+00             3.660448E+01             2.560840E+01             4.467301E+01
                   9.7200            -3.958345E+01            -5.444948E+01            -3.166256E+01             5.203967E+00             3.725763E+01             2.569166E+01             4.525696E+01
                   9.9000            -4.026698E+01            -5.454218E+01            -3.229640E+01             5.215102E+00             3.791011E+01             2.577411E+01             4.584192E+01
                  10.0800            -4.094977E+01            -5.463463E+01            -3.292968E+01             5.226120E+00             3.856192E+01             2.585574E+01             4.642781E+01
                  10.2600            -4.163179E+01            -5.472683E+01            -3.356237E+01             5.237021E+00             3.921306E+01             2.593653E+01             4.701455E+01
                  10.4400            -4.231304E+01            -5.481876E+01            -3.419446E+01             5.247803E+00             3.986351E+01             2.601646E+01             4.760205E+01
                  10.6200            -4.299349E+01            -5.491042E+01            -3.482595E+01             5.258466E+00             4.051326E+01             2.609551E+01             4.819024E+01
                  10.8000            -4.367313E+01            -5.500181E+01            -3.545683E+01             5.269008E+00             4.116230E+01             2.617367E+01             4.877905E+01
                  10.9800            -4.435195E+01            -5.509292E+01            -3.608708E+01             5.279430E+00             4.181062E+01             2.625093E+01             4.936840E+01
                  11.1600            -4.502992E+01            -5.518375E+01            -3.671670E+01             5.289729E+00             4.245822E+01             2.632726E+01             4.995823E+01
                  11.3400            -4.570703E+01            -5.527428E+01            -3.734567E+01             5.299904E+00             4.310508E+01             2.640264E+01             5.054846E+01
                  11.5200            -4.638327E+01            -5.536452E+01            -3.797399E+01             5.309954E+00             4.375119E+01             2.647708E+01             5.113905E+01
                  11.7000            -4.705862E+01            -5.545446E+01            -3.860164E+01             5.319877E+00             4.439655E+01             2.655054E+01             5.172992E+01
                  11.8800            -4.773306E+01            -5.554409E+01            -3.922861E+01             5.329671E+00             4.504115E+01             2.662302E+01             5.232103E+01
                  12.0600            -4.840659E+01            -5.563342E+01            -3.985490E+01             5.339335E+00             4.568497E+01             2.669450E+01             5.291231E+01
                  12.2400            -4.907917E+01            -5.572244E+01            -4.048050E+01             5.348866E+00             4.632801E+01             2.676497E+01             5.350372E+01
                  12.4200            -4.975081E+01            -5.581115E+01            -4.110539E+01             5.358262E+00             4.697026E+01             2.683441E+01             5.409520E+01
                  12.6000            -5.042149E+01            -5.589955E+01            -4.172957E+01             5.367520E+00             4.761170E+01             2.690282E+01             5.468671E+01
                  12.7800            -5.109120E+01            -5.598764E+01            -4.235303E+01             5.376638E+00             4.825234E+01             2.697019E+01             5.527820E+01
                  12.9600            -5.175991E+01            -5.607541E+01            -4.297575E+01             5.385612E+00             4.889216E+01             2.703650E+01             5.586963E+01
                  13.1400            -5.242762E+01            -5.616287E+01            -4.359774E+01             5.394441E+00             4.953115E+01             2.710174E+01             5.646095E+01
                  13.3200            -5.309432E+01            -5.625002E+01            -4.421898E+01             5.403120E+00             5.016930E+01             2.716591E+01             5.705213E+01
                  13.5000            -5.375999E+01            -5.633685E+01            -4.483947E+01             5.411646E+00             5.080661E+01             2.722900E+01             5.764313E+01
                  13.6800            -5.442463E+01            -5.642338E+01            -4.545919E+01             5.420016E+00             5.144306E+01             2.729101E+01             5.823390E+01
                  13.8600            -5.508821E+01            -5.650959E+01            -4.607814E+01             5.428225E+00             5.207865E+01             2.735192E+01             5.882443E+01
                  14.0400            -5.575074E+01            -5.659551E+01            -4.669630E+01             5.436270E+00             5.271336E+01             2.741174E+01             5.941466E+01
                  14.2200            -5.641219E+01            -5.668112E+01            -4.731369E+01             5.444147E+00             5.334719E+01             2.747046E+01             6.000457E+01
                  14.4000            -5.707256E+01            -5.676643E+01            -4.793027E+01             5.451850E+00             5.398012E+01             2.752808E+01             6.059413E+01
                  14.5800            -5.773184E+01            -5.685145E+01            -4.854606E+01             5.459375E+00             5.461215E+01             2.758460E+01             6.118331E+01
                  14.7600            -5.839002E+01            -5.693619E+01            -4.916103E+01             5.466718E+00             5.524327E+01             2.764002E+01             6.177208E+01
                  14.9400            -5.904709E+01            -5.702064E+01            -4.977519E+01             5.473874E+00             5.587347E+01             2.769435E+01             6.236042E+01
                  15.1200            -5.970304E+01            -5.710481E+01            -5.038853E+01             5.480836E+00             5.650274E+01             2.774757E+01             6.294829E+01
                  15.3000            -6.035787E+01            -5.718871E+01            -5.100104E+01             5.487601E+00             5.713106E+01             2.779971E+01             6.353567E+01
                  15.4800            -6.101155E+01            -5.727235E+01            -5.161271E+01             5.494162E+00             5.775843E+01             2.785076E+01             6.412255E+01
                  15.6600            -6.166410E+01            -5.735573E+01            -5.222354E+01             5.500513E+00             5.838484E+01             2.790074E+01             6.470889E+01
                  15.8400            -6.231549E+01            -5.743886E+01            -5.283352E+01             5.506650E+00             5.901028E+01             2.794964E+01             6.529468E+01
                  16.0200            -6.296572E+01            -5.752175E+01            -5.344265E+01             5.512565E+00             5.963473E+01             2.799748E+01             6.587989E+01
                  16.2000            -6.361478E+01            -5.760441E+01            -5.405092E+01             5.518253E+00             6.025819E+01             2.804426E+01             6.646451E+01
                  16.3800            -6.426267E+01            -5.768685E+01            -5.465832E+01             5.523707E+00             6.088065E+01             2.809000E+01             6.704850E+01
                  16.5600            -6.490938E+01            -5.776907E+01            -5.526486E+01             5.528921E+00             6.150209E+01             2.813472E+01             6.763187E+01
                  16.7400            -6.555491E+01            -5.785108E+01            -5.587051E+01             5.533889E+00             6.212251E+01             2.817841E+01             6.821458E+01
                  16.9200            -6.619924E+01            -5.793290E+01            -5.647529E+01             5.538604E+00             6.274189E+01             2.822111E+01             6.879663E+01
                  17.1000            -6.684237E+01            -5.801452E+01            -5.707917E+01             5.543060E+00             6.336023E+01             2.826281E+01             6.937799E+01
