                   Degree              dlvdt[mm/s]            dlvdtt[mm/s2]
                   0.0000             0.000000E+00             1.062569E+05
                   0.1800             2.257577E+00             1.062562E+05
                   0.3600             4.515124E+00             1.062540E+05
                   0.5400             6.772611E+00             1.062505E+05
                   0.7200             9.030006E+00             1.062455E+05
                   0.9000             1.128728E+01             1.062391E+05
                   1.0800             1.354440E+01             1.062312E+05
                   1.2600             1.580134E+01             1.062220E+05
                   1.4400             1.805807E+01             1.062113E+05
                   1.6200             2.031456E+01             1.061992E+05
                   1.8000             2.257078E+01             1.061856E+05
                   1.9800             2.482669E+01             1.061707E+05
                   2.1600             2.708227E+01             1.061543E+05
                   2.3400             2.933748E+01             1.061365E+05
                   2.5200             3.159231E+01             1.061172E+05
                   2.7000             3.384670E+01             1.060966E+05
                   2.8800             3.610065E+01             1.060745E+05
                   3.0600             3.835411E+01             1.060510E+05
                   3.2400             4.060706E+01             1.060261E+05
                   3.4200             4.285946E+01             1.059998E+05
                   3.6000             4.511129E+01             1.059720E+05
                   3.7800             4.736251E+01             1.059429E+05
                   3.9600             4.961310E+01             1.059123E+05
                   4.1400             5.186302E+01             1.058803E+05
                   4.3200             5.411225E+01             1.058468E+05
                   4.5000             5.636075E+01             1.058120E+05
                   4.6800             5.860850E+01             1.057758E+05
                   4.8600             6.085546E+01             1.057381E+05
                   5.0400             6.310161E+01             1.056990E+05
                   5.2200             6.534691E+01             1.056585E+05
                   5.4000             6.759134E+01             1.056166E+05
                   5.5800             6.983486E+01             1.055733E+05
                   5.7600             7.207745E+01             1.055286E+05
                   5.9400             7.431907E+01             1.054825E+05
                   6.1200             7.655970E+01             1.054350E+05
                   6.3000             7.879930E+01             1.053860E+05
                   6.4800             8.103785E+01             1.053357E+05
                   6.6600             8.327531E+01             1.052840E+05
                   6.8400             8.551166E+01             1.052308E+05
                   7.0200             8.774687E+01             1.051763E+05
                   7.2000             8.998090E+01             1.051203E+05
                   7.3800             9.221373E+01             1.050630E+05
                   7.5600             9.444532E+01             1.050043E+05
                   7.7400             9.667565E+01             1.049441E+05
                   7.9200             9.890469E+01             1.048826E+05
                   8.1000             1.011324E+02             1.048197E+05
                   8.2800             1.033588E+02             1.047554E+05
                   8.4600             1.055838E+02             1.046897E+05
                   8.6400             1.078073E+02             1.046226E+05
                   8.8200             1.100295E+02             1.045542E+05
                   9.0000             1.122501E+02             1.044843E+05
                   9.1800             1.144693E+02             1.044131E+05
                   9.3600             1.166870E+02             1.043405E+05
                   9.5400             1.189030E+02             1.042665E+05
                   9.7200             1.211175E+02             1.041912E+05
                   9.9000             1.233304E+02             1.041144E+05
                  10.0800             1.255416E+02             1.040363E+05
                  10.2600             1.277512E+02             1.039569E+05
                  10.4400             1.299591E+02             1.038760E+05
                  10.6200             1.321652E+02             1.037938E+05
                  10.8000             1.343696E+02             1.037102E+05
                  10.9800             1.365721E+02             1.036253E+05
