                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                   0.0000             0.000000E+00            -1.597764E+01            -3.344682E+00
                   0.1800            -3.394677E-04            -1.597754E+01             1.025144E+01
                   0.3600            -6.789309E-04            -1.597722E+01             2.025099E+01
                   0.5400            -1.018385E-03            -1.597669E+01             3.025170E+01
                   0.7200            -1.357826E-03            -1.597595E+01             4.025289E+01
                   0.9000            -1.697248E-03            -1.597499E+01             5.025218E+01
                   1.0800            -2.036648E-03            -1.597382E+01             6.024930E+01
                   1.2600            -2.376021E-03            -1.597244E+01             7.024599E+01
                   1.4400            -2.715363E-03            -1.597085E+01             8.024069E+01
                   1.6200            -3.054668E-03            -1.596904E+01             9.023347E+01
                   1.8000            -3.393932E-03            -1.596703E+01             1.002236E+02
                   1.9800            -3.733152E-03            -1.596480E+01             1.102119E+02
                   2.1600            -4.072322E-03            -1.596235E+01             1.201972E+02
                   2.3400            -4.411437E-03            -1.595970E+01             1.301798E+02
                   2.5200            -4.750494E-03            -1.595683E+01             1.401593E+02
                   2.7000            -5.089488E-03            -1.595375E+01             1.501354E+02
                   2.8800            -5.428414E-03            -1.595046E+01             1.601079E+02
                   3.0600            -5.767269E-03            -1.594696E+01             1.700764E+02
                   3.2400            -6.106046E-03            -1.594325E+01             1.800409E+02
                   3.4200            -6.444742E-03            -1.593932E+01             1.900012E+02
                   3.6000            -6.783353E-03            -1.593518E+01             1.999568E+02
                   3.7800            -7.121873E-03            -1.593084E+01             2.099076E+02
                   3.9600            -7.460299E-03            -1.592628E+01             2.198535E+02
                   4.1400            -7.798626E-03            -1.592150E+01             2.297940E+02
                   4.3200            -8.136849E-03            -1.591652E+01             2.397290E+02
                   4.5000            -8.474964E-03            -1.591133E+01             2.496582E+02
                   4.6800            -8.812966E-03            -1.590592E+01             2.595815E+02
                   4.8600            -9.150851E-03            -1.590031E+01             2.694986E+02
                   5.0400            -9.488615E-03            -1.589448E+01             2.794092E+02
                   5.2200            -9.826253E-03            -1.588845E+01             2.893131E+02
                   5.4000            -1.016376E-02            -1.588220E+01             2.992101E+02
                   5.5800            -1.050113E-02            -1.587574E+01             3.090999E+02
                   5.7600            -1.083836E-02            -1.586908E+01             3.189823E+02
                   5.9400            -1.117545E-02            -1.586220E+01             3.288571E+02
                   6.1200            -1.151239E-02            -1.585511E+01             3.387240E+02
                   6.3000            -1.184918E-02            -1.584782E+01             3.485828E+02
                   6.4800            -1.218581E-02            -1.584031E+01             3.584333E+02
                   6.6600            -1.252228E-02            -1.583260E+01             3.682752E+02
                   6.8400            -1.285858E-02            -1.582467E+01             3.781084E+02
                   7.0200            -1.319472E-02            -1.581654E+01             3.879325E+02
                   7.2000            -1.353067E-02            -1.580820E+01             3.977473E+02
                   7.3800            -1.386645E-02            -1.579965E+01             4.075526E+02
                   7.5600            -1.420205E-02            -1.579089E+01             4.173483E+02
                   7.7400            -1.453745E-02            -1.578192E+01             4.271339E+02
                   7.9200            -1.487266E-02            -1.577275E+01             4.369095E+02
                   8.1000            -1.520768E-02            -1.576337E+01             4.466746E+02
                   8.2800            -1.554249E-02            -1.575378E+01             4.564290E+02
                   8.4600            -1.587710E-02            -1.574398E+01             4.661726E+02
                   8.6400            -1.621150E-02            -1.573398E+01             4.759051E+02
                   8.8200            -1.654568E-02            -1.572377E+01             4.856263E+02
                   9.0000            -1.687965E-02            -1.571336E+01             4.953360E+02
                   9.1800            -1.721339E-02            -1.570273E+01             5.050339E+02
                   9.3600            -1.754690E-02            -1.569191E+01             5.147198E+02
                   9.5400            -1.788018E-02            -1.568087E+01             5.243934E+02
                   9.7200            -1.821323E-02            -1.566963E+01             5.340547E+02
                   9.9000            -1.854603E-02            -1.565819E+01             5.437033E+02
                  10.0800            -1.887859E-02            -1.564654E+01             5.533390E+02
                  10.2600            -1.921089E-02            -1.563469E+01             5.629616E+02
                  10.4400            -1.954295E-02            -1.562263E+01             5.725709E+02
                  10.6200            -1.987474E-02            -1.561037E+01             5.821667E+02
                  10.8000            -2.020628E-02            -1.559790E+01             5.917487E+02
                  10.9800            -2.053754E-02            -1.558523E+01             6.013167E+02
                  11.1600            -2.086854E-02            -1.557236E+01             6.108705E+02
                  11.3400            -2.119926E-02            -1.555928E+01             6.204099E+02
                  11.5200            -2.152970E-02            -1.554601E+01             6.299347E+02
