                             Degree                         Volume[m3]                    I.Pressure[kPa]                   I.Temperature[K]                         I.Mass[kg]
                            13.1400                       5.213732E-08                       1.008573E+02                       3.037850E+02                       6.031905E-08
                            13.3200                       5.230601E-08                       1.008573E+02                       3.037850E+02                       6.051422E-08
                            13.5000                       5.248293E-08                       1.008573E+02                       3.037850E+02                       6.071890E-08
                            13.6800                       5.266825E-08                       1.008573E+02                       3.037850E+02                       6.093330E-08
                            13.8600                       5.286215E-08                       1.008573E+02                       3.037850E+02                       6.115762E-08
                            14.0400                       5.306479E-08                       1.008573E+02                       3.037850E+02                       6.139207E-08
                            14.2200                       5.327637E-08                       1.008573E+02                       3.037850E+02                       6.163685E-08
                            14.4000                       5.349705E-08                       1.008573E+02                       3.037850E+02                       6.189216E-08
                            14.5800                       5.372700E-08                       1.008573E+02                       3.037850E+02                       6.215820E-08
                            14.7600                       5.396642E-08                       1.008573E+02                       3.037850E+02                       6.243518E-08
                            14.9400                       5.421546E-08                       1.008573E+02                       3.037850E+02                       6.272331E-08
                            15.1200                       5.447431E-08                       1.008573E+02                       3.037850E+02                       6.302277E-08
                            15.3000                       5.474313E-08                       1.008573E+02                       3.037850E+02                       6.333379E-08
                            15.4800                       5.502212E-08                       1.008573E+02                       3.037850E+02                       6.365655E-08
                            15.6600                       5.531143E-08                       1.008573E+02                       3.037850E+02                       6.399126E-08
                            15.8400                       5.561124E-08                       1.008573E+02                       3.037850E+02                       6.433813E-08
                            16.0200                       5.592174E-08                       1.008573E+02                       3.037850E+02                       6.469735E-08
                            16.2000                       5.624309E-08                       1.008573E+02                       3.037850E+02                       6.506912E-08
                            16.3800                       5.657546E-08                       1.008573E+02                       3.037850E+02                       6.545366E-08
                            16.5600                       5.691904E-08                       1.008573E+02                       3.037850E+02                       6.585115E-08
                            16.7400                       5.727398E-08                       1.008573E+02                       3.037850E+02                       6.626180E-08
                            16.9200                       5.764048E-08                       1.008573E+02                       3.037850E+02                       6.668581E-08
                            17.1000                       5.801870E-08                       1.008573E+02                       3.037850E+02                       6.712338E-08
                            17.2800                       5.840881E-08                       1.008573E+02                       3.037850E+02                       6.757471E-08
                            17.4600                       5.881099E-08                       1.008573E+02                       3.037850E+02                       6.804000E-08
                            17.6400                       5.922540E-08                       1.008573E+02                       3.037850E+02                       6.851945E-08
                            17.8200                       5.965223E-08                       1.008573E+02                       3.037850E+02                       6.901326E-08
                            18.0000                       6.009165E-08                       1.008573E+02                       3.037850E+02                       6.952163E-08
                            18.1800                       6.054382E-08                       1.008573E+02                       3.037850E+02                       7.004475E-08
