                   Degree                 Q1[m3/s]                 Q2[m3/s]                Q3c[m3/s]                Q3s[m3/s]                 Q4[m3/s]                Q5a[m3/s]                Q5b[m3/s]                Q6c[m3/s]                Q6s[m3/s]                 Q7[m3/s]                 Q8[m3/s]                Q9a[m3/s]                Q9b[m3/s]
                   0.0000             1.017823E-06             1.254220E-07             1.017817E-06             1.642286E-15             1.461386E-08             6.840713E-08             9.754165E-07             5.218174E-12             9.628550E-21             8.924007E-07            -1.570276E-07            -1.563373E-07             5.790357E-07
                   0.1800             1.018019E-06             1.255294E-07             1.017373E-06             6.400617E-10             1.459839E-08             6.833407E-08             9.754165E-07             5.281318E-12             7.427953E-15             8.924893E-07            -1.570728E-07            -1.563808E-07             5.790357E-07
                   0.3600             1.018197E-06             1.256272E-07             1.016913E-06             1.279040E-09             1.458416E-08             6.826746E-08             9.754165E-07             5.338224E-12             1.485154E-14             8.925702E-07            -1.571133E-07            -1.564212E-07             5.790357E-07
                   0.5400             1.018361E-06             1.257169E-07             1.016440E-06             1.916192E-09             1.457107E-08             6.820626E-08             9.754165E-07             5.389962E-12             2.221951E-14             8.926445E-07            -1.571505E-07            -1.564583E-07             5.790357E-07
                   0.7200             1.018511E-06             1.257990E-07             1.015954E-06             2.551585E-09             1.455913E-08             6.815035E-08             9.754165E-07             5.436651E-12             2.952884E-14             8.927125E-07            -1.571845E-07            -1.564922E-07             5.790357E-07
                   0.9000             1.018647E-06             1.258731E-07             1.015456E-06             3.185499E-09             1.454831E-08             6.809978E-08             9.754165E-07             5.478224E-12             3.678893E-14             8.927739E-07            -1.572153E-07            -1.565229E-07             5.790357E-07
                   1.0800             1.018769E-06             1.259397E-07             1.014945E-06             3.818225E-09             1.453863E-08             6.805444E-08             9.754165E-07             5.514794E-12             4.401015E-14             8.928290E-07            -1.572429E-07            -1.565504E-07             5.790357E-07
                   1.2600             1.018876E-06             1.259984E-07             1.014420E-06             4.450051E-09             1.453006E-08             6.801438E-08             9.754165E-07             5.546290E-12             5.120243E-14             8.928776E-07            -1.572672E-07            -1.565747E-07             5.790357E-07
                   1.4400             1.018970E-06             1.260496E-07             1.013883E-06             5.081245E-09             1.452260E-08             6.797948E-08             9.754165E-07             5.572824E-12             5.837497E-14             8.929200E-07            -1.572884E-07            -1.565959E-07             5.790357E-07
                   1.6200             1.019049E-06             1.260933E-07             1.013332E-06             5.712061E-09             1.451625E-08             6.794976E-08             9.754165E-07             5.594366E-12             6.553585E-14             8.929561E-07            -1.573065E-07            -1.566139E-07             5.790357E-07
                   1.8000             1.019115E-06             1.261292E-07             1.012767E-06             6.342749E-09             1.451100E-08             6.792524E-08             9.754165E-07             5.610891E-12             7.269281E-14             8.929859E-07            -1.573214E-07            -1.566288E-07             5.790357E-07
                   1.9800             1.019167E-06             1.261577E-07             1.012188E-06             6.973553E-09             1.450685E-08             6.790579E-08             9.754165E-07             5.622512E-12             7.985398E-14             8.930095E-07            -1.573332E-07            -1.566406E-07             5.790357E-07
                   2.1600             1.019206E-06             1.261788E-07             1.011595E-06             7.604709E-09             1.450378E-08             6.789142E-08             9.754165E-07             5.629211E-12             8.702651E-14             8.930270E-07            -1.573420E-07            -1.566493E-07             5.790357E-07
                   2.3400             1.019231E-06             1.261924E-07             1.010989E-06             8.236443E-09             1.450179E-08             6.788214E-08             9.754165E-07             5.630990E-12             9.421708E-14             8.930383E-07            -1.573476E-07            -1.566550E-07             5.790357E-07
                   2.5200             1.019243E-06             1.261991E-07             1.010368E-06             8.868950E-09             1.450082E-08             6.787761E-08             9.754165E-07             5.628144E-12             1.014323E-13             8.930438E-07            -1.573503E-07            -1.566577E-07             5.790357E-07
                   2.7000             1.019249E-06             1.262027E-07             1.009742E-06             9.501866E-09             1.450030E-08             6.787517E-08             9.754165E-07             5.623275E-12             1.086624E-13             8.930467E-07            -1.573518E-07            -1.566592E-07             5.790357E-07
                   2.8800             1.019256E-06             1.262062E-07             1.009115E-06             1.013482E-08             1.449978E-08             6.787272E-08             9.754165E-07             5.618404E-12             1.158975E-13             8.930497E-07            -1.573533E-07            -1.566607E-07             5.790357E-07
                   3.0600             1.019262E-06             1.262097E-07             1.008489E-06             1.076782E-08             1.449925E-08             6.787032E-08             9.754165E-07             5.613484E-12             1.231379E-13             8.930526E-07            -1.573547E-07            -1.566622E-07             5.790357E-07
                   3.2400             1.019269E-06             1.262134E-07             1.007862E-06             1.140088E-08             1.449873E-08             6.786786E-08             9.754165E-07             5.608611E-12             1.303852E-13             8.930556E-07            -1.573562E-07            -1.566637E-07             5.790357E-07
