                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   4.8600             5.019265E-08             1.107069E+02             3.155860E+02             3.458220E+05             1.222334E+00             4.419690E+05             3.912227E+03             1.928161E-05             1.007168E+03             2.753523E-02             6.015547E-08             0.000000E+00             0.000000E+00
                   5.0400             5.017555E-08             1.107143E+02             3.155949E+02             3.458241E+05             1.222381E+00             4.419779E+05             3.912236E+03             1.928203E-05             1.007169E+03             2.753588E-02             6.013645E-08             0.000000E+00             0.000000E+00
                   5.2200             5.015845E-08             1.107217E+02             3.156038E+02             3.458262E+05             1.222427E+00             4.419869E+05             3.912245E+03             1.928245E-05             1.007170E+03             2.753654E-02             6.011741E-08             0.000000E+00             0.000000E+00
                   5.4000             5.014155E-08             1.107289E+02             3.156127E+02             3.458283E+05             1.222473E+00             4.419958E+05             3.912255E+03             1.928287E-05             1.007170E+03             2.753719E-02             6.009856E-08             0.000000E+00             0.000000E+00
                   5.5800             5.012501E-08             1.107360E+02             3.156215E+02             3.458305E+05             1.222517E+00             4.420047E+05             3.912264E+03             1.928329E-05             1.007171E+03             2.753783E-02             6.008009E-08             0.000000E+00             0.000000E+00
                   5.7600             5.010902E-08             1.107429E+02             3.156301E+02             3.458326E+05             1.222559E+00             4.420133E+05             3.912274E+03             1.928369E-05             1.007171E+03             2.753846E-02             6.006220E-08             0.000000E+00             0.000000E+00
                   5.9400             5.009376E-08             1.107494E+02             3.156384E+02             3.458347E+05             1.222599E+00             4.420216E+05             3.912283E+03             1.928408E-05             1.007172E+03             2.753907E-02             6.004509E-08             0.000000E+00             0.000000E+00
                   6.1200             5.007940E-08             1.107555E+02             3.156463E+02             3.458367E+05             1.222636E+00             4.420296E+05             3.912293E+03             1.928446E-05             1.007172E+03             2.753965E-02             6.002897E-08             0.000000E+00             0.000000E+00
                   6.3000             5.006612E-08             1.107611E+02             3.156536E+02             3.458386E+05             1.222670E+00             4.420370E+05             3.912302E+03             1.928480E-05             1.007172E+03             2.754019E-02             6.001404E-08             0.000000E+00             0.000000E+00
                   6.4800             5.005412E-08             1.107662E+02             3.156604E+02             3.458404E+05             1.222699E+00             4.420438E+05             3.912310E+03             1.928512E-05             1.007173E+03             2.754069E-02             6.000048E-08             0.000000E+00             0.000000E+00
