                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   4.8600             5.019265E-08             9.031968E+01             3.053153E+02             3.497371E+05             1.030816E+00             4.316715E+05             3.937465E+03             1.879096E-05             1.006412E+03             2.677471E-02             5.293879E-08             0.000000E+00             0.000000E+00
                   5.0400             5.017555E-08             9.031152E+01             3.053200E+02             3.497450E+05             1.030707E+00             4.316762E+05             3.937506E+03             1.879119E-05             1.006412E+03             2.677506E-02             5.291619E-08             0.000000E+00             0.000000E+00
                   5.2200             5.015845E-08             9.030332E+01             3.053247E+02             3.497530E+05             1.030597E+00             4.316810E+05             3.937548E+03             1.879141E-05             1.006412E+03             2.677540E-02             5.289357E-08             0.000000E+00             0.000000E+00
                   5.4000             5.014155E-08             9.029516E+01             3.053294E+02             3.497609E+05             1.030488E+00             4.316858E+05             3.937589E+03             1.879164E-05             1.006412E+03             2.677575E-02             5.287116E-08             0.000000E+00             0.000000E+00
                   5.5800             5.012501E-08             9.028714E+01             3.053342E+02             3.497687E+05             1.030380E+00             4.316906E+05             3.937630E+03             1.879186E-05             1.006412E+03             2.677610E-02             5.284920E-08             0.000000E+00             0.000000E+00
                   5.7600             5.010902E-08             9.027932E+01             3.053390E+02             3.497764E+05             1.030275E+00             4.316954E+05             3.937671E+03             1.879209E-05             1.006412E+03             2.677645E-02             5.282791E-08             0.000000E+00             0.000000E+00
                   5.9400             5.009376E-08             9.027181E+01             3.053437E+02             3.497840E+05             1.030173E+00             4.317003E+05             3.937711E+03             1.879232E-05             1.006412E+03             2.677680E-02             5.280753E-08             0.000000E+00             0.000000E+00
                   6.1200             5.007940E-08             9.026469E+01             3.053485E+02             3.497913E+05             1.030076E+00             4.317051E+05             3.937749E+03             1.879254E-05             1.006412E+03             2.677715E-02             5.278828E-08             0.000000E+00             0.000000E+00
                   6.3000             5.006612E-08             9.025803E+01             3.053533E+02             3.497983E+05             1.029984E+00             4.317099E+05             3.937786E+03             1.879277E-05             1.006412E+03             2.677750E-02             5.277040E-08             0.000000E+00             0.000000E+00
                   6.4800             5.005412E-08             9.025195E+01             3.053580E+02             3.498050E+05             1.029898E+00             4.317147E+05             3.937821E+03             1.879300E-05             1.006412E+03             2.677785E-02             5.275411E-08             0.000000E+00             0.000000E+00
                   6.6600             5.004355E-08             9.024651E+01             3.053627E+02             3.498113E+05             1.029820E+00             4.317194E+05             3.937854E+03             1.879322E-05             1.006412E+03             2.677820E-02             5.273966E-08             0.000000E+00             0.000000E+00
                   6.8400             5.003462E-08             9.024180E+01             3.053674E+02             3.498171E+05             1.029751E+00             4.317241E+05             3.937884E+03             1.879345E-05             1.006413E+03             2.677854E-02             5.272725E-08             0.000000E+00             0.000000E+00
                   7.0200             5.002748E-08             9.023792E+01             3.053721E+02             3.498224E+05             1.029691E+00             4.317288E+05             3.937912E+03             1.879367E-05             1.006413E+03             2.677888E-02             5.271714E-08             0.000000E+00             0.000000E+00
                   7.2000             5.002233E-08             9.023495E+01             3.053767E+02             3.498272E+05             1.029641E+00             4.317335E+05             3.937937E+03             1.879389E-05             1.006413E+03             2.677922E-02             5.270954E-08             0.000000E+00             0.000000E+00
                   7.3800             5.001935E-08             9.023298E+01             3.053812E+02             3.498314E+05             1.029603E+00             4.317380E+05             3.937958E+03             1.879410E-05             1.006413E+03             2.677956E-02             5.270469E-08             0.000000E+00             0.000000E+00
                   7.5600             5.001871E-08             9.023209E+01             3.053857E+02             3.498349E+05             1.029578E+00             4.317425E+05             3.937976E+03             1.879432E-05             1.006413E+03             2.677988E-02             5.270282E-08             0.000000E+00             0.000000E+00
                   7.7400             5.002059E-08             9.023237E+01             3.053901E+02             3.498376E+05             1.029566E+00             4.317469E+05             3.937989E+03             1.879453E-05             1.006413E+03             2.678021E-02             5.270416E-08             0.000000E+00             0.000000E+00
                   7.9200             5.002517E-08             9.023391E+01             3.053944E+02             3.498397E+05             1.029569E+00             4.317513E+05             3.937998E+03             1.879473E-05             1.006414E+03             2.678053E-02             5.270893E-08             0.000000E+00             0.000000E+00
                   8.1000             5.003263E-08             9.023678E+01             3.053986E+02             3.498409E+05             1.029588E+00             4.317555E+05             3.938003E+03             1.879494E-05             1.006414E+03             2.678084E-02             5.271737E-08             0.000000E+00             0.000000E+00
                   8.2800             5.004316E-08             9.024108E+01             3.054027E+02             3.498412E+05             1.029623E+00             4.317597E+05             3.938003E+03             1.879513E-05             1.006414E+03             2.678115E-02             5.272970E-08             0.000000E+00             0.000000E+00
                   8.4600             5.005692E-08             9.024689E+01             3.054068E+02             3.498406E+05             1.029676E+00             4.317637E+05             3.937998E+03             1.879533E-05             1.006414E+03             2.678145E-02             5.274616E-08             0.000000E+00             0.000000E+00
                   8.6400             5.007411E-08             9.025428E+01             3.054107E+02             3.498390E+05             1.029747E+00             4.317677E+05             3.937987E+03             1.879552E-05             1.006415E+03             2.678174E-02             5.276697E-08             0.000000E+00             0.000000E+00
                   8.8200             5.009489E-08             9.026335E+01             3.054145E+02             3.498364E+05             1.029837E+00             4.317715E+05             3.937971E+03             1.879570E-05             1.006415E+03             2.678203E-02             5.279236E-08             0.000000E+00             0.000000E+00
                   9.0000             5.011945E-08             9.027415E+01             3.054182E+02             3.498327E+05             1.029948E+00             4.317752E+05             3.937949E+03             1.879588E-05             1.006415E+03             2.678230E-02             5.282256E-08             0.000000E+00             0.000000E+00
                   9.1800             5.014796E-08             9.028678E+01             3.054218E+02             3.498280E+05             1.030080E+00             4.317788E+05             3.937920E+03             1.879605E-05             1.006416E+03             2.678257E-02             5.285779E-08             0.000000E+00             0.000000E+00
