                   Degree                T_ocsc[K]                T_ocdc[K]                T_rosc[K]                T_rodc[K]              T_roller[K]               T_uocsc[K]               T_locsc[K]               T_uocdc[K]               T_locdc[K]
                   0.0000             3.272933E+02             3.272933E+02             3.298071E+02             3.298071E+02             3.306316E+02             3.278236E+02             3.272220E+02             3.278236E+02             3.272220E+02
                   0.1800             3.274279E+02             3.274598E+02             3.299183E+02             3.299532E+02             3.307835E+02             3.279693E+02             3.274099E+02             3.279838E+02             3.274278E+02
                   0.3600             3.273977E+02             3.274438E+02             3.298777E+02             3.299294E+02             3.307619E+02             3.279555E+02             3.274140E+02             3.279657E+02             3.274264E+02
                   0.5400             3.273337E+02             3.273898E+02             3.298064E+02             3.298705E+02             3.307043E+02             3.279025E+02             3.273724E+02             3.279103E+02             3.273817E+02
                   0.7200             3.272512E+02             3.273155E+02             3.297185E+02             3.297929E+02             3.306276E+02             3.278287E+02             3.273062E+02             3.278351E+02             3.273136E+02
                   0.9000             3.271610E+02             3.272323E+02             3.296238E+02             3.297073E+02             3.305427E+02             3.277459E+02             3.272288E+02             3.277512E+02             3.272350E+02
                   1.0800             3.270692E+02             3.271467E+02             3.295280E+02             3.296198E+02             3.304556E+02             3.276604E+02             3.271476E+02             3.276650E+02             3.271530E+02
                   1.2600             3.269790E+02             3.270619E+02             3.294343E+02             3.295334E+02             3.303696E+02             3.275756E+02             3.270665E+02             3.275797E+02             3.270714E+02
                   1.4400             3.268921E+02             3.269798E+02             3.293441E+02             3.294498E+02             3.302864E+02             3.274934E+02             3.269876E+02             3.274972E+02             3.269921E+02
                   1.6200             3.268091E+02             3.269010E+02             3.292580E+02             3.293697E+02             3.302066E+02             3.274145E+02             3.269117E+02             3.274180E+02             3.269160E+02
                   1.8000             3.267304E+02             3.268261E+02             3.291764E+02             3.292935E+02             3.301306E+02             3.273392E+02             3.268393E+02             3.273426E+02             3.268436E+02
                   1.9800             3.266562E+02             3.267550E+02             3.290993E+02             3.292212E+02             3.300586E+02             3.272679E+02             3.267706E+02             3.272712E+02             3.267749E+02
                   2.1600             3.265862E+02             3.266879E+02             3.290267E+02             3.291530E+02             3.299906E+02             3.272005E+02             3.267058E+02             3.272037E+02             3.267100E+02
                   2.3400             3.265206E+02             3.266248E+02             3.289585E+02             3.290887E+02             3.299266E+02             3.271370E+02             3.266447E+02             3.271402E+02             3.266490E+02
                   2.5200             3.264591E+02             3.265655E+02             3.288946E+02             3.290285E+02             3.298666E+02             3.270774E+02             3.265874E+02             3.270806E+02             3.265918E+02
                   2.7000             3.264019E+02             3.265102E+02             3.288350E+02             3.289721E+02             3.298104E+02             3.270217E+02             3.265339E+02             3.270249E+02             3.265384E+02
                   2.8800             3.263487E+02             3.264586E+02             3.287796E+02             3.289196E+02             3.297581E+02             3.269698E+02             3.264840E+02             3.269730E+02             3.264887E+02
                   3.0600             3.262994E+02             3.264109E+02             3.287283E+02             3.288710E+02             3.297096E+02             3.269218E+02             3.264378E+02             3.269249E+02             3.264426E+02
                   3.2400             3.262541E+02             3.263668E+02             3.286810E+02             3.288262E+02             3.296649E+02             3.268774E+02             3.263953E+02             3.268806E+02             3.264001E+02
                   3.4200             3.262126E+02             3.263265E+02             3.286376E+02             3.287851E+02             3.296240E+02             3.268368E+02             3.263563E+02             3.268400E+02             3.263612E+02
                   3.6000             3.261749E+02             3.262898E+02             3.285982E+02             3.287477E+02             3.295867E+02             3.267998E+02             3.263208E+02             3.268031E+02             3.263259E+02
                   3.7800             3.261409E+02             3.262567E+02             3.285625E+02             3.287139E+02             3.295530E+02             3.267664E+02             3.262888E+02             3.267697E+02             3.262940E+02
                   3.9600             3.261105E+02             3.262272E+02             3.285306E+02             3.286838E+02             3.295230E+02             3.267366E+02             3.262603E+02             3.267400E+02             3.262656E+02
                   4.1400             3.260838E+02             3.262011E+02             3.285023E+02             3.286572E+02             3.294965E+02             3.267104E+02             3.262351E+02             3.267137E+02             3.262405E+02
                   4.3200             3.260606E+02             3.261786E+02             3.284777E+02             3.286342E+02             3.294735E+02             3.266876E+02             3.262134E+02             3.266910E+02             3.262189E+02
                   4.5000             3.260408E+02             3.261595E+02             3.284567E+02             3.286146E+02             3.294539E+02             3.266682E+02             3.261949E+02             3.266717E+02             3.262005E+02
                   4.6800             3.260245E+02             3.261437E+02             3.284391E+02             3.285985E+02             3.294378E+02             3.266522E+02             3.261796E+02             3.266558E+02             3.261854E+02
                   4.8600             3.260114E+02             3.261313E+02             3.284249E+02             3.285857E+02             3.294250E+02             3.266396E+02             3.261676E+02             3.266432E+02             3.261734E+02
                   5.0400             3.260016E+02             3.261220E+02             3.284141E+02             3.285762E+02             3.294155E+02             3.266301E+02             3.261586E+02             3.266338E+02             3.261646E+02
                   5.2200             3.259949E+02             3.261159E+02             3.284064E+02             3.285698E+02             3.294090E+02             3.266238E+02             3.261526E+02             3.266275E+02             3.261587E+02
                   5.4000             3.259910E+02             3.261126E+02             3.284016E+02             3.285663E+02             3.294055E+02             3.266203E+02             3.261493E+02             3.266241E+02             3.261556E+02
                   5.5800             3.259896E+02             3.261118E+02             3.283994E+02             3.285654E+02             3.294045E+02             3.266193E+02             3.261484E+02             3.266232E+02             3.261549E+02
                   5.7600             3.259898E+02             3.261125E+02             3.283988E+02             3.285660E+02             3.294050E+02             3.266198E+02             3.261490E+02             3.266239E+02             3.261557E+02
                   5.9400             3.259906E+02             3.261138E+02             3.283987E+02             3.285672E+02             3.294061E+02             3.266208E+02             3.261501E+02             3.266250E+02             3.261570E+02
                   6.1200             3.259914E+02             3.261151E+02             3.283988E+02             3.285684E+02             3.294072E+02             3.266219E+02             3.261512E+02             3.266263E+02             3.261583E+02
                   6.3000             3.259922E+02             3.261163E+02             3.283989E+02             3.285695E+02             3.294083E+02             3.266230E+02             3.261523E+02             3.266274E+02             3.261596E+02
                   6.4800             3.259930E+02             3.261175E+02             3.283990E+02             3.285706E+02             3.294093E+02             3.266240E+02             3.261534E+02             3.266286E+02             3.261608E+02
                   6.6600             3.259937E+02             3.261187E+02             3.283991E+02             3.285717E+02             3.294103E+02             3.266250E+02             3.261544E+02             3.266296E+02             3.261620E+02
                   6.8400             3.259945E+02             3.261198E+02             3.283992E+02             3.285727E+02             3.294112E+02             3.266259E+02             3.261554E+02             3.266306E+02             3.261631E+02
                   7.0200             3.259952E+02             3.261208E+02             3.283993E+02             3.285736E+02             3.294120E+02             3.266267E+02             3.261563E+02             3.266316E+02             3.261641E+02
                   7.2000             3.259958E+02             3.261217E+02             3.283993E+02             3.285744E+02             3.294128E+02             3.266275E+02             3.261571E+02             3.266324E+02             3.261651E+02
                   7.3800             3.259964E+02             3.261226E+02             3.283993E+02             3.285752E+02             3.294135E+02             3.266282E+02             3.261578E+02             3.266332E+02             3.261659E+02
                   7.5600             3.259969E+02             3.261234E+02             3.283992E+02             3.285759E+02             3.294141E+02             3.266288E+02             3.261585E+02             3.266339E+02             3.261667E+02
                   7.7400             3.259973E+02             3.261241E+02             3.283991E+02             3.285765E+02             3.294146E+02             3.266293E+02             3.261590E+02             3.266345E+02             3.261674E+02
                   7.9200             3.259976E+02             3.261247E+02             3.283989E+02             3.285770E+02             3.294150E+02             3.266297E+02             3.261595E+02             3.266350E+02             3.261680E+02
                   8.1000             3.259978E+02             3.261251E+02             3.283985E+02             3.285774E+02             3.294153E+02             3.266300E+02             3.261598E+02             3.266354E+02             3.261685E+02
                   8.2800             3.259979E+02             3.261255E+02             3.283981E+02             3.285777E+02             3.294155E+02             3.266302E+02             3.261600E+02             3.266357E+02             3.261688E+02
                   8.4600             3.259978E+02             3.261257E+02             3.283976E+02             3.285778E+02             3.294156E+02             3.266303E+02             3.261601E+02             3.266359E+02             3.261690E+02
