                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                   3.9600             1.101650E+02             7.810455E-01             4.359562E-02             6.748274E-02             1.102086E+02             8.485282E-01             2.135451E-01             5.153890E-02             1.254690E-01             4.172507E-02             4.664754E-01             2.132048E-01             1.216081E+01             9.206489E+00             8.156074E+00             3.073242E+01
                   4.1400             1.102852E+02             8.647304E-01             4.379939E-02             7.471265E-02             1.103290E+02             9.394431E-01             2.143756E-01             5.346309E-02             1.254700E-01             4.170007E-02             4.669181E-01             1.974378E-01             1.215846E+01             9.217474E+00             8.155557E+00             3.073242E+01
                   4.3200             1.104136E+02             9.496675E-01             4.401051E-02             8.205064E-02             1.104576E+02             1.031718E+00             2.151614E-01             5.537281E-02             1.254714E-01             4.167398E-02             4.673657E-01             1.817125E-01             1.215600E+01             9.228913E+00             8.155033E+00             3.073242E+01
                   4.5000             1.105487E+02             1.036702E+00             4.422703E-02             8.956978E-02             1.105929E+02             1.126272E+00             2.159600E-01             5.726892E-02             1.254731E-01             4.164678E-02             4.678183E-01             1.660282E-01             1.215344E+01             9.240806E+00             8.154503E+00             3.073242E+01
                   4.6800             1.106889E+02             1.124988E+00             4.444880E-02             9.719687E-02             1.107334E+02             1.222185E+00             2.168292E-01             5.915213E-02             1.254752E-01             4.161850E-02             4.682764E-01             1.503835E-01             1.215078E+01             9.253153E+00             8.153967E+00             3.073242E+01
                   4.8600             1.108329E+02             1.215370E+00             4.467538E-02             1.050050E-01             1.108776E+02             1.320375E+00             2.176484E-01             6.102311E-02             1.254777E-01             4.158912E-02             4.687401E-01             1.347770E-01             1.214802E+01             9.265953E+00             8.153426E+00             3.073242E+01
                   5.0400             1.109791E+02             1.307426E+00             4.490519E-02             1.129576E-01             1.110240E+02             1.420384E+00             2.184754E-01             6.288256E-02             1.254805E-01             4.155865E-02             4.692096E-01             1.192073E-01             1.214515E+01             9.279207E+00             8.152879E+00             3.073242E+01
                   5.2200             1.111259E+02             1.400731E+00             4.513847E-02             1.210181E-01             1.111711E+02             1.521749E+00             2.193679E-01             6.473105E-02             1.254836E-01             4.152709E-02             4.696853E-01             1.036732E-01             1.214218E+01             9.292914E+00             8.152329E+00             3.073242E+01
                   5.4000             1.112720E+02             1.496133E+00             4.537354E-02             1.292596E-01             1.113173E+02             1.625393E+00             2.202048E-01             6.656923E-02             1.254871E-01             4.149444E-02             4.701674E-01             8.817259E-02             1.213911E+01             9.307076E+00             8.151775E+00             3.073242E+01
                   5.5800             1.114156E+02             1.592825E+00             4.560998E-02             1.376124E-01             1.114612E+02             1.730438E+00             2.211037E-01             6.839764E-02             1.254909E-01             4.146071E-02             4.706561E-01             7.270420E-02             1.213594E+01             9.321690E+00             8.151218E+00             3.073242E+01
                   5.7600             1.115554E+02             1.691533E+00             4.584732E-02             1.461393E-01             1.116012E+02             1.837672E+00             2.219428E-01             7.021682E-02             1.254950E-01             4.142589E-02             4.711517E-01             5.726573E-02             1.213267E+01             9.336759E+00             8.155057E+00             3.073242E+01
