                   Degree          h_min[micron-m]               p_max[MPa]           Q_martin[cc/s]                    Eccen        Att.Angle[degree]
                   0.0000             2.374997E+01             3.545294E-02             5.087248E-01             5.000007E-01             4.999643E-01
                   0.1800             2.374956E+01             3.229494E-02             5.053435E-01             5.000092E-01            -5.539065E-02
                   0.3600             2.374956E+01             3.233102E-02             5.053843E-01             5.000092E-01            -8.620664E-02
                   0.5400             2.374960E+01             3.235972E-02             5.053672E-01             5.000085E-01            -6.850496E-02
                   0.7200             2.374959E+01             3.243497E-02             5.054166E-01             5.000085E-01            -9.599281E-02
                   0.9000             2.374963E+01             3.248670E-02             5.053930E-01             5.000078E-01            -7.199635E-02
                   1.0800             2.374963E+01             3.258576E-02             5.054468E-01             5.000079E-01            -9.825815E-02
                   1.2600             2.374966E+01             3.265522E-02             5.054183E-01             5.000072E-01            -6.833350E-02
                   1.4400             2.374966E+01             3.277324E-02             5.054724E-01             5.000072E-01            -9.337224E-02
                   1.6200             2.374966E+01             3.290682E-02             5.055419E-01             5.000072E-01            -1.189360E-01
                   1.8000             2.374969E+01             3.299391E-02             5.054933E-01             5.000065E-01            -8.048398E-02
                   1.9800             2.374969E+01             3.314176E-02             5.055573E-01             5.000065E-01            -1.043442E-01
                   2.1600             2.374969E+01             3.330382E-02             5.056359E-01             5.000066E-01            -1.285767E-01
                   2.3400             2.374972E+01             3.340671E-02             5.055682E-01             5.000059E-01            -8.058666E-02
                   2.5200             2.374972E+01             3.357867E-02             5.056351E-01             5.000059E-01            -1.027132E-01
                   2.7000             2.374972E+01             3.376309E-02             5.057151E-01             5.000059E-01            -1.250884E-01
                   2.8800             2.374972E+01             3.395977E-02             5.058088E-01             5.000060E-01            -1.476906E-01
                   3.0600             2.374975E+01             3.407420E-02             5.057010E-01             5.000052E-01            -8.667783E-02
                   3.2400             2.374975E+01             3.427558E-02             5.057747E-01             5.000053E-01            -1.067812E-01
                   3.4200             2.374975E+01             3.448725E-02             5.058597E-01             5.000053E-01            -1.270129E-01
                   3.6000             2.374975E+01             3.470888E-02             5.059566E-01             5.000053E-01            -1.473276E-01
                   3.7800             2.374974E+01             3.494075E-02             5.060661E-01             5.000054E-01            -1.676991E-01
                   3.9600             2.374974E+01             3.518221E-02             5.061889E-01             5.000054E-01            -1.881077E-01
                   4.1400             2.374978E+01             3.529153E-02             5.059745E-01             5.000047E-01            -1.073107E-01
                   4.3200             2.374978E+01             3.553135E-02             5.060629E-01             5.000047E-01            -1.248056E-01
                   4.5000             2.374978E+01             3.578003E-02             5.061611E-01             5.000047E-01            -1.422726E-01
                   4.6800             2.374977E+01             3.603712E-02             5.062694E-01             5.000048E-01            -1.596935E-01
                   4.8600             2.374977E+01             3.630267E-02             5.063883E-01             5.000048E-01            -1.770512E-01
                   5.0400             2.374977E+01             3.657654E-02             5.065181E-01             5.000048E-01            -1.943267E-01
                   5.2200             2.374977E+01             3.685840E-02             5.066591E-01             5.000049E-01            -2.115025E-01
                   5.4000             2.374977E+01             3.714817E-02             5.068117E-01             5.000049E-01            -2.285625E-01
                   5.5800             2.374977E+01             3.744564E-02             5.069762E-01             5.000049E-01            -2.454882E-01
                   5.7600             2.374980E+01             3.751864E-02             5.065099E-01             5.000041E-01            -1.352215E-01
                   5.9400             2.374980E+01             3.780848E-02             5.066182E-01             5.000042E-01            -1.490632E-01
                   6.1200             2.374980E+01             3.810525E-02             5.067341E-01             5.000042E-01            -1.627529E-01
                   6.3000             2.374980E+01             3.840855E-02             5.068577E-01             5.000042E-01            -1.762776E-01
                   6.4800             2.374980E+01             3.871834E-02             5.069890E-01             5.000043E-01            -1.896243E-01
                   6.6600             2.374980E+01             3.903438E-02             5.071281E-01             5.000043E-01            -2.027804E-01
                   6.8400             2.374979E+01             3.935670E-02             5.072750E-01             5.000043E-01            -2.157327E-01
                   7.0200             2.374979E+01             3.968490E-02             5.074297E-01             5.000044E-01            -2.284697E-01
                   7.2000             2.374979E+01             4.001883E-02             5.075921E-01             5.000044E-01            -2.409787E-01
                   7.3800             2.374979E+01             4.035828E-02             5.077621E-01             5.000044E-01            -2.532484E-01
                   7.5600             2.374979E+01             4.070335E-02             5.079397E-01             5.000045E-01            -2.652662E-01
                   7.7400             2.374979E+01             4.105332E-02             5.081246E-01             5.000045E-01            -2.770205E-01
                   7.9200             2.374978E+01             4.140860E-02             5.083168E-01             5.000046E-01            -2.885004E-01
                   8.1000             2.374978E+01             4.176858E-02             5.085159E-01             5.000046E-01            -2.996937E-01
                   8.2800             2.374978E+01             4.213315E-02             5.087217E-01             5.000046E-01            -3.105906E-01
                   8.4600             2.374978E+01             4.250209E-02             5.089338E-01             5.000047E-01            -3.211795E-01
                   8.6400             2.374978E+01             4.287538E-02             5.091519E-01             5.000047E-01            -3.314500E-01
                   8.8200             2.374982E+01             4.282288E-02             5.079149E-01             5.000038E-01            -1.731145E-01
