                   Degree                dmdtheta1                dedtheta1                dvdtheta1
                   0.0000            -5.349778E-09            -2.300864E-03             1.687538E-08
                   0.1800            -4.619192E-05            -2.025769E+01             1.530650E-08
                   0.3600            -4.611243E-05            -2.031571E+01             1.379477E-08
                   0.5400            -4.605711E-05            -2.032713E+01             1.234003E-08
                   0.7200            -4.601409E-05            -2.032151E+01             1.094235E-08
                   0.9000            -4.597862E-05            -2.031055E+01             9.601763E-09
                   1.0800            -4.594870E-05            -2.029874E+01             8.318251E-09
                   1.2600            -4.592346E-05            -2.028777E+01             7.091855E-09
                   1.4400            -4.590242E-05            -2.027824E+01             5.922565E-09
                   1.6200            -4.588526E-05            -2.027032E+01             4.810430E-09
                   1.8000            -4.587176E-05            -2.026401E+01             3.755436E-09
                   1.9800            -4.586168E-05            -2.025927E+01             2.757605E-09
                   2.1600            -4.585483E-05            -2.025602E+01             1.816955E-09
                   2.3400            -4.585100E-05            -2.025418E+01             9.334895E-10
                   2.5200            -4.585001E-05            -2.025365E+01             1.072292E-10
                   2.7000            -4.585165E-05            -2.025435E+01            -6.618297E-10
                   2.8800            -4.585574E-05            -2.025619E+01            -1.373678E-09
                   3.0600            -4.586208E-05            -2.025908E+01            -2.028297E-09
                   3.2400            -4.587049E-05            -2.026293E+01            -2.625690E-09
                   3.4200            -4.588076E-05            -2.026766E+01            -3.165846E-09
                   3.6000            -4.589272E-05            -2.027316E+01            -3.648757E-09
                   3.7800            -4.590616E-05            -2.027937E+01            -4.074428E-09
                   3.9600            -4.592090E-05            -2.028618E+01            -4.442850E-09
                   4.1400            -4.593675E-05            -2.029351E+01            -4.754022E-09
                   4.3200            -4.595352E-05            -2.030127E+01            -5.007941E-09
                   4.5000            -4.597101E-05            -2.030937E+01            -5.204611E-09
                   4.6800            -4.598903E-05            -2.031773E+01            -5.344028E-09
                   4.8600            -4.600740E-05            -2.032624E+01            -5.426196E-09
                   5.0400            -4.602591E-05            -2.033483E+01            -5.451112E-09
                   5.2200            -4.604437E-05            -2.034341E+01            -5.418788E-09
                   5.4000            -4.606259E-05            -2.035187E+01            -5.329219E-09
                   5.5800            -4.608037E-05            -2.036014E+01            -5.182413E-09
                   5.7600            -4.609752E-05            -2.036811E+01            -4.978380E-09
                   5.9400            -4.611384E-05            -2.037571E+01            -4.717123E-09
                   6.1200            -4.612913E-05            -2.038283E+01            -4.398649E-09
                   6.3000            -4.614319E-05            -2.038939E+01            -4.022966E-09
                   6.4800            -4.615583E-05            -2.039529E+01            -3.590085E-09
                   6.6600            -4.616685E-05            -2.040044E+01            -3.100015E-09
                   6.8400            -4.617605E-05            -2.040476E+01            -2.552768E-09
                   7.0200            -4.618324E-05            -2.040814E+01            -1.948358E-09
                   7.2000            -4.618821E-05            -2.041049E+01            -1.286794E-09
                   7.3800            -4.619076E-05            -2.041173E+01            -5.680897E-10
                   7.5600            -4.619071E-05            -2.041176E+01             2.077388E-10
                   7.7400            -4.618785E-05            -2.041050E+01             1.040674E-09
                   7.9200            -4.618199E-05            -2.040784E+01             1.930704E-09
                   8.1000            -4.617294E-05            -2.040370E+01             2.877808E-09
                   8.2800            -4.616050E-05            -2.039800E+01             3.881968E-09
                   8.4600            -4.614449E-05            -2.039064E+01             4.943168E-09
                   8.6400            -4.612471E-05            -2.038153E+01             6.061384E-09
                   8.8200            -4.610099E-05            -2.037060E+01             7.236601E-09
                   9.0000            -4.607314E-05            -2.035775E+01             8.468791E-09
                   9.1800            -4.604098E-05            -2.034291E+01             9.757934E-09
                   9.3600            -4.600434E-05            -2.032599E+01             1.110401E-08
                   9.5400            -4.596304E-05            -2.030692E+01             1.250699E-08
                   9.7200            -4.591692E-05            -2.028561E+01             1.396685E-08
                   9.9000            -4.586582E-05            -2.026199E+01             1.548356E-08
                  10.0800            -4.580957E-05            -2.023600E+01             1.705710E-08
                  10.2600            -4.574803E-05            -2.020756E+01             1.868745E-08
                  10.4400            -4.568106E-05            -2.017661E+01             2.037456E-08
                  10.6200            -4.560850E-05            -2.014307E+01             2.211842E-08
                  10.8000            -4.553024E-05            -2.010690E+01             2.391898E-08
                  10.9800            -4.544613E-05            -2.006803E+01             2.577623E-08
                  11.1600            -4.535607E-05            -2.002642E+01             2.769013E-08
                  11.3400            -4.525994E-05            -1.998201E+01             2.966064E-08
                  11.5200            -4.515764E-05            -1.993475E+01             3.168773E-08
                  11.7000            -4.504908E-05            -1.988461E+01             3.377137E-08
                  11.8800            -4.493416E-05            -1.983155E+01             3.591152E-08
                  12.0600            -4.481282E-05            -1.977553E+01             3.810815E-08
                  12.2400            -4.468498E-05            -1.971653E+01             4.036122E-08
                  12.4200            -4.455058E-05            -1.965453E+01             4.267068E-08
                  12.6000            -4.440958E-05            -1.958949E+01             4.503651E-08
                  12.7800            -4.426193E-05            -1.952141E+01             4.745866E-08
                  12.9600            -4.410761E-05            -1.945029E+01             4.993709E-08
                  13.1400            -4.394660E-05            -1.937610E+01             5.247175E-08
                  13.3200            -4.377888E-05            -1.929886E+01             5.506262E-08
                  13.5000            -4.360447E-05            -1.921857E+01             5.770964E-08
                  13.6800            -4.342337E-05            -1.913524E+01             6.041277E-08
                  13.8600            -4.323560E-05            -1.904888E+01             6.317197E-08
                  14.0400            -4.304120E-05            -1.895952E+01             6.598718E-08
                  14.2200            -4.284021E-05            -1.886717E+01             6.885837E-08
                  14.4000            -4.263268E-05            -1.877187E+01             7.178549E-08
                  14.5800            -4.241868E-05            -1.867365E+01             7.476848E-08
                  14.7600            -4.219828E-05            -1.857255E+01             7.780731E-08
                  14.9400            -4.197156E-05            -1.846861E+01             8.090191E-08
                  15.1200            -4.173861E-05            -1.836187E+01             8.405224E-08
                  15.3000            -4.149953E-05            -1.825241E+01             8.725825E-08
                  15.4800            -4.125445E-05            -1.814025E+01             9.051988E-08
                  15.6600            -4.100346E-05            -1.802548E+01             9.383709E-08
                  15.8400            -4.074671E-05            -1.790814E+01             9.720981E-08
                  16.0200            -4.048433E-05            -1.778831E+01             1.006380E-07
                  16.2000            -4.021645E-05            -1.766606E+01             1.041216E-07
                  16.3800            -3.994324E-05            -1.754145E+01             1.076605E-07
                  16.5600            -3.966484E-05            -1.741458E+01             1.112548E-07
                  16.7400            -3.938142E-05            -1.728550E+01             1.149043E-07
                  16.9200            -3.909315E-05            -1.715432E+01             1.186089E-07
                  17.1000            -3.880020E-05            -1.702110E+01             1.223687E-07
                  17.2800            -3.850275E-05            -1.688595E+01             1.261836E-07
                  17.4600            -3.820099E-05            -1.674893E+01             1.300534E-07
                  17.6400            -3.789511E-05            -1.661015E+01             1.339782E-07
                  17.8200            -3.758528E-05            -1.646969E+01             1.379578E-07
                  18.0000            -3.727172E-05            -1.632765E+01             1.419923E-07
                  18.1800            -3.695460E-05            -1.618411E+01             1.460815E-07
                  18.3600            -3.663414E-05            -1.603917E+01             1.502253E-07
                  18.5400            -3.631054E-05            -1.589292E+01             1.544238E-07
                  18.7200            -3.598399E-05            -1.574546E+01             1.586769E-07
                  18.9000            -3.565469E-05            -1.559688E+01             1.629844E-07
                  19.0800            -3.532285E-05            -1.544727E+01             1.673463E-07
                  19.2600            -3.498867E-05            -1.529673E+01             1.717626E-07
                  19.4400            -3.465236E-05            -1.514534E+01             1.762332E-07
                  19.6200            -3.431410E-05            -1.499321E+01             1.807579E-07
                  19.8000            -3.397410E-05            -1.484041E+01             1.853368E-07
                  19.9800            -3.363255E-05            -1.468704E+01             1.899697E-07
                  20.1600            -3.328966E-05            -1.453319E+01             1.946567E-07
                  20.3400            -3.294561E-05            -1.437894E+01             1.993975E-07
                  20.5200            -3.260059E-05            -1.422437E+01             2.041922E-07
                  20.7000            -3.225479E-05            -1.406958E+01             2.090407E-07
                  20.8800            -3.190838E-05            -1.391464E+01             2.139428E-07
                  21.0600            -3.156156E-05            -1.375964E+01             2.188986E-07
                  21.2400            -3.121449E-05            -1.360464E+01             2.239079E-07
                  21.4200            -3.086735E-05            -1.344972E+01             2.289706E-07
                  21.6000            -3.052030E-05            -1.329497E+01             2.340868E-07
                  21.7800            -3.017351E-05            -1.314044E+01             2.392562E-07
                  21.9600            -2.982713E-05            -1.298622E+01             2.444789E-07
                  22.1400            -2.948132E-05            -1.283236E+01             2.497546E-07
                  22.3200            -2.913622E-05            -1.267893E+01             2.550835E-07
                  22.5000            -2.879198E-05            -1.252599E+01             2.604653E-07
                  22.6800            -2.844874E-05            -1.237360E+01             2.659000E-07
                  22.8600            -2.810664E-05            -1.222182E+01             2.713876E-07
                  23.0400            -2.776579E-05            -1.207071E+01             2.769278E-07
                  23.2200            -2.742633E-05            -1.192031E+01             2.825207E-07
                  23.4000            -2.708838E-05            -1.177068E+01             2.881661E-07
                  23.5800            -2.675204E-05            -1.162187E+01             2.938640E-07
                  23.7600            -2.641742E-05            -1.147391E+01             2.996143E-07
                  23.9400            -2.608464E-05            -1.132685E+01             3.054169E-07
                  24.1200            -2.575378E-05            -1.118074E+01             3.112717E-07
                  24.3000            -2.542494E-05            -1.103562E+01             3.171786E-07
                  24.4800            -2.509821E-05            -1.089151E+01             3.231375E-07
                  24.6600            -2.477367E-05            -1.074845E+01             3.291483E-07
                  24.8400            -2.445140E-05            -1.060648E+01             3.352110E-07
                  25.0200            -2.413148E-05            -1.046562E+01             3.413255E-07
                  25.2000            -2.381397E-05            -1.032590E+01             3.474916E-07
                  25.3800            -2.349894E-05            -1.018735E+01             3.537092E-07
                  25.5600            -2.318645E-05            -1.005000E+01             3.599783E-07
                  25.7400            -2.287656E-05            -9.913855E+00             3.662988E-07
                  25.9200            -2.256931E-05            -9.778946E+00             3.726706E-07
                  26.1000            -2.226476E-05            -9.645290E+00             3.790936E-07
                  26.2800            -2.196295E-05            -9.512903E+00             3.855676E-07
                  26.4600            -2.166391E-05            -9.381799E+00             3.920927E-07
                  26.6400            -2.136769E-05            -9.251992E+00             3.986686E-07
                  26.8200            -2.107432E-05            -9.123494E+00             4.052953E-07
                  27.0000            -2.078383E-05            -8.996314E+00             4.119727E-07
                  27.1800            -2.049624E-05            -8.870462E+00             4.187007E-07
                  27.3600            -2.021157E-05            -8.745944E+00             4.254792E-07
                  27.5400            -1.992985E-05            -8.622768E+00             4.323081E-07
                  27.7200            -1.965108E-05            -8.500937E+00             4.391873E-07
                  27.9000            -1.937529E-05            -8.380454E+00             4.461166E-07
                  28.0800            -1.910248E-05            -8.261323E+00             4.530961E-07
                  28.2600            -1.883267E-05            -8.143545E+00             4.601255E-07
                  28.4400            -1.856584E-05            -8.027118E+00             4.672048E-07
                  28.6200            -1.830202E-05            -7.912043E+00             4.743338E-07
                  28.8000            -1.804120E-05            -7.798318E+00             4.815126E-07
                  28.9800            -1.778337E-05            -7.685939E+00             4.887408E-07
                  29.1600            -1.752853E-05            -7.574903E+00             4.960186E-07
                  29.3400            -1.727668E-05            -7.465205E+00             5.033457E-07
                  29.5200            -1.702781E-05            -7.356841E+00             5.107220E-07
                  29.7000            -1.678190E-05            -7.249803E+00             5.181474E-07
                  29.8800            -1.653895E-05            -7.144085E+00             5.256219E-07
                  30.0600            -1.629895E-05            -7.039680E+00             5.331453E-07
                  30.2400            -1.606187E-05            -6.936579E+00             5.407174E-07
                  30.4200            -1.582770E-05            -6.834774E+00             5.483383E-07
                  30.6000            -1.559643E-05            -6.734255E+00             5.560077E-07
                  30.7800            -1.536803E-05            -6.635013E+00             5.637256E-07
                  30.9600            -1.514248E-05            -6.537037E+00             5.714919E-07
                  31.1400            -1.491977E-05            -6.440318E+00             5.793064E-07
                  31.3200            -1.469986E-05            -6.344842E+00             5.871690E-07
                  31.5000            -1.448274E-05            -6.250601E+00             5.950796E-07
                  31.6800            -1.426839E-05            -6.157580E+00             6.030381E-07
                  31.8600            -1.405677E-05            -6.065769E+00             6.110444E-07
                  32.0400            -1.384786E-05            -5.975154E+00             6.190983E-07
                  32.2200            -1.364163E-05            -5.885723E+00             6.271999E-07
                  32.4000            -1.343806E-05            -5.797463E+00             6.353488E-07
                  32.5800            -1.323712E-05            -5.710361E+00             6.435450E-07
                  32.7600            -1.303877E-05            -5.624403E+00             6.517885E-07
                  32.9400            -1.284300E-05            -5.539575E+00             6.600790E-07
                  33.1200            -1.264976E-05            -5.455865E+00             6.684164E-07
                  33.3000            -1.245904E-05            -5.373257E+00             6.768008E-07
                  33.4800            -1.227079E-05            -5.291738E+00             6.852318E-07
                  33.6600            -1.208499E-05            -5.211293E+00             6.937094E-07
                  33.8400            -1.190161E-05            -5.131909E+00             7.022335E-07
                  34.0200            -1.172061E-05            -5.053571E+00             7.108039E-07
                  34.2000            -1.154197E-05            -4.976264E+00             7.194206E-07
                  34.3800            -1.136564E-05            -4.899974E+00             7.280834E-07
                  34.5600            -1.119161E-05            -4.824687E+00             7.367921E-07
                  34.7400            -1.101983E-05            -4.750387E+00             7.455467E-07
                  34.9200            -1.085028E-05            -4.677061E+00             7.543471E-07
                  35.1000            -1.068292E-05            -4.604693E+00             7.631931E-07
                  35.2800            -1.051773E-05            -4.533270E+00             7.720845E-07
                  35.4600            -1.035466E-05            -4.462776E+00             7.810213E-07
                  35.6400            -1.019368E-05            -4.393198E+00             7.900034E-07
                  35.8200            -1.003477E-05            -4.324520E+00             7.990305E-07
                  36.0000            -9.877886E-06            -4.256727E+00             8.081027E-07
                  36.1800            -9.723002E-06            -4.189807E+00             8.172196E-07
                  36.3600            -9.570084E-06            -4.123744E+00             8.263813E-07
                  36.5400            -9.419099E-06            -4.058524E+00             8.355876E-07
                  36.7200            -9.270016E-06            -3.994132E+00             8.448384E-07
                  36.9000            -9.122802E-06            -3.930555E+00             8.541335E-07
                  37.0800            -8.977426E-06            -3.867778E+00             8.634728E-07
                  37.2600            -8.833856E-06            -3.805788E+00             8.728562E-07
                  37.4400            -8.692059E-06            -3.744569E+00             8.822835E-07
                  37.6200            -8.552005E-06            -3.684109E+00             8.917547E-07
                  37.8000            -8.413663E-06            -3.624394E+00             9.012695E-07
                  37.9800            -8.277000E-06            -3.565409E+00             9.108279E-07
                  38.1600            -8.141987E-06            -3.507141E+00             9.204297E-07
                  38.3400            -8.008592E-06            -3.449577E+00             9.300747E-07
                  38.5200            -7.876784E-06            -3.392703E+00             9.397630E-07
                  38.7000            -7.746534E-06            -3.336505E+00             9.494942E-07
                  38.8800            -7.617810E-06            -3.280970E+00             9.592683E-07
                  39.0600            -7.490582E-06            -3.226086E+00             9.690852E-07
                  39.2400            -7.364821E-06            -3.171838E+00             9.789447E-07
                  39.4200            -7.240497E-06            -3.118214E+00             9.888467E-07
                  39.6000            -7.117579E-06            -3.065201E+00             9.987910E-07
                  39.7800            -6.996039E-06            -3.012785E+00             1.008777E-06
                  39.9600            -6.875847E-06            -2.960955E+00             1.018806E-06
                  40.1400            -6.756973E-06            -2.909696E+00             1.028877E-06
                  40.3200            -6.639389E-06            -2.858997E+00             1.038989E-06
                  40.5000            -6.523066E-06            -2.808845E+00             1.049143E-06
                  40.6800            -6.407975E-06            -2.759227E+00             1.059338E-06
