                             Degree                         Volume[m3]                    I.Pressure[kPa]                   I.Temperature[K]                         I.Mass[kg]
                             0.0000                       5.000000E-08                       1.009429E+02                       3.037630E+02                       5.789962E-08
                             0.1800                       5.005066E-08                       1.009429E+02                       3.037630E+02                       5.795828E-08
                             0.3600                       5.009648E-08                       1.009429E+02                       3.037630E+02                       5.801133E-08
                             0.5400                       5.013763E-08                       1.009429E+02                       3.037630E+02                       5.805899E-08
                             0.7200                       5.017429E-08                       1.009429E+02                       3.037630E+02                       5.810145E-08
                             0.9000                       5.020665E-08                       1.009429E+02                       3.037630E+02                       5.813892E-08
                             1.0800                       5.023489E-08                       1.009429E+02                       3.037630E+02                       5.817162E-08
                             1.2600                       5.025918E-08                       1.009429E+02                       3.037630E+02                       5.819974E-08
                             1.4400                       5.027970E-08                       1.009429E+02                       3.037630E+02                       5.822350E-08
                             1.6200                       5.029663E-08                       1.009429E+02                       3.037630E+02                       5.824311E-08
                             1.8000                       5.031015E-08                       1.009429E+02                       3.037630E+02                       5.825877E-08
                             1.9800                       5.032045E-08                       1.009429E+02                       3.037630E+02                       5.827069E-08
                             2.1600                       5.032769E-08                       1.009429E+02                       3.037630E+02                       5.827908E-08
                             2.3400                       5.033207E-08                       1.009429E+02                       3.037630E+02                       5.828415E-08
                             2.5200                       5.033375E-08                       1.009429E+02                       3.037630E+02                       5.828610E-08
                             2.7000                       5.033292E-08                       1.009429E+02                       3.037630E+02                       5.828514E-08
                             2.8800                       5.032977E-08                       1.009429E+02                       3.037630E+02                       5.828149E-08
                             3.0600                       5.032446E-08                       1.009429E+02                       3.037630E+02                       5.827534E-08
                             3.2400                       5.031718E-08                       1.009429E+02                       3.037630E+02                       5.826691E-08
                             3.4200                       5.030811E-08                       1.009429E+02                       3.037630E+02                       5.825641E-08
                             3.6000                       5.029743E-08                       1.009429E+02                       3.037630E+02                       5.824404E-08
                             3.7800                       5.028532E-08                       1.009429E+02                       3.037630E+02                       5.823001E-08
                             3.9600                       5.027195E-08                       1.009429E+02                       3.037630E+02                       5.821454E-08
                             4.1400                       5.025752E-08                       1.009429E+02                       3.037630E+02                       5.819782E-08
                             4.3200                       5.024219E-08                       1.009429E+02                       3.037630E+02                       5.818007E-08
                             4.5000                       5.022615E-08                       1.009429E+02                       3.037630E+02                       5.816149E-08
                             4.6800                       5.020957E-08                       1.009429E+02                       3.037630E+02                       5.814230E-08
                             4.8600                       5.019265E-08                       1.009429E+02                       3.037630E+02                       5.812270E-08
                             5.0400                       5.017555E-08                       1.009429E+02                       3.037630E+02                       5.810290E-08
                             5.2200                       5.015845E-08                       1.009429E+02                       3.037630E+02                       5.808311E-08
                             5.4000                       5.014155E-08                       1.009429E+02                       3.037630E+02                       5.806353E-08
                             5.5800                       5.012501E-08                       1.009429E+02                       3.037630E+02                       5.804438E-08
                             5.7600                       5.010902E-08                       1.009429E+02                       3.037630E+02                       5.802586E-08
                             5.9400                       5.009376E-08                       1.009429E+02                       3.037630E+02                       5.800818E-08
                             6.1200                       5.007940E-08                       1.009429E+02                       3.037630E+02                       5.799156E-08
                             6.3000                       5.006612E-08                       1.009429E+02                       3.037630E+02                       5.797619E-08
                             6.4800                       5.005412E-08                       1.009429E+02                       3.037630E+02                       5.796228E-08
                             6.6600                       5.004355E-08                       1.009429E+02                       3.037630E+02                       5.795005E-08
                             6.8400                       5.003462E-08                       1.009429E+02                       3.037630E+02                       5.793970E-08
                             7.0200                       5.002748E-08                       1.009429E+02                       3.037630E+02                       5.793144E-08
                             7.2000                       5.002233E-08                       1.009429E+02                       3.037630E+02                       5.792548E-08
                             7.3800                       5.001935E-08                       1.009429E+02                       3.037630E+02                       5.792202E-08
                             7.5600                       5.001871E-08                       1.009429E+02                       3.037630E+02                       5.792128E-08
                             7.7400                       5.002059E-08                       1.009429E+02                       3.037630E+02                       5.792346E-08
                             7.9200                       5.002517E-08                       1.009429E+02                       3.037630E+02                       5.792876E-08
                             8.1000                       5.003263E-08                       1.009429E+02                       3.037630E+02                       5.793741E-08
                             8.2800                       5.004316E-08                       1.009429E+02                       3.037630E+02                       5.794960E-08
                             8.4600                       5.005692E-08                       1.009429E+02                       3.037630E+02                       5.796553E-08
                             8.6400                       5.007411E-08                       1.009429E+02                       3.037630E+02                       5.798543E-08
                             8.8200                       5.009489E-08                       1.009429E+02                       3.037630E+02                       5.800950E-08
                             9.0000                       5.011945E-08                       1.009429E+02                       3.037630E+02                       5.803793E-08
                             9.1800                       5.014796E-08                       1.009429E+02                       3.037630E+02                       5.807095E-08
                             9.3600                       5.018061E-08                       1.009429E+02                       3.037630E+02                       5.810876E-08
                             9.5400                       5.021757E-08                       1.009429E+02                       3.037630E+02                       5.815156E-08
                             9.7200                       5.025903E-08                       1.009429E+02                       3.037630E+02                       5.819957E-08
                             9.9000                       5.030516E-08                       1.009429E+02                       3.037630E+02                       5.825298E-08
                            10.0800                       5.035613E-08                       1.009429E+02                       3.037630E+02                       5.831201E-08
                            10.2600                       5.041214E-08                       1.009429E+02                       3.037630E+02                       5.837687E-08
                            10.4400                       5.047335E-08                       1.009429E+02                       3.037630E+02                       5.844775E-08
                            10.6200                       5.053994E-08                       1.009429E+02                       3.037630E+02                       5.852487E-08
                            10.8000                       5.061210E-08                       1.009429E+02                       3.037630E+02                       5.860843E-08
