                   Degree                L_f_vs[W]               L_ef_vh[W]                L_s_vh[W]               L_ef_ro[W]                 L_lub[W]              L_ef_vro[W]             L_ef_rohc[W]            L_lip_seal[W]         L_reexpansion[W]
                   0.0000             5.923278E-01             6.525476E-02             1.044430E+00             1.909686E+01             1.764487E+01             2.764624E-03             1.909410E+01             5.428282E+01             0.000000E+00
                   0.1800             4.262067E-01             6.525397E-02             1.072528E+00             1.909680E+01             1.795618E+01             2.769628E-03             1.909403E+01             5.428282E+01             0.000000E+00
                   0.3600             3.427380E-01             6.525137E-02             1.074697E+00             1.909655E+01             1.802620E+01             2.784631E-03             1.909377E+01             5.428282E+01             0.000000E+00
                   0.5400             2.593108E-01             6.524703E-02             1.077084E+00             1.909614E+01             1.810484E+01             2.809635E-03             1.909333E+01             5.428282E+01             0.000000E+00
                   0.7200             1.759317E-01             6.524095E-02             1.079692E+00             1.909556E+01             1.819190E+01             2.844638E-03             1.909272E+01             5.428282E+01             0.000000E+00
                   0.9000             9.262480E-02             6.523314E-02             1.082518E+00             1.909482E+01             1.828713E+01             2.889640E-03             1.909193E+01             5.428282E+01             0.000000E+00
                   1.0800             9.395804E-03             6.522360E-02             1.085563E+00             1.909391E+01             1.839025E+01             2.944636E-03             1.909097E+01             5.428282E+01             0.000000E+00
                   1.2600             7.376859E-02             6.521232E-02             1.088825E+00             1.909284E+01             1.850101E+01             3.009625E-03             1.908983E+01             5.428282E+01             0.000000E+00
                   1.4400             1.568490E-01             6.519931E-02             1.092301E+00             1.909160E+01             1.861913E+01             3.084603E-03             1.908852E+01             5.428282E+01             0.000000E+00
                   1.6200             2.398413E-01             6.518457E-02             1.095990E+00             1.909020E+01             1.874430E+01             3.169565E-03             1.908703E+01             5.428282E+01             0.000000E+00
                   1.8000             3.227334E-01             6.516810E-02             1.099887E+00             1.908864E+01             1.887623E+01             3.264509E-03             1.908537E+01             5.428282E+01             0.000000E+00
                   1.9800             4.055283E-01             6.514989E-02             1.103990E+00             1.908690E+01             1.901463E+01             3.369427E-03             1.908354E+01             5.428282E+01             0.000000E+00
