                   Degree                   P1[Pa]                   P2[Pa]                   P3[Pa]                   P4[Pa]                   P5[Pa]                   P6[Pa]                   P7[Pa]                   P8[Pa]                   P9[Pa]                  P3a[Pa]
                   0.0000             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918958E+05             3.916637E+05             3.060955E+05             3.029470E+05             6.010126E+05
                   0.1800             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918958E+05             3.916637E+05             3.061569E+05             3.030084E+05             6.011644E+05
                   0.3600             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918958E+05             3.916637E+05             3.062215E+05             3.030731E+05             6.013081E+05
                   0.5400             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918958E+05             3.916637E+05             3.062839E+05             3.031354E+05             6.014469E+05
                   0.7200             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918958E+05             3.916637E+05             3.063440E+05             3.031956E+05             6.015806E+05
                   0.9000             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918958E+05             3.916637E+05             3.064020E+05             3.032536E+05             6.017095E+05
                   1.0800             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918958E+05             3.916637E+05             3.064579E+05             3.033094E+05             6.018333E+05
                   1.2600             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918958E+05             3.916637E+05             3.065117E+05             3.033632E+05             6.019523E+05
                   1.4400             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918958E+05             3.916637E+05             3.065634E+05             3.034149E+05             6.020664E+05
                   1.6200             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918958E+05             3.916637E+05             3.066131E+05             3.034646E+05             6.021757E+05
                   1.8000             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918957E+05             3.916637E+05             3.066606E+05             3.035121E+05             6.022801E+05
                   1.9800             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918957E+05             3.916637E+05             3.067061E+05             3.035576E+05             6.023798E+05
                   2.1600             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918957E+05             3.916637E+05             3.067495E+05             3.036011E+05             6.024747E+05
                   2.3400             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916893E+05             3.918957E+05             3.916637E+05             3.067909E+05             3.036424E+05             6.025649E+05
                   2.5200             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.068301E+05             3.036817E+05             6.026504E+05
                   2.7000             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.068673E+05             3.037188E+05             6.027312E+05
                   2.8800             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.069024E+05             3.037539E+05             6.028074E+05
                   3.0600             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.069354E+05             3.037869E+05             6.028791E+05
                   3.2400             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.069662E+05             3.038178E+05             6.029462E+05
                   3.4200             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.069951E+05             3.038466E+05             6.030087E+05
                   3.6000             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.070218E+05             3.038733E+05             6.030668E+05
                   3.7800             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.070465E+05             3.038980E+05             6.031204E+05
                   3.9600             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.070691E+05             3.039206E+05             6.031696E+05
                   4.1400             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.070897E+05             3.039412E+05             6.032143E+05
                   4.3200             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.071083E+05             3.039598E+05             6.032547E+05
                   4.5000             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.071248E+05             3.039763E+05             6.032908E+05
                   4.6800             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.071394E+05             3.039909E+05             6.033227E+05
                   4.8600             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.071520E+05             3.040036E+05             6.033503E+05
                   5.0400             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.071628E+05             3.040143E+05             6.033737E+05
                   5.2200             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.071716E+05             3.040231E+05             6.033931E+05
                   5.4000             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.071785E+05             3.040301E+05             6.034084E+05
                   5.5800             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.071837E+05             3.040353E+05             6.034200E+05
                   5.7600             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.071872E+05             3.040387E+05             6.034279E+05
                   5.9400             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.071892E+05             3.040407E+05             6.034324E+05
                   6.1200             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.071898E+05             3.040413E+05             6.034340E+05
                   6.3000             3.888242E+05             3.893297E+05             3.893288E+05             3.885155E+05             3.916892E+05             3.918957E+05             3.916637E+05             3.071894E+05             3.040409E+05             6.034336E+05
