                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                  17.1000            -3.161129E-02            -1.956149E+01             1.551769E+03
                  17.2800            -3.193054E-02            -1.953603E+01             1.566914E+03
                  17.4600            -3.224937E-02            -1.951033E+01             1.582022E+03
                  17.6400            -3.256778E-02            -1.948437E+01             1.597095E+03
                  17.8200            -3.288577E-02            -1.945817E+01             1.612130E+03
                  18.0000            -3.320332E-02            -1.943173E+01             1.627129E+03
                  18.1800            -3.352044E-02            -1.940504E+01             1.642091E+03
                  18.3600            -3.383713E-02            -1.937811E+01             1.657015E+03
                  18.5400            -3.415337E-02            -1.935093E+01             1.671901E+03
                  18.7200            -3.446916E-02            -1.932351E+01             1.686749E+03
                  18.9000            -3.478451E-02            -1.929585E+01             1.701559E+03
                  19.0800            -3.509940E-02            -1.926795E+01             1.716330E+03
                  19.2600            -3.541384E-02            -1.923981E+01             1.731062E+03
                  19.4400            -3.572781E-02            -1.921142E+01             1.745754E+03
                  19.6200            -3.604132E-02            -1.918280E+01             1.760407E+03
                  19.8000            -3.635436E-02            -1.915394E+01             1.775020E+03
                  19.9800            -3.666692E-02            -1.912483E+01             1.789593E+03
                  20.1600            -3.697901E-02            -1.909550E+01             1.804126E+03
                  20.3400            -3.729062E-02            -1.906592E+01             1.818617E+03
                  20.5200            -3.760174E-02            -1.903611E+01             1.833068E+03
                  20.7000            -3.791237E-02            -1.900606E+01             1.847477E+03
                  20.8800            -3.822251E-02            -1.897578E+01             1.861844E+03
                  21.0600            -3.853216E-02            -1.894526E+01             1.876170E+03
                  21.2400            -3.884130E-02            -1.891451E+01             1.890454E+03
                  21.4200            -3.914994E-02            -1.888353E+01             1.904695E+03
                  21.6000            -3.945807E-02            -1.885231E+01             1.918893E+03
                  21.7800            -3.976569E-02            -1.882086E+01             1.933049E+03
                  21.9600            -4.007280E-02            -1.878919E+01             1.947161E+03
                  22.1400            -4.037938E-02            -1.875728E+01             1.961230E+03
                  22.3200            -4.068545E-02            -1.872514E+01             1.975255E+03
                  22.5000            -4.099098E-02            -1.869277E+01             1.989236E+03
                  22.6800            -4.129599E-02            -1.866018E+01             2.003172E+03
                  22.8600            -4.160046E-02            -1.862736E+01             2.017065E+03
                  23.0400            -4.190439E-02            -1.859431E+01             2.030912E+03
                  23.2200            -4.220778E-02            -1.856104E+01             2.044714E+03
                  23.4000            -4.251063E-02            -1.852754E+01             2.058471E+03
                  23.5800            -4.281293E-02            -1.849381E+01             2.072183E+03
                  23.7600            -4.311467E-02            -1.845987E+01             2.085849E+03
                  23.9400            -4.341586E-02            -1.842570E+01             2.099469E+03
                  24.1200            -4.371649E-02            -1.839131E+01             2.113042E+03
                  24.3000            -4.401656E-02            -1.835669E+01             2.126569E+03
                  24.4800            -4.431605E-02            -1.832186E+01             2.140049E+03
                  24.6600            -4.461498E-02            -1.828681E+01             2.153483E+03
                  24.8400            -4.491334E-02            -1.825153E+01             2.166869E+03
                  25.0200            -4.521111E-02            -1.821604E+01             2.180208E+03
                  25.2000            -4.550831E-02            -1.818033E+01             2.193499E+03
                  25.3800            -4.580492E-02            -1.814441E+01             2.206742E+03
                  25.5600            -4.610094E-02            -1.810827E+01             2.219937E+03
                  25.7400            -4.639637E-02            -1.807191E+01             2.233084E+03
                  25.9200            -4.669120E-02            -1.803534E+01             2.246182E+03
                  26.1000            -4.698543E-02            -1.799856E+01             2.259232E+03
                  26.2800            -4.727907E-02            -1.796156E+01             2.272232E+03
                  26.4600            -4.757209E-02            -1.792436E+01             2.285184E+03
                  26.6400            -4.786451E-02            -1.788694E+01             2.298086E+03
                  26.8200            -4.815631E-02            -1.784931E+01             2.310938E+03
                  27.0000            -4.844750E-02            -1.781147E+01             2.323740E+03
                  27.1800            -4.873807E-02            -1.777342E+01             2.336493E+03
                  27.3600            -4.902802E-02            -1.773516E+01             2.349195E+03
                  27.5400            -4.931733E-02            -1.769670E+01             2.361847E+03
                  27.7200            -4.960602E-02            -1.765803E+01             2.374449E+03
                  27.9000            -4.989408E-02            -1.761916E+01             2.386999E+03
                  28.0800            -5.018150E-02            -1.758008E+01             2.399499E+03
                  28.2600            -5.046828E-02            -1.754079E+01             2.411948E+03
                  28.4400            -5.075441E-02            -1.750131E+01             2.424345E+03
                  28.6200            -5.103990E-02            -1.746162E+01             2.436690E+03
                  28.8000            -5.132474E-02            -1.742173E+01             2.448984E+03
                  28.9800            -5.160893E-02            -1.738164E+01             2.461226E+03
                  29.1600            -5.189246E-02            -1.734135E+01             2.473416E+03
                  29.3400            -5.217533E-02            -1.730087E+01             2.485553E+03
                  29.5200            -5.245754E-02            -1.726018E+01             2.497638E+03
                  29.7000            -5.273908E-02            -1.721930E+01             2.509671E+03
                  29.8800            -5.301995E-02            -1.717822E+01             2.521651E+03
                  30.0600            -5.330015E-02            -1.713695E+01             2.533578E+03
                  30.2400            -5.357968E-02            -1.709548E+01             2.545451E+03
                  30.4200            -5.385852E-02            -1.705382E+01             2.557272E+03
                  30.6000            -5.413669E-02            -1.701196E+01             2.569039E+03
                  30.7800            -5.441417E-02            -1.696992E+01             2.580752E+03
                  30.9600            -5.469096E-02            -1.692768E+01             2.592412E+03
                  31.1400            -5.496706E-02            -1.688525E+01             2.604018E+03
                  31.3200            -5.524246E-02            -1.684264E+01             2.615570E+03
                  31.5000            -5.551717E-02            -1.679983E+01             2.627067E+03
                  31.6800            -5.579118E-02            -1.675684E+01             2.638511E+03
                  31.8600            -5.606448E-02            -1.671367E+01             2.649899E+03
                  32.0400            -5.633708E-02            -1.667030E+01             2.661234E+03
                  32.2200            -5.660896E-02            -1.662675E+01             2.672513E+03
                  32.4000            -5.688014E-02            -1.658302E+01             2.683737E+03
                  32.5800            -5.715060E-02            -1.653911E+01             2.694907E+03
                  32.7600            -5.742034E-02            -1.649501E+01             2.706021E+03
                  32.9400            -5.768935E-02            -1.645073E+01             2.717080E+03
                  33.1200            -5.795765E-02            -1.640627E+01             2.728084E+03
                  33.3000            -5.822521E-02            -1.636164E+01             2.739032E+03
                  33.4800            -5.849205E-02            -1.631682E+01             2.749924E+03
                  33.6600            -5.875815E-02            -1.627183E+01             2.760761E+03
                  33.8400            -5.902352E-02            -1.622666E+01             2.771542E+03
                  34.0200            -5.928815E-02            -1.618131E+01             2.782266E+03
                  34.2000            -5.955203E-02            -1.613579E+01             2.792935E+03
                  34.3800            -5.981517E-02            -1.609010E+01             2.803547E+03
                  34.5600            -6.007756E-02            -1.604423E+01             2.814103E+03
                  34.7400            -6.033921E-02            -1.599819E+01             2.824603E+03
                  34.9200            -6.060010E-02            -1.595198E+01             2.835045E+03
                  35.1000            -6.086023E-02            -1.590561E+01             2.845432E+03
                  35.2800            -6.111960E-02            -1.585906E+01             2.855761E+03
                  35.4600            -6.137821E-02            -1.581234E+01             2.866034E+03
                  35.6400            -6.163606E-02            -1.576545E+01             2.876249E+03
                  35.8200            -6.189314E-02            -1.571840E+01             2.886408E+03
                  36.0000            -6.214946E-02            -1.567119E+01             2.896509E+03
                  36.1800            -6.240500E-02            -1.562381E+01             2.906553E+03
                  36.3600            -6.265976E-02            -1.557626E+01             2.916540E+03
                  36.5400            -6.291375E-02            -1.552856E+01             2.926469E+03
                  36.7200            -6.316695E-02            -1.548069E+01             2.936341E+03
                  36.9000            -6.341937E-02            -1.543266E+01             2.946155E+03
                  37.0800            -6.367101E-02            -1.538447E+01             2.955911E+03
                  37.2600            -6.392186E-02            -1.533612E+01             2.965610E+03
                  37.4400            -6.417192E-02            -1.528761E+01             2.975251E+03
                  37.6200            -6.442118E-02            -1.523895E+01             2.984834E+03
                  37.8000            -6.466965E-02            -1.519013E+01             2.994359E+03
                  37.9800            -6.491732E-02            -1.514116E+01             3.003826E+03
                  38.1600            -6.516419E-02            -1.509203E+01             3.013235E+03
                  38.3400            -6.541025E-02            -1.504275E+01             3.022586E+03
                  38.5200            -6.565551E-02            -1.499331E+01             3.031879E+03
                  38.7000            -6.589996E-02            -1.494373E+01             3.041113E+03
                  38.8800            -6.614360E-02            -1.489399E+01             3.050289E+03
                  39.0600            -6.638643E-02            -1.484411E+01             3.059406E+03
                  39.2400            -6.662844E-02            -1.479407E+01             3.068465E+03
