                   Degree                   P1[Pa]                   P2[Pa]                   P3[Pa]                   P4[Pa]                   P5[Pa]                   P6[Pa]                   P7[Pa]                   P8[Pa]                   P9[Pa]                  P3a[Pa]
                   0.0000             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086212E+05             5.088242E+05             5.086144E+05             5.208911E+05             5.185064E+05             8.212849E+05
                   0.1800             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086212E+05             5.088242E+05             5.086144E+05             5.209805E+05             5.185958E+05             8.214506E+05
                   0.3600             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086212E+05             5.088242E+05             5.086144E+05             5.210643E+05             5.186795E+05             8.216085E+05
                   0.5400             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086212E+05             5.088242E+05             5.086144E+05             5.211442E+05             5.187595E+05             8.217594E+05
                   0.7200             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086212E+05             5.088242E+05             5.086144E+05             5.212205E+05             5.188358E+05             8.219034E+05
                   0.9000             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086211E+05             5.088242E+05             5.086144E+05             5.212931E+05             5.189084E+05             8.220404E+05
                   1.0800             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086211E+05             5.088242E+05             5.086144E+05             5.213621E+05             5.189774E+05             8.221706E+05
                   1.2600             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086211E+05             5.088242E+05             5.086144E+05             5.214275E+05             5.190428E+05             8.222939E+05
                   1.4400             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086211E+05             5.088241E+05             5.086144E+05             5.214894E+05             5.191046E+05             8.224105E+05
                   1.6200             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086211E+05             5.088241E+05             5.086143E+05             5.215476E+05             5.191628E+05             8.225203E+05
                   1.8000             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086211E+05             5.088241E+05             5.086143E+05             5.216023E+05             5.192176E+05             8.226234E+05
                   1.9800             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086211E+05             5.088241E+05             5.086143E+05             5.216534E+05             5.192687E+05             8.227198E+05
                   2.1600             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086211E+05             5.088241E+05             5.086143E+05             5.217011E+05             5.193163E+05             8.228096E+05
                   2.3400             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086211E+05             5.088241E+05             5.086143E+05             5.217451E+05             5.193604E+05             8.228929E+05
                   2.5200             5.065395E+05             5.070450E+05             5.070440E+05             5.062299E+05             5.086211E+05             5.088241E+05             5.086143E+05             5.217858E+05             5.194011E+05             8.229695E+05
