                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                   0.0000             3.276992E+02             3.277218E+02             3.276992E+02             3.277218E+02             3.307977E+02             3.302090E+02             3.307977E+02             3.302090E+02             3.318721E+02             3.311518E+02
                   0.1800             3.276193E+02             3.276457E+02             3.276618E+02             3.276875E+02             3.307070E+02             3.301239E+02             3.307535E+02             3.301691E+02             3.318297E+02             3.311135E+02
                   0.3600             3.275381E+02             3.275682E+02             3.276051E+02             3.276325E+02             3.306197E+02             3.300400E+02             3.306930E+02             3.301109E+02             3.317702E+02             3.310562E+02
                   0.5400             3.274624E+02             3.274963E+02             3.275482E+02             3.275769E+02             3.305387E+02             3.299622E+02             3.306329E+02             3.300527E+02             3.317109E+02             3.309987E+02
                   0.7200             3.273904E+02             3.274279E+02             3.274915E+02             3.275214E+02             3.304617E+02             3.298883E+02             3.305734E+02             3.299949E+02             3.316521E+02             3.309415E+02
                   0.9000             3.273213E+02             3.273622E+02             3.274356E+02             3.274666E+02             3.303881E+02             3.298176E+02             3.305150E+02             3.299380E+02             3.315942E+02             3.308852E+02
                   1.0800             3.272551E+02             3.272991E+02             3.273810E+02             3.274129E+02             3.303175E+02             3.297497E+02             3.304580E+02             3.298824E+02             3.315378E+02             3.308301E+02
                   1.2600             3.271916E+02             3.272386E+02             3.273279E+02             3.273607E+02             3.302499E+02             3.296847E+02             3.304027E+02             3.298284E+02             3.314830E+02             3.307765E+02
                   1.4400             3.271309E+02             3.271806E+02             3.272764E+02             3.273102E+02             3.301851E+02             3.296225E+02             3.303492E+02             3.297762E+02             3.314299E+02             3.307247E+02
                   1.6200             3.270730E+02             3.271251E+02             3.272269E+02             3.272614E+02             3.301232E+02             3.295630E+02             3.302978E+02             3.297259E+02             3.313788E+02             3.306748E+02
                   1.8000             3.270177E+02             3.270721E+02             3.271792E+02             3.272146E+02             3.300641E+02             3.295062E+02             3.302483E+02             3.296776E+02             3.313298E+02             3.306268E+02
