                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                   0.0000             0.000000E+00            -2.392120E+01            -7.497135E+00
                   0.1800            -3.394677E-04            -2.392105E+01             2.297871E+01
                   0.3600            -6.789309E-04            -2.392058E+01             4.539278E+01
                   0.5400            -1.018385E-03            -2.391978E+01             6.780948E+01
                   0.7200            -1.357826E-03            -2.391867E+01             9.022723E+01
                   0.9000            -1.697248E-03            -2.391724E+01             1.126407E+02
                   1.0800            -2.036648E-03            -2.391549E+01             1.350494E+02
                   1.2600            -2.376021E-03            -2.391342E+01             1.574570E+02
                   1.4400            -2.715363E-03            -2.391103E+01             1.798603E+02
                   1.6200            -3.054668E-03            -2.390833E+01             2.022592E+02
                   1.8000            -3.393932E-03            -2.390531E+01             2.246521E+02
                   1.9800            -3.733152E-03            -2.390197E+01             2.470409E+02
                   2.1600            -4.072322E-03            -2.389831E+01             2.694231E+02
                   2.3400            -4.411437E-03            -2.389434E+01             2.917994E+02
                   2.5200            -4.750494E-03            -2.389005E+01             3.141685E+02
                   2.7000            -5.089488E-03            -2.388544E+01             3.365298E+02
                   2.8800            -5.428414E-03            -2.388051E+01             3.588834E+02
                   3.0600            -5.767269E-03            -2.387527E+01             3.812280E+02
                   3.2400            -6.106046E-03            -2.386971E+01             4.035634E+02
                   3.4200            -6.444742E-03            -2.386383E+01             4.258894E+02
                   3.6000            -6.783353E-03            -2.385763E+01             4.482051E+02
                   3.7800            -7.121873E-03            -2.385112E+01             4.705099E+02
                   3.9600            -7.460299E-03            -2.384430E+01             4.928036E+02
                   4.1400            -7.798626E-03            -2.383715E+01             5.150854E+02
                   4.3200            -8.136849E-03            -2.382969E+01             5.373548E+02
                   4.5000            -8.474964E-03            -2.382192E+01             5.596113E+02
                   4.6800            -8.812966E-03            -2.381383E+01             5.818544E+02
                   4.8600            -9.150851E-03            -2.380542E+01             6.040836E+02
                   5.0400            -9.488615E-03            -2.379670E+01             6.262984E+02
                   5.2200            -9.826253E-03            -2.378766E+01             6.484980E+02
                   5.4000            -1.016376E-02            -2.377831E+01             6.706822E+02
                   5.5800            -1.050113E-02            -2.376864E+01             6.928503E+02
                   5.7600            -1.083836E-02            -2.375866E+01             7.150019E+02
                   5.9400            -1.117545E-02            -2.374836E+01             7.371362E+02
                   6.1200            -1.151239E-02            -2.373775E+01             7.592530E+02
                   6.3000            -1.184918E-02            -2.372683E+01             7.813517E+02
                   6.4800            -1.218581E-02            -2.371559E+01             8.034316E+02
                   6.6600            -1.252228E-02            -2.370404E+01             8.254924E+02
                   6.8400            -1.285858E-02            -2.369218E+01             8.475335E+02
                   7.0200            -1.319472E-02            -2.368000E+01             8.695543E+02
                   7.2000            -1.353067E-02            -2.366751E+01             8.915543E+02
                   7.3800            -1.386645E-02            -2.365471E+01             9.135331E+02
                   7.5600            -1.420205E-02            -2.364160E+01             9.354901E+02
                   7.7400            -1.453745E-02            -2.362818E+01             9.574248E+02
                   7.9200            -1.487266E-02            -2.361444E+01             9.793367E+02
                   8.1000            -1.520768E-02            -2.360040E+01             1.001225E+03
                   8.2800            -1.554249E-02            -2.358604E+01             1.023090E+03
                   8.4600            -1.587710E-02            -2.357138E+01             1.044930E+03
                   8.6400            -1.621150E-02            -2.355640E+01             1.066746E+03
                   8.8200            -1.654568E-02            -2.354111E+01             1.088536E+03
                   9.0000            -1.687965E-02            -2.352552E+01             1.110300E+03
                   9.1800            -1.721339E-02            -2.350962E+01             1.132038E+03
                   9.3600            -1.754690E-02            -2.349341E+01             1.153749E+03
                   9.5400            -1.788018E-02            -2.347689E+01             1.175433E+03
                   9.7200            -1.821323E-02            -2.346006E+01             1.197089E+03
                   9.9000            -1.854603E-02            -2.344293E+01             1.218716E+03
                  10.0800            -1.887859E-02            -2.342549E+01             1.240315E+03
                  10.2600            -1.921089E-02            -2.340774E+01             1.261884E+03
                  10.4400            -1.954295E-02            -2.338969E+01             1.283423E+03
                  10.6200            -1.987474E-02            -2.337133E+01             1.304932E+03
                  10.8000            -2.020628E-02            -2.335266E+01             1.326410E+03
                  10.9800            -2.053754E-02            -2.333370E+01             1.347857E+03
                  11.1600            -2.086854E-02            -2.331442E+01             1.369272E+03
                  11.3400            -2.119926E-02            -2.329485E+01             1.390655E+03
                  11.5200            -2.152970E-02            -2.327497E+01             1.412005E+03
                  11.7000            -2.185985E-02            -2.325479E+01             1.433321E+03
                  11.8800            -2.218972E-02            -2.323430E+01             1.454604E+03
                  12.0600            -2.251929E-02            -2.321352E+01             1.475853E+03
                  12.2400            -2.284857E-02            -2.319243E+01             1.497067E+03
                  12.4200            -2.317754E-02            -2.317104E+01             1.518245E+03
                  12.6000            -2.350621E-02            -2.314936E+01             1.539388E+03
                  12.7800            -2.383457E-02            -2.312737E+01             1.560495E+03
                  12.9600            -2.416262E-02            -2.310508E+01             1.581566E+03
                  13.1400            -2.449034E-02            -2.308249E+01             1.602599E+03
                  13.3200            -2.481775E-02            -2.305961E+01             1.623595E+03
                  13.5000            -2.514482E-02            -2.303643E+01             1.644552E+03
                  13.6800            -2.547157E-02            -2.301295E+01             1.665472E+03
                  13.8600            -2.579798E-02            -2.298917E+01             1.686352E+03
                  14.0400            -2.612405E-02            -2.296510E+01             1.707193E+03
