                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   4.8600             5.019265E-08             1.080144E+02             3.120722E+02             3.448526E+05             1.206061E+00             4.384358E+05             3.908034E+03             1.911512E-05             1.006967E+03             2.727729E-02             5.966204E-08             0.000000E+00             0.000000E+00
                   5.0400             5.017555E-08             1.080197E+02             3.120783E+02             3.448540E+05             1.206096E+00             4.384420E+05             3.908040E+03             1.911541E-05             1.006967E+03             2.727774E-02             5.964284E-08             0.000000E+00             0.000000E+00
                   5.2200             5.015845E-08             1.080249E+02             3.120844E+02             3.448554E+05             1.206130E+00             4.384482E+05             3.908046E+03             1.911571E-05             1.006967E+03             2.727820E-02             5.962362E-08             0.000000E+00             0.000000E+00
                   5.4000             5.014155E-08             1.080300E+02             3.120906E+02             3.448569E+05             1.206164E+00             4.384544E+05             3.908052E+03             1.911600E-05             1.006968E+03             2.727865E-02             5.960458E-08             0.000000E+00             0.000000E+00
                   5.5800             5.012501E-08             1.080351E+02             3.120967E+02             3.448583E+05             1.206196E+00             4.384605E+05             3.908059E+03             1.911629E-05             1.006968E+03             2.727910E-02             5.958594E-08             0.000000E+00             0.000000E+00
                   5.7600             5.010902E-08             1.080399E+02             3.121027E+02             3.448598E+05             1.206227E+00             4.384665E+05             3.908065E+03             1.911657E-05             1.006968E+03             2.727954E-02             5.956788E-08             0.000000E+00             0.000000E+00
                   5.9400             5.009376E-08             1.080445E+02             3.121085E+02             3.448612E+05             1.206256E+00             4.384723E+05             3.908071E+03             1.911685E-05             1.006969E+03             2.727996E-02             5.955061E-08             0.000000E+00             0.000000E+00
                   6.1200             5.007940E-08             1.080488E+02             3.121140E+02             3.448626E+05             1.206283E+00             4.384779E+05             3.908078E+03             1.911711E-05             1.006969E+03             2.728037E-02             5.953434E-08             0.000000E+00             0.000000E+00
                   6.3000             5.006612E-08             1.080528E+02             3.121191E+02             3.448640E+05             1.206307E+00             4.384831E+05             3.908084E+03             1.911736E-05             1.006969E+03             2.728075E-02             5.951926E-08             0.000000E+00             0.000000E+00
                   6.4800             5.005412E-08             1.080563E+02             3.121239E+02             3.448653E+05             1.206328E+00             4.384879E+05             3.908090E+03             1.911758E-05             1.006970E+03             2.728110E-02             5.950558E-08             0.000000E+00             0.000000E+00
                   6.6600             5.004355E-08             1.080594E+02             3.121282E+02             3.448665E+05             1.206346E+00             4.384922E+05             3.908096E+03             1.911779E-05             1.006970E+03             2.728142E-02             5.949350E-08             0.000000E+00             0.000000E+00
                   6.8400             5.003462E-08             1.080619E+02             3.121320E+02             3.448676E+05             1.206360E+00             4.384960E+05             3.908101E+03             1.911797E-05             1.006970E+03             2.728169E-02             5.948322E-08             0.000000E+00             0.000000E+00
                   7.0200             5.002748E-08             1.080639E+02             3.121352E+02             3.448686E+05             1.206369E+00             4.384992E+05             3.908106E+03             1.911812E-05             1.006970E+03             2.728193E-02             5.947495E-08             0.000000E+00             0.000000E+00
                   7.2000             5.002233E-08             1.080652E+02             3.121377E+02             3.448694E+05             1.206374E+00             4.385017E+05             3.908110E+03             1.911823E-05             1.006970E+03             2.728211E-02             5.946888E-08             0.000000E+00             0.000000E+00
                   7.3800             5.001935E-08             1.080659E+02             3.121394E+02             3.448701E+05             1.206375E+00             4.385035E+05             3.908114E+03             1.911832E-05             1.006970E+03             2.728224E-02             5.946522E-08             0.000000E+00             0.000000E+00
                   7.5600             5.001871E-08             1.080658E+02             3.121404E+02             3.448706E+05             1.206370E+00             4.385044E+05             3.908118E+03             1.911836E-05             1.006970E+03             2.728231E-02             5.946417E-08             0.000000E+00             0.000000E+00
                   7.7400             5.002059E-08             1.080649E+02             3.121405E+02             3.448710E+05             1.206359E+00             4.385045E+05             3.908120E+03             1.911837E-05             1.006970E+03             2.728232E-02             5.946593E-08             0.000000E+00             0.000000E+00
                   7.9200             5.002517E-08             1.080631E+02             3.121396E+02             3.448711E+05             1.206343E+00             4.385037E+05             3.908122E+03             1.911833E-05             1.006970E+03             2.728225E-02             5.947071E-08             0.000000E+00             0.000000E+00
                   8.1000             5.003263E-08             1.080604E+02             3.121378E+02             3.448711E+05             1.206320E+00             4.385018E+05             3.908124E+03             1.911824E-05             1.006970E+03             2.728212E-02             5.947870E-08             0.000000E+00             0.000000E+00
                   8.2800             5.004316E-08             1.080567E+02             3.121349E+02             3.448708E+05             1.206291E+00             4.384989E+05             3.908124E+03             1.911810E-05             1.006970E+03             2.728190E-02             5.949010E-08             0.000000E+00             0.000000E+00
                   8.4600             5.005692E-08             1.080521E+02             3.121308E+02             3.448702E+05             1.206254E+00             4.384948E+05             3.908123E+03             1.911791E-05             1.006970E+03             2.728160E-02             5.950513E-08             0.000000E+00             0.000000E+00
                   8.6400             5.007411E-08             1.080463E+02             3.121256E+02             3.448694E+05             1.206210E+00             4.384895E+05             3.908122E+03             1.911766E-05             1.006969E+03             2.728122E-02             5.952397E-08             0.000000E+00             0.000000E+00
                   8.8200             5.009489E-08             1.080394E+02             3.121191E+02             3.448684E+05             1.206159E+00             4.384830E+05             3.908119E+03             1.911735E-05             1.006969E+03             2.728074E-02             5.954684E-08             0.000000E+00             0.000000E+00
                   9.0000             5.011945E-08             1.080314E+02             3.121112E+02             3.448670E+05             1.206099E+00             4.384752E+05             3.908115E+03             1.911698E-05             1.006969E+03             2.728016E-02             5.957393E-08             0.000000E+00             0.000000E+00
                   9.1800             5.014796E-08             1.080221E+02             3.121020E+02             3.448653E+05             1.206031E+00             4.384659E+05             3.908110E+03             1.911654E-05             1.006968E+03             2.727949E-02             5.960545E-08             0.000000E+00             0.000000E+00
                   9.3600             5.018061E-08             1.080116E+02             3.120914E+02             3.448634E+05             1.205955E+00             4.384552E+05             3.908104E+03             1.911604E-05             1.006967E+03             2.727870E-02             5.964159E-08             0.000000E+00             0.000000E+00
                   9.5400             5.021757E-08             1.079997E+02             3.120793E+02             3.448610E+05             1.205869E+00             4.384430E+05             3.908097E+03             1.911546E-05             1.006967E+03             2.727781E-02             5.968256E-08             0.000000E+00             0.000000E+00
                   9.7200             5.025903E-08             1.079865E+02             3.120656E+02             3.448584E+05             1.205774E+00             4.384293E+05             3.908088E+03             1.911481E-05             1.006966E+03             2.727681E-02             5.972856E-08             0.000000E+00             0.000000E+00
                   9.9000             5.030516E-08             1.079718E+02             3.120504E+02             3.448554E+05             1.205670E+00             4.384140E+05             3.908077E+03             1.911408E-05             1.006965E+03             2.727568E-02             5.977980E-08             0.000000E+00             0.000000E+00
                  10.0800             5.035613E-08             1.079557E+02             3.120334E+02             3.448520E+05             1.205555E+00             4.383970E+05             3.908066E+03             1.911328E-05             1.006964E+03             2.727444E-02             5.983646E-08             0.000000E+00             0.000000E+00
                  10.2600             5.041214E-08             1.079382E+02             3.120148E+02             3.448482E+05             1.205431E+00             4.383783E+05             3.908053E+03             1.911240E-05             1.006963E+03             2.727307E-02             5.989877E-08             0.000000E+00             0.000000E+00
                  10.4400             5.047335E-08             1.079191E+02             3.119945E+02             3.448440E+05             1.205296E+00             4.383578E+05             3.908038E+03             1.911143E-05             1.006962E+03             2.727157E-02             5.996691E-08             0.000000E+00             0.000000E+00
                  10.6200             5.053994E-08             1.078984E+02             3.119724E+02             3.448395E+05             1.205151E+00             4.383356E+05             3.908022E+03             1.911038E-05             1.006960E+03             2.726994E-02             6.004109E-08             0.000000E+00             0.000000E+00
                  10.8000             5.061210E-08             1.078761E+02             3.119484E+02             3.448345E+05             1.204995E+00             4.383115E+05             3.908004E+03             1.910924E-05             1.006959E+03             2.726818E-02             6.012151E-08             0.000000E+00             0.000000E+00
                  10.9800             5.069000E-08             1.078522E+02             3.119226E+02             3.448291E+05             1.204828E+00             4.382856E+05             3.907984E+03             1.910801E-05             1.006958E+03             2.726628E-02             6.020837E-08             0.000000E+00             0.000000E+00
                  11.1600             5.077382E-08             1.078267E+02             3.118949E+02             3.448233E+05             1.204650E+00             4.382578E+05             3.907963E+03             1.910670E-05             1.006956E+03             2.726424E-02             6.030188E-08             0.000000E+00             0.000000E+00
                  11.3400             5.086374E-08             1.077995E+02             3.118653E+02             3.448170E+05             1.204461E+00             4.382280E+05             3.907940E+03             1.910529E-05             1.006954E+03             2.726206E-02             6.040223E-08             0.000000E+00             0.000000E+00
                  11.5200             5.095993E-08             1.077706E+02             3.118337E+02             3.448103E+05             1.204260E+00             4.381963E+05             3.907915E+03             1.910379E-05             1.006952E+03             2.725974E-02             6.050963E-08             0.000000E+00             0.000000E+00
                  11.7000             5.106258E-08             1.077399E+02             3.118002E+02             3.448031E+05             1.204047E+00             4.381625E+05             3.907889E+03             1.910220E-05             1.006950E+03             2.725727E-02             6.062429E-08             0.000000E+00             0.000000E+00
