                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                   0.0000             7.410423E-02             5.933968E-04             1.785324E-06             3.847907E-05             6.336612E-04             5.129557E-01             5.918200E-02             5.135894E-01
                   0.1800             7.260644E-02            -1.818751E-03            -5.471982E-06             4.752346E-04            -1.348988E-03             5.110733E-01             5.905621E-02             5.097243E-01
                   0.3600             7.270340E-02            -3.592750E-03            -1.080929E-05             7.857513E-04            -2.817808E-03             5.109158E-01             5.905507E-02             5.080980E-01
                   0.5400             7.282091E-02            -5.366836E-03            -1.614680E-05             1.096089E-03            -4.286894E-03             5.107813E-01             5.905492E-02             5.064944E-01
                   0.7200             7.295652E-02            -7.140823E-03            -2.148391E-05             1.406461E-03            -5.755846E-03             5.106674E-01             5.905566E-02             5.049116E-01
                   0.9000             7.310875E-02            -8.914233E-03            -2.681916E-05             1.716974E-03            -7.224078E-03             5.105730E-01             5.905730E-02             5.033489E-01
                   1.0800             7.327667E-02            -1.068695E-02            -3.215219E-05             2.027686E-03            -8.691421E-03             5.104874E-01             5.905032E-02             5.017960E-01
                   1.2600             7.345965E-02            -1.245924E-02            -3.748371E-05             2.338636E-03            -1.015808E-02             5.104288E-01             5.905325E-02             5.002707E-01
                   1.4400             7.365714E-02            -1.423075E-02            -4.281268E-05             2.649855E-03            -1.162370E-02             5.103876E-01             5.905717E-02             4.987639E-01
                   1.6200             7.386867E-02            -1.600143E-02            -4.813891E-05             2.961373E-03            -1.308819E-02             5.103522E-01             5.905088E-02             4.972640E-01
                   1.8000             7.409381E-02            -1.777109E-02            -5.346180E-05             3.273220E-03            -1.455133E-02             5.103441E-01             5.905630E-02             4.957927E-01
                   1.9800             7.433216E-02            -1.953983E-02            -5.878159E-05             3.585431E-03            -1.601318E-02             5.103398E-01             5.905038E-02             4.943266E-01
                   2.1600             7.458328E-02            -2.130738E-02            -6.409747E-05             3.898041E-03            -1.747344E-02             5.103503E-01             5.904436E-02             4.928769E-01
                   2.3400             7.484679E-02            -2.307374E-02            -6.940937E-05             4.211091E-03            -1.893206E-02             5.103888E-01             5.905195E-02             4.914567E-01
                   2.5200             7.512224E-02            -2.483874E-02            -7.471681E-05             4.524624E-03            -2.038884E-02             5.104613E-01             5.904640E-02             4.900724E-01
                   2.7000             7.540925E-02            -2.660229E-02            -8.001944E-05             4.838688E-03            -2.184363E-02             5.110242E-01             5.904077E-02             4.891805E-01
                   2.8800             7.570741E-02            -2.836433E-02            -8.531704E-05             5.153332E-03            -2.329631E-02             5.116131E-01             5.905076E-02             4.883168E-01
                   3.0600             7.601631E-02            -3.012468E-02            -9.060909E-05             5.468610E-03            -2.474668E-02             5.121969E-01             5.904567E-02             4.874502E-01
                   3.2400             7.633556E-02            -3.188330E-02            -9.589538E-05             5.784579E-03            -2.619461E-02             5.127900E-01             5.904053E-02             4.865954E-01
                   3.4200             7.666477E-02            -3.364008E-02            -1.011756E-04             6.101297E-03            -2.763995E-02             5.133919E-01             5.903535E-02             4.857520E-01
                   3.6000             7.700354E-02            -3.539490E-02            -1.064493E-04             6.418817E-03            -2.908253E-02             5.140207E-01             5.904857E-02             4.849382E-01
                   3.7800             7.735144E-02            -3.714767E-02            -1.117163E-04             6.736894E-03            -3.052249E-02             5.146402E-01             5.904400E-02             4.841177E-01
                   3.9600             7.770812E-02            -3.889830E-02            -1.169761E-04             7.055306E-03            -3.195997E-02             5.152682E-01             5.903941E-02             4.833082E-01
                   4.1400             7.807333E-02            -4.064665E-02            -1.222285E-04             7.374048E-03            -3.339483E-02             5.159044E-01             5.903479E-02             4.825096E-01
                   4.3200             7.844682E-02            -4.239267E-02            -1.274731E-04             7.693116E-03            -3.482702E-02             5.165487E-01             5.903015E-02             4.817216E-01
                   4.5000             7.882834E-02            -4.413621E-02            -1.327095E-04             8.012508E-03            -3.625642E-02             5.172006E-01             5.902550E-02             4.809442E-01
                   4.6800             7.921766E-02            -4.587721E-02            -1.379375E-04             8.332220E-03            -3.768293E-02             5.178829E-01             5.904367E-02             4.801999E-01
                   4.8600             7.961454E-02            -4.761555E-02            -1.431567E-04             8.652249E-03            -3.910646E-02             5.185502E-01             5.903971E-02             4.794438E-01
                   5.0400             8.001876E-02            -4.935114E-02            -1.483668E-04             8.972592E-03            -4.052691E-02             5.192245E-01             5.903576E-02             4.786976E-01
                   5.2200             8.043008E-02            -5.108386E-02            -1.535674E-04             9.293245E-03            -4.194418E-02             5.199055E-01             5.903180E-02             4.779614E-01
                   5.4000             8.084830E-02            -5.281363E-02            -1.587583E-04             9.614207E-03            -4.335819E-02             5.205931E-01             5.902784E-02             4.772349E-01
                   5.5800             8.127320E-02            -5.454034E-02            -1.639391E-04             9.935473E-03            -4.476881E-02             5.212868E-01             5.902389E-02             4.765180E-01
                   5.7600             8.170457E-02            -5.626391E-02            -1.691094E-04             1.025704E-02            -4.617598E-02             5.219866E-01             5.901994E-02             4.758106E-01
                   5.9400             8.214222E-02            -5.798421E-02            -1.742690E-04             1.057891E-02            -4.757957E-02             5.226922E-01             5.901601E-02             4.751126E-01
                   6.1200             8.258594E-02            -5.970116E-02            -1.794175E-04             1.090107E-02            -4.897951E-02             5.234034E-01             5.901208E-02             4.744239E-01
                   6.3000             8.303555E-02            -6.141467E-02            -1.845547E-04             1.122352E-02            -5.037570E-02             5.241497E-01             5.903789E-02             4.737740E-01
                   6.4800             8.349086E-02            -6.312461E-02            -1.896801E-04             1.154627E-02            -5.176803E-02             5.248723E-01             5.903475E-02             4.731042E-01
                   6.6600             8.395170E-02            -6.483092E-02            -1.947934E-04             1.186929E-02            -5.315643E-02             5.255998E-01             5.903162E-02             4.724434E-01
                   6.8400             8.441788E-02            -6.653348E-02            -1.998944E-04             1.219260E-02            -5.454078E-02             5.263322E-01             5.902851E-02             4.717915E-01
                   7.0200             8.488926E-02            -6.823220E-02            -2.049827E-04             1.251618E-02            -5.592101E-02             5.270693E-01             5.902543E-02             4.711483E-01
                   7.2000             8.536565E-02            -6.992698E-02            -2.100580E-04             1.284003E-02            -5.729701E-02             5.278109E-01             5.902237E-02             4.705139E-01
                   7.3800             8.584690E-02            -7.161773E-02            -2.151200E-04             1.316415E-02            -5.866870E-02             5.285568E-01             5.901935E-02             4.698881E-01
                   7.5600             8.633286E-02            -7.330434E-02            -2.201683E-04             1.348853E-02            -6.003599E-02             5.293068E-01             5.901636E-02             4.692708E-01
                   7.7400             8.682339E-02            -7.498673E-02            -2.252027E-04             1.381316E-02            -6.139877E-02             5.300609E-01             5.901340E-02             4.686621E-01
                   7.9200             8.731834E-02            -7.666479E-02            -2.302229E-04             1.413804E-02            -6.275698E-02             5.308189E-01             5.901049E-02             4.680619E-01
