                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                   8.4600            -2.062807E+01            -4.893657E+01            -1.422555E+01             6.152531E+00             2.080817E+01             1.986052E+01             2.876492E+01
                   8.6400            -2.105395E+01            -4.899527E+01            -1.460898E+01             6.160101E+00             2.121096E+01             1.987616E+01             2.906831E+01
                   8.8200            -2.147967E+01            -4.905428E+01            -1.499221E+01             6.167456E+00             2.161343E+01             1.989194E+01             2.937396E+01
                   9.0000            -2.190524E+01            -4.911362E+01            -1.537525E+01             6.174589E+00             2.201556E+01             1.990789E+01             2.968180E+01
                   9.1800            -2.233064E+01            -4.917330E+01            -1.575808E+01             6.181490E+00             2.241734E+01             1.992405E+01             2.999175E+01
                   9.3600            -2.275589E+01            -4.923333E+01            -1.614071E+01             6.188152E+00             2.281877E+01             1.994044E+01             3.030375E+01
                   9.5400            -2.318098E+01            -4.929373E+01            -1.652314E+01             6.194566E+00             2.321982E+01             1.995710E+01             3.061773E+01
                   9.7200            -2.360592E+01            -4.935451E+01            -1.690536E+01             6.200724E+00             2.362048E+01             1.997406E+01             3.093364E+01
                   9.9000            -2.403070E+01            -4.941568E+01            -1.728738E+01             6.206619E+00             2.402075E+01             1.999136E+01             3.125141E+01
                  10.0800            -2.445532E+01            -4.947725E+01            -1.766919E+01             6.212243E+00             2.442060E+01             2.000903E+01             3.157099E+01
                  10.2600            -2.487979E+01            -4.953924E+01            -1.805080E+01             6.217589E+00             2.482004E+01             2.002710E+01             3.189230E+01
                  10.4400            -2.530410E+01            -4.960165E+01            -1.843219E+01             6.222649E+00             2.521903E+01             2.004560E+01             3.221530E+01
                  10.6200            -2.572825E+01            -4.966450E+01            -1.881337E+01             6.227416E+00             2.561758E+01             2.006457E+01             3.253994E+01
                  10.8000            -2.615224E+01            -4.972779E+01            -1.919434E+01             6.231884E+00             2.601566E+01             2.008404E+01             3.286614E+01
                  10.9800            -2.657607E+01            -4.979154E+01            -1.957510E+01             6.236046E+00             2.641327E+01             2.010404E+01             3.319387E+01
