                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                   7.3800             9.417017E-02            -7.163374E-02            -2.151200E-04             1.317271E-02            -5.867614E-02             5.584113E-01             7.679186E-02             4.997352E-01
                   7.5600             9.467014E-02            -7.332073E-02            -2.201683E-04             1.348553E-02            -6.005536E-02             5.592180E-01             7.680406E-02             4.991626E-01
                   7.7400             9.517319E-02            -7.500349E-02            -2.252027E-04             1.379776E-02            -6.143093E-02             5.600302E-01             7.681961E-02             4.985992E-01
                   7.9200             9.567914E-02            -7.668193E-02            -2.302229E-04             1.410939E-02            -6.280277E-02             5.608470E-01             7.683793E-02             4.980442E-01
                   8.1000             9.618785E-02            -7.835595E-02            -2.352285E-04             1.442041E-02            -6.417077E-02             5.616678E-01             7.685846E-02             4.974970E-01
                   8.2800             9.669916E-02            -8.002546E-02            -2.402192E-04             1.473084E-02            -6.553484E-02             5.624917E-01             7.688063E-02             4.969569E-01
                   8.4600             9.721293E-02            -8.169035E-02            -2.451947E-04             1.504067E-02            -6.689488E-02             5.633181E-01             7.690393E-02             4.964233E-01
                   8.6400             9.772901E-02            -8.335055E-02            -2.501547E-04             1.534989E-02            -6.825081E-02             5.641464E-01             7.692788E-02             4.958956E-01
                   8.8200             9.824727E-02            -8.500594E-02            -2.550989E-04             1.565852E-02            -6.960252E-02             5.649759E-01             7.695205E-02             4.953734E-01
                   9.0000             9.876756E-02            -8.665645E-02            -2.600270E-04             1.596655E-02            -7.094993E-02             5.658061E-01             7.697607E-02             4.948562E-01
                   9.1800             9.928976E-02            -8.830198E-02            -2.649387E-04             1.627398E-02            -7.229293E-02             5.666365E-01             7.699959E-02             4.943436E-01
                   9.3600             9.981374E-02            -8.994242E-02            -2.698337E-04             1.658082E-02            -7.363144E-02             5.674667E-01             7.702236E-02             4.938352E-01
                   9.5400             1.003394E-01            -9.157770E-02            -2.747117E-04             1.688707E-02            -7.496534E-02             5.682963E-01             7.704415E-02             4.933309E-01
                   9.7200             1.008665E-01            -9.320773E-02            -2.795724E-04             1.719274E-02            -7.629456E-02             5.691249E-01             7.706477E-02             4.928303E-01
                   9.9000             1.013951E-01            -9.483240E-02            -2.844154E-04             1.749782E-02            -7.761899E-02             5.699523E-01             7.708410E-02             4.923334E-01
                  10.0800             1.019250E-01            -9.645162E-02            -2.892406E-04             1.780233E-02            -7.893853E-02             5.707783E-01             7.710203E-02             4.918398E-01
                  10.2600             1.024561E-01            -9.806532E-02            -2.940476E-04             1.810627E-02            -8.025310E-02             5.716027E-01             7.711848E-02             4.913496E-01
