                   Degree   dvdtheta1_suc[mm3/rad]   dvdtheta1_com[mm3/rad]
                  23.5800             1.430490E-07            -1.430490E-07
                  23.7600             1.490741E-07            -1.490741E-07
                  23.9400             1.551534E-07            -1.551534E-07
                  24.1200             1.612867E-07            -1.612867E-07
                  24.3000             1.674739E-07            -1.674739E-07
                  24.4800             1.737149E-07            -1.737149E-07
                  24.6600             1.800096E-07            -1.800096E-07
                  24.8400             1.863580E-07            -1.863580E-07
                  25.0200             1.927599E-07            -1.927599E-07
                  25.2000             1.992152E-07            -1.992152E-07
                  25.3800             2.057239E-07            -2.057239E-07
                  25.5600             2.122858E-07            -2.122858E-07
                  25.7400             2.189008E-07            -2.189008E-07
                  25.9200             2.255688E-07            -2.255688E-07
                  26.1000             2.322898E-07            -2.322898E-07
                  26.2800             2.390636E-07            -2.390636E-07
                  26.4600             2.458901E-07            -2.458901E-07
                  26.6400             2.527692E-07            -2.527692E-07
                  26.8200             2.597009E-07            -2.597009E-07
                  27.0000             2.666849E-07            -2.666849E-07
                  27.1800             2.737212E-07            -2.737212E-07
                  27.3600             2.808097E-07            -2.808097E-07
                  27.5400             2.879503E-07            -2.879503E-07
                  27.7200             2.951429E-07            -2.951429E-07
                  27.9000             3.023873E-07            -3.023873E-07
                  28.0800             3.096835E-07            -3.096835E-07
                  28.2600             3.170313E-07            -3.170313E-07
                  28.4400             3.244307E-07            -3.244307E-07
                  28.6200             3.318814E-07            -3.318814E-07
                  28.8000             3.393835E-07            -3.393835E-07
                  28.9800             3.469368E-07            -3.469368E-07
                  29.1600             3.545412E-07            -3.545412E-07
                  29.3400             3.621965E-07            -3.621965E-07
                  29.5200             3.699026E-07            -3.699026E-07
                  29.7000             3.776596E-07            -3.776596E-07
                  29.8800             3.854671E-07            -3.854671E-07
                  30.0600             3.933251E-07            -3.933251E-07
                  30.2400             4.012335E-07            -4.012335E-07
                  30.4200             4.091922E-07            -4.091922E-07
                  30.6000             4.172010E-07            -4.172010E-07
                  30.7800             4.252599E-07            -4.252599E-07
                  30.9600             4.333687E-07            -4.333687E-07
                  31.1400             4.415272E-07            -4.415272E-07
                  31.3200             4.497355E-07            -4.497355E-07
                  31.5000             4.579932E-07            -4.579932E-07
                  31.6800             4.663004E-07            -4.663004E-07
                  31.8600             4.746569E-07            -4.746569E-07
                  32.0400             4.830626E-07            -4.830626E-07
                  32.2200             4.915174E-07            -4.915174E-07
                  32.4000             5.000210E-07            -5.000210E-07
                  32.5800             5.085735E-07            -5.085735E-07
                  32.7600             5.171747E-07            -5.171747E-07
                  32.9400             5.258244E-07            -5.258244E-07
                  33.1200             5.345225E-07            -5.345225E-07
                  33.3000             5.432690E-07            -5.432690E-07
                  33.4800             5.520636E-07            -5.520636E-07
                  33.6600             5.609062E-07            -5.609062E-07
                  33.8400             5.697968E-07            -5.697968E-07
                  34.0200             5.787352E-07            -5.787352E-07
                  34.2000             5.877212E-07            -5.877212E-07
                  34.3800             5.967548E-07            -5.967548E-07
                  34.5600             6.058357E-07            -6.058357E-07
                  34.7400             6.149639E-07            -6.149639E-07
                  34.9200             6.241393E-07            -6.241393E-07
                  35.1000             6.333616E-07            -6.333616E-07
                  35.2800             6.426308E-07            -6.426308E-07
                  35.4600             6.519468E-07            -6.519468E-07
                  35.6400             6.613093E-07            -6.613093E-07
                  35.8200             6.707184E-07            -6.707184E-07
                  36.0000             6.801737E-07            -6.801737E-07
                  36.1800             6.896753E-07            -6.896753E-07
                  36.3600             6.992229E-07            -6.992229E-07
                  36.5400             7.088164E-07            -7.088164E-07
                  36.7200             7.184558E-07            -7.184558E-07
                  36.9000             7.281407E-07            -7.281407E-07
                  37.0800             7.378712E-07            -7.378712E-07
                  37.2600             7.476471E-07            -7.476471E-07
                  37.4400             7.574682E-07            -7.574682E-07
                  37.6200             7.673344E-07            -7.673344E-07
                  37.8000             7.772456E-07            -7.772456E-07
                  37.9800             7.872016E-07            -7.872016E-07
                  38.1600             7.972022E-07            -7.972022E-07
                  38.3400             8.072474E-07            -8.072474E-07
                  38.5200             8.173370E-07            -8.173370E-07
                  38.7000             8.274709E-07            -8.274709E-07
                  38.8800             8.376489E-07            -8.376489E-07
                  39.0600             8.478708E-07            -8.478708E-07
                  39.2400             8.581366E-07            -8.581366E-07
                  39.4200             8.684460E-07            -8.684460E-07
                  39.6000             8.787990E-07            -8.787990E-07
                  39.7800             8.891954E-07            -8.891954E-07
                  39.9600             8.996350E-07            -8.996350E-07
                  40.1400             9.101178E-07            -9.101178E-07
                  40.3200             9.206435E-07            -9.206435E-07
                  40.5000             9.312120E-07            -9.312120E-07
                  40.6800             9.418233E-07            -9.418233E-07
                  40.8600             9.524770E-07            -9.524770E-07
                  41.0400             9.631731E-07            -9.631731E-07
                  41.2200             9.739114E-07            -9.739114E-07
                  41.4000             9.846918E-07            -9.846918E-07
                  41.5800             9.955142E-07            -9.955142E-07
                  41.7600             1.006378E-06            -1.006378E-06
                  41.9400             1.017284E-06            -1.017284E-06
                  42.1200             1.028231E-06            -1.028231E-06
                  42.3000             1.039220E-06            -1.039220E-06
                  42.4800             1.050250E-06            -1.050250E-06
                  42.6600             1.061321E-06            -1.061321E-06
                  42.8400             1.072432E-06            -1.072432E-06
                  43.0200             1.083585E-06            -1.083585E-06
                  43.2000             1.094778E-06            -1.094778E-06
                  43.3800             1.106011E-06            -1.106011E-06
                  43.5600             1.117285E-06            -1.117285E-06
                  43.7400             1.128599E-06            -1.128599E-06
                  43.9200             1.139953E-06            -1.139953E-06
                  44.1000             1.151347E-06            -1.151347E-06
                  44.2800             1.162780E-06            -1.162780E-06
                  44.4600             1.174253E-06            -1.174253E-06
                  44.6400             1.185765E-06            -1.185765E-06
                  44.8200             1.197317E-06            -1.197317E-06
                  45.0000             1.208907E-06            -1.208907E-06
                  45.1800             1.220537E-06            -1.220537E-06
                  45.3600             1.232205E-06            -1.232205E-06
                  45.5400             1.243912E-06            -1.243912E-06
                  45.7200             1.255657E-06            -1.255657E-06
                  45.9000             1.267440E-06            -1.267440E-06
                  46.0800             1.279262E-06            -1.279262E-06
                  46.2600             1.291122E-06            -1.291122E-06
                  46.4400             1.303019E-06            -1.303019E-06
                  46.6200             1.314954E-06            -1.314954E-06
                  46.8000             1.326927E-06            -1.326927E-06
                  46.9800             1.338937E-06            -1.338937E-06
                  47.1600             1.350984E-06            -1.350984E-06
                  47.3400             1.363068E-06            -1.363068E-06
                  47.5200             1.375189E-06            -1.375189E-06
                  47.7000             1.387347E-06            -1.387347E-06
                  47.8800             1.399541E-06            -1.399541E-06
                  48.0600             1.411772E-06            -1.411772E-06
                  48.2400             1.424039E-06            -1.424039E-06
                  48.4200             1.436342E-06            -1.436342E-06
                  48.6000             1.448680E-06            -1.448680E-06
                  48.7800             1.461055E-06            -1.461055E-06
                  48.9600             1.473465E-06            -1.473465E-06
                  49.1400             1.485911E-06            -1.485911E-06
                  49.3200             1.498392E-06            -1.498392E-06
                  49.5000             1.510908E-06            -1.510908E-06
                  49.6800             1.523459E-06            -1.523459E-06
                  49.8600             1.536045E-06            -1.536045E-06
                  50.0400             1.548665E-06            -1.548665E-06
                  50.2200             1.561320E-06            -1.561320E-06
                  50.4000             1.574010E-06            -1.574010E-06
                  50.5800             1.586733E-06            -1.586733E-06
                  50.7600             1.599490E-06            -1.599490E-06
                  50.9400             1.612281E-06            -1.612281E-06
                  51.1200             1.625106E-06            -1.625106E-06
                  51.3000             1.637965E-06            -1.637965E-06
                  51.4800             1.650856E-06            -1.650856E-06
                  51.6600             1.663781E-06            -1.663781E-06
                  51.8400             1.676739E-06            -1.676739E-06
                  52.0200             1.689730E-06            -1.689730E-06
                  52.2000             1.702753E-06            -1.702753E-06
                  52.3800             1.715809E-06            -1.715809E-06
                  52.5600             1.728897E-06            -1.728897E-06
                  52.7400             1.742018E-06            -1.742018E-06
                  52.9200             1.755170E-06            -1.755170E-06
                  53.1000             1.768354E-06            -1.768354E-06
                  53.2800             1.781570E-06            -1.781570E-06
                  53.4600             1.794818E-06            -1.794818E-06
                  53.6400             1.808097E-06            -1.808097E-06
                  53.8200             1.821407E-06            -1.821407E-06
                  54.0000             1.834748E-06            -1.834748E-06
                  54.1800             1.848120E-06            -1.848120E-06
                  54.3600             1.861523E-06            -1.861523E-06
                  54.5400             1.874956E-06            -1.874956E-06
                  54.7200             1.888420E-06            -1.888420E-06
                  54.9000             1.901914E-06            -1.901914E-06
                  55.0800             1.915438E-06            -1.915438E-06
                  55.2600             1.928991E-06            -1.928991E-06
                  55.4400             1.942575E-06            -1.942575E-06
                  55.6200             1.956188E-06            -1.956188E-06
                  55.8000             1.969830E-06            -1.969830E-06
                  55.9800             1.983502E-06            -1.983502E-06
                  56.1600             1.997202E-06            -1.997202E-06
                  56.3400             2.010932E-06            -2.010932E-06
                  56.5200             2.024690E-06            -2.024690E-06
                  56.7000             2.038477E-06            -2.038477E-06
                  56.8800             2.052292E-06            -2.052292E-06
                  57.0600             2.066136E-06            -2.066136E-06
                  57.2400             2.080007E-06            -2.080007E-06
                  57.4200             2.093906E-06            -2.093906E-06
                  57.6000             2.107833E-06            -2.107833E-06
                  57.7800             2.121788E-06            -2.121788E-06
                  57.9600             2.135770E-06            -2.135770E-06
                  58.1400             2.149779E-06            -2.149779E-06
                  58.3200             2.163815E-06            -2.163815E-06
                  58.5000             2.177878E-06            -2.177878E-06
                  58.6800             2.191968E-06            -2.191968E-06
                  58.8600             2.206084E-06            -2.206084E-06
                  59.0400             2.220227E-06            -2.220227E-06
                  59.2200             2.234396E-06            -2.234396E-06
                  59.4000             2.248591E-06            -2.248591E-06
                  59.5800             2.262811E-06            -2.262811E-06
                  59.7600             2.277058E-06            -2.277058E-06
                  59.9400             2.291330E-06            -2.291330E-06
                  60.1200             2.305627E-06            -2.305627E-06
                  60.3000             2.319950E-06            -2.319950E-06
                  60.4800             2.334297E-06            -2.334297E-06
                  60.6600             2.348670E-06            -2.348670E-06
                  60.8400             2.363067E-06            -2.363067E-06
                  61.0200             2.377489E-06            -2.377489E-06
                  61.2000             2.391935E-06            -2.391935E-06
                  61.3800             2.406405E-06            -2.406405E-06
                  61.5600             2.420899E-06            -2.420899E-06
                  61.7400             2.435417E-06            -2.435417E-06
                  61.9200             2.449959E-06            -2.449959E-06
                  62.1000             2.464524E-06            -2.464524E-06
                  62.2800             2.479112E-06            -2.479112E-06
                  62.4600             2.493724E-06            -2.493724E-06
                  62.6400             2.508359E-06            -2.508359E-06
                  62.8200             2.523016E-06            -2.523016E-06
                  63.0000             2.537696E-06            -2.537696E-06
                  63.1800             2.552399E-06            -2.552399E-06
                  63.3600             2.567124E-06            -2.567124E-06
                  63.5400             2.581871E-06            -2.581871E-06
                  63.7200             2.596641E-06            -2.596641E-06
                  63.9000             2.611432E-06            -2.611432E-06
                  64.0800             2.626244E-06            -2.626244E-06
                  64.2600             2.641078E-06            -2.641078E-06
                  64.4400             2.655934E-06            -2.655934E-06
                  64.6200             2.670810E-06            -2.670810E-06
                  64.8000             2.685708E-06            -2.685708E-06
                  64.9800             2.700626E-06            -2.700626E-06
                  65.1600             2.715565E-06            -2.715565E-06
                  65.3400             2.730525E-06            -2.730525E-06
                  65.5200             2.745505E-06            -2.745505E-06
                  65.7000             2.760505E-06            -2.760505E-06
                  65.8800             2.775525E-06            -2.775525E-06
                  66.0600             2.790564E-06            -2.790564E-06
                  66.2400             2.805624E-06            -2.805624E-06
                  66.4200             2.820702E-06            -2.820702E-06
                  66.6000             2.835800E-06            -2.835800E-06
                  66.7800             2.850918E-06            -2.850918E-06
                  66.9600             2.866054E-06            -2.866054E-06
                  67.1400             2.881209E-06            -2.881209E-06
                  67.3200             2.896382E-06            -2.896382E-06
                  67.5000             2.911574E-06            -2.911574E-06
                  67.6800             2.926785E-06            -2.926785E-06
                  67.8600             2.942013E-06            -2.942013E-06
                  68.0400             2.957259E-06            -2.957259E-06
                  68.2200             2.972523E-06            -2.972523E-06
                  68.4000             2.987805E-06            -2.987805E-06
                  68.5800             3.003104E-06            -3.003104E-06
                  68.7600             3.018421E-06            -3.018421E-06
                  68.9400             3.033754E-06            -3.033754E-06
                  69.1200             3.049105E-06            -3.049105E-06
                  69.3000             3.064472E-06            -3.064472E-06
                  69.4800             3.079856E-06            -3.079856E-06
                  69.6600             3.095256E-06            -3.095256E-06
                  69.8400             3.110673E-06            -3.110673E-06
                  70.0200             3.126106E-06            -3.126106E-06
                  70.2000             3.141554E-06            -3.141554E-06
                  70.3800             3.157018E-06            -3.157018E-06
                  70.5600             3.172498E-06            -3.172498E-06
                  70.7400             3.187994E-06            -3.187994E-06
                  70.9200             3.203504E-06            -3.203504E-06
                  71.1000             3.219030E-06            -3.219030E-06
                  71.2800             3.234571E-06            -3.234571E-06
                  71.4600             3.250126E-06            -3.250126E-06
                  71.6400             3.265696E-06            -3.265696E-06
                  71.8200             3.281281E-06            -3.281281E-06
                  72.0000             3.296879E-06            -3.296879E-06
                  72.1800             3.312492E-06            -3.312492E-06
                  72.3600             3.328119E-06            -3.328119E-06
                  72.5400             3.343759E-06            -3.343759E-06
                  72.7200             3.359414E-06            -3.359414E-06
                  72.9000             3.375081E-06            -3.375081E-06
                  73.0800             3.390762E-06            -3.390762E-06
                  73.2600             3.406456E-06            -3.406456E-06
                  73.4400             3.422163E-06            -3.422163E-06
                  73.6200             3.437882E-06            -3.437882E-06
                  73.8000             3.453614E-06            -3.453614E-06
                  73.9800             3.469359E-06            -3.469359E-06
                  74.1600             3.485116E-06            -3.485116E-06
                  74.3400             3.500885E-06            -3.500885E-06
                  74.5200             3.516666E-06            -3.516666E-06
                  74.7000             3.532458E-06            -3.532458E-06
                  74.8800             3.548262E-06            -3.548262E-06
                  75.0600             3.564078E-06            -3.564078E-06
                  75.2400             3.579905E-06            -3.579905E-06
                  75.4200             3.595743E-06            -3.595743E-06
                  75.6000             3.611592E-06            -3.611592E-06
                  75.7800             3.627452E-06            -3.627452E-06
                  75.9600             3.643322E-06            -3.643322E-06
                  76.1400             3.659203E-06            -3.659203E-06
                  76.3200             3.675094E-06            -3.675094E-06
                  76.5000             3.690996E-06            -3.690996E-06
                  76.6800             3.706907E-06            -3.706907E-06
                  76.8600             3.722828E-06            -3.722828E-06
                  77.0400             3.738759E-06            -3.738759E-06
                  77.2200             3.754699E-06            -3.754699E-06
                  77.4000             3.770648E-06            -3.770648E-06
                  77.5800             3.786607E-06            -3.786607E-06
                  77.7600             3.802574E-06            -3.802574E-06
                  77.9400             3.818551E-06            -3.818551E-06
                  78.1200             3.834536E-06            -3.834536E-06
                  78.3000             3.850529E-06            -3.850529E-06
                  78.4800             3.866531E-06            -3.866531E-06
                  78.6600             3.882541E-06            -3.882541E-06
                  78.8400             3.898559E-06            -3.898559E-06
                  79.0200             3.914585E-06            -3.914585E-06
