                   Degree          P_inst_total[W]  P_inst_total_no_loss[W]              P_f_loss[W]            P_thr_loss[W]          P_inertia_ro[W]          P_inertia_vh[W]                 P_com[W]              P_bear_s[W]
                   7.5600             7.174441E+01            -1.527969E+01             8.702410E+01             0.000000E+00            -1.782313E+01            -5.353147E-02             2.596970E+00             1.003396E+01
                   7.7400             7.159766E+01            -1.562774E+01             8.722540E+01             0.000000E+00            -1.823218E+01            -5.475553E-02             2.659203E+00             1.003940E+01
                   7.9200             7.144694E+01            -1.597470E+01             8.742164E+01             0.000000E+00            -1.864019E+01            -5.597612E-02             2.721465E+00             1.003902E+01
                   8.1000             7.129806E+01            -1.632055E+01             8.761862E+01             0.000000E+00            -1.904712E+01            -5.719317E-02             2.783756E+00             1.003865E+01
                   8.2800             7.115101E+01            -1.666528E+01             8.781629E+01             0.000000E+00            -1.945295E+01            -5.840660E-02             2.846073E+00             1.003828E+01
                   8.4600             7.100577E+01            -1.700886E+01             8.801463E+01             0.000000E+00            -1.985766E+01            -5.961634E-02             2.908415E+00             1.003793E+01
                   8.6400             7.086233E+01            -1.735126E+01             8.821359E+01             0.000000E+00            -2.026122E+01            -6.082231E-02             2.970781E+00             1.003759E+01
                   8.8200             7.072067E+01            -1.769248E+01             8.841315E+01             0.000000E+00            -2.066363E+01            -6.202444E-02             3.033170E+00             1.003727E+01
                   9.0000             7.058079E+01            -1.803248E+01             8.861327E+01             0.000000E+00            -2.106484E+01            -6.322266E-02             3.095579E+00             1.003695E+01
                   9.1800             7.044268E+01            -1.837125E+01             8.881393E+01             0.000000E+00            -2.146484E+01            -6.441688E-02             3.158008E+00             1.003665E+01
                   9.3600             7.030633E+01            -1.870876E+01             8.901509E+01             0.000000E+00            -2.186361E+01            -6.560705E-02             3.220453E+00             1.003637E+01
                   9.5400             7.017174E+01            -1.904500E+01             8.921673E+01             0.000000E+00            -2.226112E+01            -6.679307E-02             3.282914E+00             1.003609E+01
                   9.7200             7.003889E+01            -1.937994E+01             8.941883E+01             0.000000E+00            -2.265735E+01            -6.797489E-02             3.345388E+00             1.003584E+01
                   9.9000             6.990778E+01            -1.971356E+01             8.962134E+01             0.000000E+00            -2.305228E+01            -6.915243E-02             3.407873E+00             1.003560E+01
                  10.0800             6.977841E+01            -2.004585E+01             8.982426E+01             0.000000E+00            -2.344589E+01            -7.032561E-02             3.470366E+00             1.003537E+01
                  10.2600             6.965077E+01            -2.037679E+01             9.002756E+01             0.000000E+00            -2.383816E+01            -7.149438E-02             3.532866E+00             1.003517E+01
                  10.4400             6.952486E+01            -2.070634E+01             9.023121E+01             0.000000E+00            -2.422906E+01            -7.265865E-02             3.595370E+00             1.003498E+01
                  10.6200             6.940069E+01            -2.103451E+01             9.043519E+01             0.000000E+00            -2.461857E+01            -7.381836E-02             3.657875E+00             1.003481E+01
                  10.8000             6.927824E+01            -2.136126E+01             9.063949E+01             0.000000E+00            -2.500666E+01            -7.497343E-02             3.720379E+00             1.003466E+01
                  10.9800             6.915751E+01            -2.168658E+01             9.084409E+01             0.000000E+00            -2.539333E+01            -7.612380E-02             3.782878E+00             1.003452E+01
                  11.1600             6.903851E+01            -2.201044E+01             9.104896E+01             0.000000E+00            -2.577855E+01            -7.726939E-02             3.845371E+00             1.003441E+01
                  11.3400             6.892124E+01            -2.233284E+01             9.125408E+01             0.000000E+00            -2.616229E+01            -7.841015E-02             3.907853E+00             1.003432E+01
                  11.5200             6.880568E+01            -2.265375E+01             9.145944E+01             0.000000E+00            -2.654453E+01            -7.954599E-02             3.970321E+00             1.003426E+01
                  11.7000             6.869186E+01            -2.297316E+01             9.166502E+01             0.000000E+00            -2.692526E+01            -8.067686E-02             4.032774E+00             1.003421E+01
                  11.8800             6.857976E+01            -2.329104E+01             9.187080E+01             0.000000E+00            -2.730445E+01            -8.180268E-02             4.095206E+00             1.003419E+01
                  12.0600             6.846939E+01            -2.360738E+01             9.207677E+01             0.000000E+00            -2.768208E+01            -8.292339E-02             4.157615E+00             1.003419E+01
                  12.2400             6.836074E+01            -2.392217E+01             9.228291E+01             0.000000E+00            -2.805813E+01            -8.403892E-02             4.219998E+00             1.003422E+01
                  12.4200             6.825382E+01            -2.423538E+01             9.248920E+01             0.000000E+00            -2.843258E+01            -8.514921E-02             4.282349E+00             1.003427E+01
                  12.6000             6.814863E+01            -2.454700E+01             9.269563E+01             0.000000E+00            -2.880541E+01            -8.625419E-02             4.344667E+00             1.003435E+01
                  12.7800             6.804518E+01            -2.485701E+01             9.290218E+01             0.000000E+00            -2.917660E+01            -8.735379E-02             4.406947E+00             1.003445E+01
                  12.9600             6.794345E+01            -2.516539E+01             9.310884E+01             0.000000E+00            -2.954613E+01            -8.844796E-02             4.469186E+00             1.003458E+01
                  13.1400             6.784347E+01            -2.547213E+01             9.331560E+01             0.000000E+00            -2.991398E+01            -8.953662E-02             4.531379E+00             1.003473E+01
                  13.3200             6.774521E+01            -2.577722E+01             9.352243E+01             0.000000E+00            -3.028012E+01            -9.061971E-02             4.593523E+00             1.003492E+01
                  13.5000             6.764870E+01            -2.608063E+01             9.372933E+01             0.000000E+00            -3.064455E+01            -9.169718E-02             4.655613E+00             1.003513E+01
                  13.6800             6.755392E+01            -2.638236E+01             9.393628E+01             0.000000E+00            -3.100724E+01            -9.276895E-02             4.717646E+00             1.003536E+01
                  13.8600             6.746089E+01            -2.668238E+01             9.414326E+01             0.000000E+00            -3.136816E+01            -9.383497E-02             4.779618E+00             1.003563E+01
                  14.0400             6.736959E+01            -2.698068E+01             9.435027E+01             0.000000E+00            -3.172731E+01            -9.489518E-02             4.841525E+00             1.003593E+01
                  14.2200             6.728004E+01            -2.727724E+01             9.455728E+01             0.000000E+00            -3.208465E+01            -9.594950E-02             4.903362E+00             1.003625E+01
                  14.4000             6.718330E+01            -2.757205E+01             9.475535E+01             0.000000E+00            -3.244018E+01            -9.699790E-02             4.965126E+00             1.002766E+01
                  14.5800             6.709722E+01            -2.786510E+01             9.496232E+01             0.000000E+00            -3.279387E+01            -9.804029E-02             5.026813E+00             1.002802E+01
                  14.7600             6.701289E+01            -2.815637E+01             9.516926E+01             0.000000E+00            -3.314571E+01            -9.907663E-02             5.088419E+00             1.002841E+01
                  14.9400             6.693031E+01            -2.844584E+01             9.537615E+01             0.000000E+00            -3.349567E+01            -1.001069E-01             5.149939E+00             1.002884E+01
                  15.1200             6.684950E+01            -2.873350E+01             9.558300E+01             0.000000E+00            -3.384374E+01            -1.011309E-01             5.211371E+00             1.002930E+01
                  15.3000             6.677043E+01            -2.901934E+01             9.578977E+01             0.000000E+00            -3.418990E+01            -1.021487E-01             5.272709E+00             1.002979E+01
                  15.4800             6.669313E+01            -2.930334E+01             9.599646E+01             0.000000E+00            -3.453413E+01            -1.031603E-01             5.333951E+00             1.003031E+01
                  15.6600             6.661758E+01            -2.958548E+01             9.620306E+01             0.000000E+00            -3.487641E+01            -1.041655E-01             5.395092E+00             1.003087E+01
                  15.8400             6.654380E+01            -2.986576E+01             9.640955E+01             0.000000E+00            -3.521672E+01            -1.051643E-01             5.456129E+00             1.003146E+01
                  16.0200             6.647177E+01            -3.014415E+01             9.661592E+01             0.000000E+00            -3.555505E+01            -1.061566E-01             5.517059E+00             1.003209E+01
                  16.2000             6.640151E+01            -3.042065E+01             9.682215E+01             0.000000E+00            -3.589138E+01            -1.071424E-01             5.577877E+00             1.003275E+01
                  16.3800             6.633301E+01            -3.069523E+01             9.702824E+01             0.000000E+00            -3.622569E+01            -1.081217E-01             5.638582E+00             1.003343E+01
                  16.5600             6.626627E+01            -3.096789E+01             9.723417E+01             0.000000E+00            -3.655797E+01            -1.090943E-01             5.699168E+00             1.003415E+01
                  16.7400             6.620131E+01            -3.123862E+01             9.743992E+01             0.000000E+00            -3.688819E+01            -1.100603E-01             5.759634E+00             1.003490E+01
                  16.9200             6.613811E+01            -3.150738E+01             9.764549E+01             0.000000E+00            -3.721634E+01            -1.110196E-01             5.819976E+00             1.003568E+01
                  17.1000             6.607667E+01            -3.177419E+01             9.785086E+01             0.000000E+00            -3.754240E+01            -1.119720E-01             5.880191E+00             1.003650E+01
                  17.2800             6.600823E+01            -3.203901E+01             9.804724E+01             0.000000E+00            -3.786637E+01            -1.129177E-01             5.940278E+00             1.002856E+01
                  17.4600             6.595038E+01            -3.230183E+01             9.825221E+01             0.000000E+00            -3.818821E+01            -1.138565E-01             6.000232E+00             1.002946E+01
                  17.6400             6.589430E+01            -3.256265E+01             9.845695E+01             0.000000E+00            -3.850791E+01            -1.147883E-01             6.060051E+00             1.003040E+01
                  17.8200             6.584000E+01            -3.282144E+01             9.866144E+01             0.000000E+00            -3.882546E+01            -1.157132E-01             6.119735E+00             1.003137E+01
                  18.0000             6.578748E+01            -3.307819E+01             9.886567E+01             0.000000E+00            -3.914084E+01            -1.166310E-01             6.179279E+00             1.003237E+01
                  18.1800             6.573674E+01            -3.333290E+01             9.906964E+01             0.000000E+00            -3.945404E+01            -1.175418E-01             6.238682E+00             1.003339E+01
                  18.3600             6.568779E+01            -3.358554E+01             9.927333E+01             0.000000E+00            -3.976503E+01            -1.184455E-01             6.297942E+00             1.003445E+01
                  18.5400             6.564062E+01            -3.383610E+01             9.947672E+01             0.000000E+00            -4.007381E+01            -1.193419E-01             6.357058E+00             1.003553E+01
                  18.7200             6.559524E+01            -3.408456E+01             9.967980E+01             0.000000E+00            -4.038036E+01            -1.202312E-01             6.416028E+00             1.003664E+01
                  18.9000             6.554338E+01            -3.433093E+01             9.987430E+01             0.000000E+00            -4.068466E+01            -1.211132E-01             6.474850E+00             1.002950E+01
                  19.0800             6.550164E+01            -3.457517E+01             1.000768E+02             0.000000E+00            -4.098670E+01            -1.219879E-01             6.533524E+00             1.003072E+01
                  19.2600             6.546171E+01            -3.481727E+01             1.002790E+02             0.000000E+00            -4.128647E+01            -1.228553E-01             6.592048E+00             1.003197E+01
                  19.4400             6.542358E+01            -3.505723E+01             1.004808E+02             0.000000E+00            -4.158394E+01            -1.237152E-01             6.650421E+00             1.003324E+01
                  19.6200             6.538725E+01            -3.529503E+01             1.006823E+02             0.000000E+00            -4.187910E+01            -1.245678E-01             6.708642E+00             1.003453E+01
                  19.8000             6.535273E+01            -3.553065E+01             1.008834E+02             0.000000E+00            -4.217195E+01            -1.254128E-01             6.766710E+00             1.003584E+01
                  19.9800             6.532002E+01            -3.576408E+01             1.010841E+02             0.000000E+00            -4.246246E+01            -1.262503E-01             6.824626E+00             1.003718E+01
