                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                   0.0000             3.349683E+02             3.348582E+02             3.349683E+02             3.348582E+02             3.378003E+02             3.371366E+02             3.378003E+02             3.371366E+02             3.385851E+02             3.378233E+02
                   0.1800             3.346557E+02             3.345428E+02             3.347233E+02             3.346091E+02             3.374954E+02             3.368272E+02             3.375649E+02             3.368954E+02             3.383470E+02             3.375796E+02
                   0.3600             3.346396E+02             3.345339E+02             3.347507E+02             3.346400E+02             3.374698E+02             3.368082E+02             3.375836E+02             3.369191E+02             3.383679E+02             3.376054E+02
                   0.5400             3.346028E+02             3.345036E+02             3.347497E+02             3.346415E+02             3.374262E+02             3.367698E+02             3.375768E+02             3.369158E+02             3.383625E+02             3.376033E+02
                   0.7200             3.345530E+02             3.344597E+02             3.347316E+02             3.346249E+02             3.373712E+02             3.367191E+02             3.375545E+02             3.368958E+02             3.383412E+02             3.375842E+02
                   0.9000             3.344967E+02             3.344088E+02             3.347039E+02             3.345984E+02             3.373106E+02             3.366623E+02             3.375239E+02             3.368669E+02             3.383112E+02             3.375559E+02
                   1.0800             3.344385E+02             3.343553E+02             3.346721E+02             3.345673E+02             3.372485E+02             3.366036E+02             3.374897E+02             3.368340E+02             3.382774E+02             3.375233E+02
                   1.2600             3.343811E+02             3.343023E+02             3.346391E+02             3.345350E+02             3.371875E+02             3.365457E+02             3.374550E+02             3.368002E+02             3.382429E+02             3.374897E+02
                   1.4400             3.343261E+02             3.342513E+02             3.346071E+02             3.345035E+02             3.371292E+02             3.364903E+02             3.374214E+02             3.367674E+02             3.382095E+02             3.374571E+02
                   1.6200             3.342746E+02             3.342034E+02             3.345770E+02             3.344738E+02             3.370744E+02             3.364383E+02             3.373900E+02             3.367367E+02             3.381782E+02             3.374264E+02
                   1.8000             3.342268E+02             3.341590E+02             3.345496E+02             3.344467E+02             3.370235E+02             3.363900E+02             3.373613E+02             3.367086E+02             3.381496E+02             3.373983E+02
                   1.9800             3.341831E+02             3.341184E+02             3.345251E+02             3.344226E+02             3.369768E+02             3.363458E+02             3.373358E+02             3.366836E+02             3.381240E+02             3.373733E+02
                   2.1600             3.341436E+02             3.340817E+02             3.345038E+02             3.344015E+02             3.369343E+02             3.363057E+02             3.373135E+02             3.366618E+02             3.381016E+02             3.373514E+02
                   2.3400             3.341081E+02             3.340488E+02             3.344857E+02             3.343836E+02             3.368960E+02             3.362697E+02             3.372946E+02             3.366432E+02             3.380825E+02             3.373327E+02
                   2.5200             3.340766E+02             3.340197E+02             3.344708E+02             3.343690E+02             3.368617E+02             3.362376E+02             3.372789E+02             3.366279E+02             3.380667E+02             3.373172E+02
                   2.7000             3.340488E+02             3.339941E+02             3.344590E+02             3.343573E+02             3.368314E+02             3.362093E+02             3.372663E+02             3.366156E+02             3.380540E+02             3.373048E+02
