                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                   0.0000             9.950953E-16             2.233158E+02             9.950953E-16             2.354236E+01             0.000000E+00             2.468581E+02             4.455323E-02             4.952053E-05             6.330174E-01             5.540712E-02             8.824110E-01             4.827651E-01             1.607532E+01             1.423123E+01             9.953028E+00             4.237997E+01
                   0.1800             1.648592E+01             2.129794E+02             1.514075E-02             2.247231E+01             1.650106E+01             2.354517E+02             6.519076E-02             5.652324E-03             6.367065E-01             5.540645E-02             8.627392E-01             4.264275E-01             1.607527E+01             1.409830E+01             9.930015E+00             4.237997E+01
                   0.3600             1.649873E+01             2.027342E+02             4.329442E-03             2.140909E+01             1.650306E+01             2.241433E+02             6.114600E-02             9.785143E-03             6.400813E-01             5.540424E-02             8.645256E-01             3.583669E-01             1.607506E+01             1.415277E+01             9.930135E+00             4.237997E+01
                   0.5400             1.649499E+01             1.924983E+02             7.366874E-04             2.034412E+01             1.649573E+01             2.128424E+02             5.752249E-02             1.344659E-02             6.432765E-01             5.540055E-02             8.665263E-01             2.903491E-01             1.607471E+01             1.421506E+01             9.929825E+00             4.237997E+01
                   0.7200             1.648170E+01             1.822726E+02             9.825065E-07             1.927765E+01             1.648170E+01             2.015503E+02             5.505802E-02             1.685575E-02             6.462880E-01             5.539539E-02             8.687329E-01             2.223960E-01             1.607422E+01             1.428489E+01             9.929850E+00             4.237997E+01
                   0.9000             1.646344E+01             1.720581E+02             2.813908E-04             1.820992E+01             1.646373E+01             1.902680E+02             5.357855E-02             2.010988E-02             6.491125E-01             5.538876E-02             8.711390E-01             1.545400E-01             1.607360E+01             1.436199E+01             9.929093E+00             4.237997E+01
                   1.0800             1.644337E+01             1.618557E+02             8.374720E-04             1.714121E+01             1.644421E+01             1.789969E+02             5.247606E-02             2.325841E-02             6.517476E-01             5.538066E-02             8.737391E-01             8.679445E-02             1.607284E+01             1.444608E+01             9.929760E+00             4.237997E+01
                   1.2600             1.642324E+01             1.516671E+02             1.394414E-03             1.607183E+01             1.642464E+01             1.677389E+02             5.148623E-02             2.632863E-02             6.541915E-01             5.537108E-02             8.765299E-01             1.915377E-02             1.607193E+01             1.453690E+01             9.929465E+00             4.237997E+01
                   1.4400             1.640436E+01             1.414943E+02             1.867767E-03             1.500214E+01             1.640623E+01             1.564964E+02             5.058206E-02             2.933641E-02             6.564429E-01             5.536004E-02             8.795070E-01             4.836107E-02             1.607089E+01             1.463418E+01             9.929364E+00             4.237997E+01
                   1.6200             1.638748E+01             1.313397E+02             2.246487E-03             1.393257E+01             1.638972E+01             1.452723E+02             4.976983E-02             3.229144E-02             6.585009E-01             5.534752E-02             8.826671E-01             1.157432E-01             1.606971E+01             1.473763E+01             9.929464E+00             4.237997E+01
