                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                   0.0000            -1.084697E+00            -4.843980E+01             3.790454E+00             5.084401E+00             1.293946E+00             1.989778E+01             1.993981E+01
                   0.1800            -1.427310E+00            -4.735057E+01             3.223103E+00             5.553284E+00             2.336811E+00             1.941965E+01             1.955974E+01
                   0.3600            -2.136514E+00            -4.742302E+01             2.563708E+00             5.553285E+00             3.002952E+00             1.948559E+01             1.971563E+01
                   0.5400            -2.845622E+00            -4.749739E+01             1.904617E+00             5.553829E+00             3.669447E+00             1.955260E+01             1.989394E+01
                   0.7200            -3.554427E+00            -4.757335E+01             1.245954E+00             5.555036E+00             4.336286E+00             1.962045E+01             2.009391E+01
                   0.9000            -4.262669E+00            -4.765066E+01             5.879238E-01             5.556979E+00             5.003336E+00             1.968896E+01             2.031474E+01
                   1.0800            -4.970263E+00            -4.772915E+01            -6.942489E-02             5.559706E+00             5.670596E+00             1.975799E+01             2.055563E+01
                   1.2600            -5.677289E+00            -4.780877E+01            -7.261909E-01             5.563247E+00             6.338190E+00             1.982745E+01             2.081587E+01
                   1.4400            -6.383619E+00            -4.788943E+01            -1.382265E+00             5.567616E+00             7.006023E+00             1.989723E+01             2.109465E+01
                   1.6200            -7.089245E+00            -4.797109E+01            -2.037650E+00             5.572820E+00             7.674103E+00             1.996725E+01             2.139119E+01
                   1.8000            -7.794114E+00            -4.805373E+01            -2.692301E+00             5.578859E+00             8.342384E+00             2.003742E+01             2.170469E+01
                   1.9800            -8.498283E+00            -4.813733E+01            -3.346277E+00             5.585732E+00             9.010925E+00             2.010768E+01             2.203442E+01
                   2.1600            -9.201681E+00            -4.822188E+01            -3.999514E+00             5.593433E+00             9.679653E+00             2.017794E+01             2.237957E+01
                   2.3400            -9.904336E+00            -4.830738E+01            -4.652039E+00             5.601955E+00             1.034859E+01             2.024815E+01             2.273942E+01
                   2.5200            -1.060622E+01            -4.839382E+01            -5.303827E+00             5.611287E+00             1.101770E+01             2.031825E+01             2.311322E+01
                   2.7000            -1.130733E+01            -4.848120E+01            -5.954873E+00             5.621420E+00             1.168697E+01             2.038815E+01             2.350026E+01
                   2.8800            -1.200767E+01            -4.856951E+01            -6.605187E+00             5.632342E+00             1.235641E+01             2.045782E+01             2.389986E+01
                   3.0600            -1.270722E+01            -4.865876E+01            -7.254746E+00             5.644039E+00             1.302596E+01             2.052718E+01             2.431133E+01
                   3.2400            -1.340600E+01            -4.874893E+01            -7.903562E+00             5.656495E+00             1.369564E+01             2.059618E+01             2.473405E+01
                   3.4200            -1.410400E+01            -4.884002E+01            -8.551643E+00             5.669690E+00             1.436543E+01             2.066477E+01             2.516741E+01
                   3.6000            -1.480124E+01            -4.893200E+01            -9.198988E+00             5.683596E+00             1.503531E+01             2.073289E+01             2.561080E+01
