                   Degree          h_min[micron-m]               p_max[MPa]           Q_martin[cc/s]                    Eccen        Att.Angle[degree]
                   0.0000             2.374996E+01             3.524131E-02             4.827277E-01             5.000008E-01             5.000217E-01
                   0.1800             2.374882E+01             3.367695E-02             4.749203E-01             5.000247E-01            -2.895989E-02
                   0.3600             2.374893E+01             3.394468E-02             4.750528E-01             5.000224E-01            -2.585159E-02
                   0.5400             2.374900E+01             3.425336E-02             4.752213E-01             5.000210E-01            -3.233778E-02
                   0.7200             2.374907E+01             3.459725E-02             4.753980E-01             5.000195E-01            -3.132860E-02
                   0.9000             2.374910E+01             3.498321E-02             4.756322E-01             5.000189E-01            -4.729529E-02
                   1.0800             2.374918E+01             3.539257E-02             4.758163E-01             5.000174E-01            -3.237123E-02
                   1.2600             2.374921E+01             3.584252E-02             4.760656E-01             5.000167E-01            -3.812686E-02
                   1.4400             2.374924E+01             3.632317E-02             4.763254E-01             5.000161E-01            -3.966018E-02
                   1.6200             2.374927E+01             3.683275E-02             4.765938E-01             5.000154E-01            -3.701999E-02
                   1.8000             2.374926E+01             3.738552E-02             4.769699E-01             5.000156E-01            -6.339250E-02
                   1.9800             2.374929E+01             3.794809E-02             4.772469E-01             5.000149E-01            -5.418724E-02
                   2.1600             2.374933E+01             3.853610E-02             4.775341E-01             5.000142E-01            -4.108818E-02
                   2.3400             2.374931E+01             3.916669E-02             4.779499E-01             5.000145E-01            -6.173541E-02
                   2.5200             2.374935E+01             3.980022E-02             4.782432E-01             5.000137E-01            -4.269996E-02
                   2.7000             2.374934E+01             4.047631E-02             4.786835E-01             5.000139E-01            -6.025504E-02
                   2.8800             2.374933E+01             4.117694E-02             4.791603E-01             5.000142E-01            -7.697609E-02
                   3.0600             2.374936E+01             4.186718E-02             4.794446E-01             5.000134E-01            -5.051080E-02
                   3.2400             2.374935E+01             4.260427E-02             4.799278E-01             5.000136E-01            -6.451110E-02
                   3.4200             2.374934E+01             4.336137E-02             4.804392E-01             5.000139E-01            -7.778773E-02
                   3.6000             2.374933E+01             4.413764E-02             4.809771E-01             5.000141E-01            -9.036078E-02
                   3.7800             2.374937E+01             4.488848E-02             4.812372E-01             5.000133E-01            -5.592620E-02
                   3.9600             2.374936E+01             4.569139E-02             4.817667E-01             5.000135E-01            -6.630767E-02
                   4.1400             2.374935E+01             4.650993E-02             4.823167E-01             5.000138E-01            -7.611375E-02
                   4.3200             2.374933E+01             4.734303E-02             4.828861E-01             5.000140E-01            -8.536983E-02
                   4.5000             2.374932E+01             4.818964E-02             4.834737E-01             5.000143E-01            -9.409808E-02
                   4.6800             2.374937E+01             4.899974E-02             4.837161E-01             5.000133E-01            -5.213112E-02
                   4.8600             2.374936E+01             4.986505E-02             4.842869E-01             5.000135E-01            -5.923286E-02
                   5.0400             2.374935E+01             5.074178E-02             4.848723E-01             5.000138E-01            -6.591598E-02
                   5.2200             2.374933E+01             5.162919E-02             4.854714E-01             5.000140E-01            -7.219957E-02
                   5.4000             2.374932E+01             5.252655E-02             4.860834E-01             5.000143E-01            -7.810425E-02
                   5.5800             2.374931E+01             5.343368E-02             4.867076E-01             5.000145E-01            -8.364582E-02
                   5.7600             2.374930E+01             5.434960E-02             4.873432E-01             5.000148E-01            -8.884294E-02
                   5.9400             2.374929E+01             5.527386E-02             4.879896E-01             5.000150E-01            -9.370911E-02
                   6.1200             2.374928E+01             5.620606E-02             4.886461E-01             5.000153E-01            -9.826075E-02
                   6.3000             2.374926E+01             5.714571E-02             4.893120E-01             5.000155E-01            -1.025103E-01
                   6.4800             2.374925E+01             5.809226E-02             4.899868E-01             5.000158E-01            -1.064695E-01
                   6.6600             2.374924E+01             5.904533E-02             4.906698E-01             5.000160E-01            -1.101511E-01
                   6.8400             2.374930E+01             5.992991E-02             4.907723E-01             5.000148E-01            -5.778682E-02
                   7.0200             2.374929E+01             6.089087E-02             4.914331E-01             5.000150E-01            -6.065433E-02
                   7.2000             2.374928E+01             6.185738E-02             4.921011E-01             5.000153E-01            -6.329393E-02
                   7.3800             2.374926E+01             6.282905E-02             4.927758E-01             5.000155E-01            -6.571329E-02
                   7.5600             2.374925E+01             6.380561E-02             4.934568E-01             5.000157E-01            -6.791850E-02
                   7.7400             2.374924E+01             6.478672E-02             4.941438E-01             5.000160E-01            -6.991459E-02
                   7.9200             2.374923E+01             6.577205E-02             4.948362E-01             5.000162E-01            -7.170750E-02
                   8.1000             2.374922E+01             6.676177E-02             4.955337E-01             5.000165E-01            -7.330081E-02
                   8.2800             2.374921E+01             6.775515E-02             4.962360E-01             5.000167E-01            -7.469892E-02
                   8.4600             2.374919E+01             6.875194E-02             4.969427E-01             5.000170E-01            -7.590479E-02
                   8.6400             2.374918E+01             6.975228E-02             4.976533E-01             5.000172E-01            -7.692177E-02
                   8.8200             2.374917E+01             7.075563E-02             4.983677E-01             5.000175E-01            -7.775232E-02
                   9.0000             2.374916E+01             7.176168E-02             4.990853E-01             5.000177E-01            -7.839838E-02
                   9.1800             2.374915E+01             7.277075E-02             4.998061E-01             5.000180E-01            -7.886261E-02
                   9.3600             2.374914E+01             7.378230E-02             5.005296E-01             5.000182E-01            -7.914622E-02
                   9.5400             2.374912E+01             7.479614E-02             5.012555E-01             5.000185E-01            -7.925013E-02
                   9.7200             2.374911E+01             7.581211E-02             5.019837E-01             5.000187E-01            -7.917642E-02
                   9.9000             2.374910E+01             7.683004E-02             5.027138E-01             5.000190E-01            -7.892531E-02
                  10.0800             2.374909E+01             7.784970E-02             5.034456E-01             5.000192E-01            -7.849802E-02
                  10.2600             2.374908E+01             7.887150E-02             5.041789E-01             5.000195E-01            -7.789579E-02
                  10.4400             2.374906E+01             7.989468E-02             5.049136E-01             5.000197E-01            -7.711830E-02
                  10.6200             2.374905E+01             8.091897E-02             5.056495E-01             5.000200E-01            -7.616673E-02
                  10.8000             2.374904E+01             8.194515E-02             5.063863E-01             5.000202E-01            -7.504156E-02
                  10.9800             2.374903E+01             8.297200E-02             5.071241E-01             5.000205E-01            -7.374342E-02
                  11.1600             2.374902E+01             8.400034E-02             5.078628E-01             5.000207E-01            -7.227296E-02
                  11.3400             2.374900E+01             8.502957E-02             5.086022E-01             5.000210E-01            -7.063068E-02
                  11.5200             2.374899E+01             8.605953E-02             5.093423E-01             5.000212E-01            -6.881726E-02
                  11.7000             2.374898E+01             8.709027E-02             5.100832E-01             5.000215E-01            -6.683362E-02
                  11.8800             2.374897E+01             8.812178E-02             5.108248E-01             5.000217E-01            -6.468024E-02
                  12.0600             2.374896E+01             8.915402E-02             5.115673E-01             5.000220E-01            -6.235856E-02
                  12.2400             2.374894E+01             9.018691E-02             5.123108E-01             5.000222E-01            -5.986934E-02
                  12.4200             2.374893E+01             9.122034E-02             5.130553E-01             5.000225E-01            -5.721427E-02
                  12.6000             2.374881E+01             9.236373E-02             5.147746E-01             5.000251E-01            -1.098306E-01
                  12.7800             2.374880E+01             9.339442E-02             5.154924E-01             5.000254E-01            -1.065491E-01
                  12.9600             2.374878E+01             9.442503E-02             5.162089E-01             5.000256E-01            -1.030905E-01
                  13.1400             2.374877E+01             9.545576E-02             5.169243E-01             5.000259E-01            -9.945608E-02
                  13.3200             2.374876E+01             9.648650E-02             5.176390E-01             5.000262E-01            -9.564862E-02
                  13.5000             2.374874E+01             9.751688E-02             5.183533E-01             5.000265E-01            -9.167077E-02
                  13.6800             2.374873E+01             9.854724E-02             5.190677E-01             5.000267E-01            -8.752487E-02
