                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                   0.0000             0.000000E+00            -2.390988E+01            -7.490044E+00
                   0.1800            -3.394677E-04            -2.390974E+01             2.295697E+01
                   0.3600            -6.789309E-04            -2.390926E+01             4.534985E+01
                   0.5400            -1.018385E-03            -2.390847E+01             6.774534E+01
                   0.7200            -1.357826E-03            -2.390735E+01             9.014188E+01
                   0.9000            -1.697248E-03            -2.390592E+01             1.125342E+02
                   1.0800            -2.036648E-03            -2.390417E+01             1.349216E+02
                   1.2600            -2.376021E-03            -2.390211E+01             1.573081E+02
                   1.4400            -2.715363E-03            -2.389972E+01             1.796902E+02
                   1.6200            -3.054668E-03            -2.389702E+01             2.020679E+02
                   1.8000            -3.393932E-03            -2.389400E+01             2.244396E+02
                   1.9800            -3.733152E-03            -2.389066E+01             2.468072E+02
                   2.1600            -4.072322E-03            -2.388701E+01             2.691683E+02
                   2.3400            -4.411437E-03            -2.388304E+01             2.915234E+02
                   2.5200            -4.750494E-03            -2.387875E+01             3.138713E+02
                   2.7000            -5.089488E-03            -2.387414E+01             3.362115E+02
                   2.8800            -5.428414E-03            -2.386921E+01             3.585439E+02
                   3.0600            -5.767269E-03            -2.386397E+01             3.808674E+02
                   3.2400            -6.106046E-03            -2.385842E+01             4.031817E+02
                   3.4200            -6.444742E-03            -2.385254E+01             4.254866E+02
                   3.6000            -6.783353E-03            -2.384635E+01             4.477812E+02
                   3.7800            -7.121873E-03            -2.383984E+01             4.700649E+02
                   3.9600            -7.460299E-03            -2.383302E+01             4.923375E+02
                   4.1400            -7.798626E-03            -2.382588E+01             5.145982E+02
                   4.3200            -8.136849E-03            -2.381842E+01             5.368466E+02
                   4.5000            -8.474964E-03            -2.381065E+01             5.590820E+02
                   4.6800            -8.812966E-03            -2.380256E+01             5.813041E+02
                   4.8600            -9.150851E-03            -2.379416E+01             6.035122E+02
                   5.0400            -9.488615E-03            -2.378544E+01             6.257060E+02
                   5.2200            -9.826253E-03            -2.377641E+01             6.478846E+02
                   5.4000            -1.016376E-02            -2.376706E+01             6.700479E+02
                   5.5800            -1.050113E-02            -2.375740E+01             6.921949E+02
                   5.7600            -1.083836E-02            -2.374742E+01             7.143256E+02
                   5.9400            -1.117545E-02            -2.373713E+01             7.364390E+02
                   6.1200            -1.151239E-02            -2.372652E+01             7.585349E+02
                   6.3000            -1.184918E-02            -2.371560E+01             7.806127E+02
                   6.4800            -1.218581E-02            -2.370437E+01             8.026717E+02
                   6.6600            -1.252228E-02            -2.369283E+01             8.247117E+02
                   6.8400            -1.285858E-02            -2.368097E+01             8.467318E+02
                   7.0200            -1.319472E-02            -2.366880E+01             8.687318E+02
                   7.2000            -1.353067E-02            -2.365632E+01             8.907110E+02
