                             Degree                         Volume[m3]                    I.Pressure[kPa]                   I.Temperature[K]                         I.Mass[kg]
                             0.0000                       5.000000E-08                       1.010200E+02                       3.038646E+02                       5.792443E-08
                             0.1800                       5.005066E-08                       1.010200E+02                       3.038646E+02                       5.798312E-08
                             0.3600                       5.009648E-08                       1.010200E+02                       3.038646E+02                       5.803619E-08
                             0.5400                       5.013763E-08                       1.010200E+02                       3.038646E+02                       5.808387E-08
                             0.7200                       5.017429E-08                       1.010200E+02                       3.038646E+02                       5.812635E-08
                             0.9000                       5.020665E-08                       1.010200E+02                       3.038646E+02                       5.816384E-08
                             1.0800                       5.023489E-08                       1.010200E+02                       3.038646E+02                       5.819655E-08
                             1.2600                       5.025918E-08                       1.010200E+02                       3.038646E+02                       5.822468E-08
                             1.4400                       5.027970E-08                       1.010200E+02                       3.038646E+02                       5.824845E-08
                             1.6200                       5.029663E-08                       1.010200E+02                       3.038646E+02                       5.826807E-08
                             1.8000                       5.031015E-08                       1.010200E+02                       3.038646E+02                       5.828374E-08
                             1.9800                       5.032045E-08                       1.010200E+02                       3.038646E+02                       5.829566E-08
                             2.1600                       5.032769E-08                       1.010200E+02                       3.038646E+02                       5.830406E-08
                             2.3400                       5.033207E-08                       1.010200E+02                       3.038646E+02                       5.830912E-08
                             2.5200                       5.033375E-08                       1.010200E+02                       3.038646E+02                       5.831108E-08
                             2.7000                       5.033292E-08                       1.010200E+02                       3.038646E+02                       5.831012E-08
                             2.8800                       5.032977E-08                       1.010200E+02                       3.038646E+02                       5.830646E-08
                             3.0600                       5.032446E-08                       1.010200E+02                       3.038646E+02                       5.830031E-08
                             3.2400                       5.031718E-08                       1.010200E+02                       3.038646E+02                       5.829188E-08
                             3.4200                       5.030811E-08                       1.010200E+02                       3.038646E+02                       5.828137E-08
                             3.6000                       5.029743E-08                       1.010200E+02                       3.038646E+02                       5.826900E-08
                             3.7800                       5.028532E-08                       1.010200E+02                       3.038646E+02                       5.825497E-08
                             3.9600                       5.027195E-08                       1.010200E+02                       3.038646E+02                       5.823948E-08
                             4.1400                       5.025752E-08                       1.010200E+02                       3.038646E+02                       5.822276E-08
                             4.3200                       5.024219E-08                       1.010200E+02                       3.038646E+02                       5.820500E-08
                             4.5000                       5.022615E-08                       1.010200E+02                       3.038646E+02                       5.818642E-08
                             4.6800                       5.020957E-08                       1.010200E+02                       3.038646E+02                       5.816722E-08
                             4.8600                       5.019265E-08                       1.010200E+02                       3.038646E+02                       5.814761E-08
                             5.0400                       5.017555E-08                       1.010200E+02                       3.038646E+02                       5.812780E-08
                             5.2200                       5.015845E-08                       1.010200E+02                       3.038646E+02                       5.810800E-08
                             5.4000                       5.014155E-08                       1.010200E+02                       3.038646E+02                       5.808841E-08
                             5.5800                       5.012501E-08                       1.010200E+02                       3.038646E+02                       5.806925E-08
                             5.7600                       5.010902E-08                       1.010200E+02                       3.038646E+02                       5.805073E-08
                             5.9400                       5.009376E-08                       1.010200E+02                       3.038646E+02                       5.803304E-08
                             6.1200                       5.007940E-08                       1.010200E+02                       3.038646E+02                       5.801641E-08
                             6.3000                       5.006612E-08                       1.010200E+02                       3.038646E+02                       5.800103E-08
                             6.4800                       5.005412E-08                       1.010200E+02                       3.038646E+02                       5.798712E-08
                             6.6600                       5.004355E-08                       1.010200E+02                       3.038646E+02                       5.797489E-08
                             6.8400                       5.003462E-08                       1.010200E+02                       3.038646E+02                       5.796453E-08
                             7.0200                       5.002748E-08                       1.010200E+02                       3.038646E+02                       5.795627E-08
                             7.2000                       5.002233E-08                       1.010200E+02                       3.038646E+02                       5.795030E-08
                             7.3800                       5.001935E-08                       1.010200E+02                       3.038646E+02                       5.794685E-08
                             7.5600                       5.001871E-08                       1.010200E+02                       3.038646E+02                       5.794610E-08
                             7.7400                       5.002059E-08                       1.010200E+02                       3.038646E+02                       5.794828E-08
                             7.9200                       5.002517E-08                       1.010200E+02                       3.038646E+02                       5.795359E-08
                             8.1000                       5.003263E-08                       1.010200E+02                       3.038646E+02                       5.796224E-08
                             8.2800                       5.004316E-08                       1.010200E+02                       3.038646E+02                       5.797443E-08
                             8.4600                       5.005692E-08                       1.010200E+02                       3.038646E+02                       5.799037E-08
                             8.6400                       5.007411E-08                       1.010200E+02                       3.038646E+02                       5.801028E-08
                             8.8200                       5.009489E-08                       1.010200E+02                       3.038646E+02                       5.803436E-08
                             9.0000                       5.011945E-08                       1.010200E+02                       3.038646E+02                       5.806281E-08
                             9.1800                       5.014796E-08                       1.010200E+02                       3.038646E+02                       5.809584E-08
                             9.3600                       5.018061E-08                       1.010200E+02                       3.038646E+02                       5.813366E-08
                             9.5400                       5.021757E-08                       1.010200E+02                       3.038646E+02                       5.817649E-08
                             9.7200                       5.025903E-08                       1.010200E+02                       3.038646E+02                       5.822451E-08
                             9.9000                       5.030516E-08                       1.010200E+02                       3.038646E+02                       5.827795E-08
                            10.0800                       5.035613E-08                       1.010200E+02                       3.038646E+02                       5.833700E-08
                            10.2600                       5.041214E-08                       1.010200E+02                       3.038646E+02                       5.840188E-08
                            10.4400                       5.047335E-08                       1.010200E+02                       3.038646E+02                       5.847280E-08
                            10.6200                       5.053994E-08                       1.010200E+02                       3.038646E+02                       5.854995E-08
                            10.8000                       5.061210E-08                       1.010200E+02                       3.038646E+02                       5.863354E-08
                            10.9800                       5.069000E-08                       1.010200E+02                       3.038646E+02                       5.872379E-08
                            11.1600                       5.077382E-08                       1.010200E+02                       3.038646E+02                       5.882089E-08
                            11.3400                       5.086374E-08                       1.010200E+02                       3.038646E+02                       5.892506E-08
                            11.5200                       5.095993E-08                       1.010200E+02                       3.038646E+02                       5.903650E-08
                            11.7000                       5.106258E-08                       1.010200E+02                       3.038646E+02                       5.915541E-08
                            11.8800                       5.117185E-08                       1.010200E+02                       3.038646E+02                       5.928200E-08
                            12.0600                       5.128793E-08                       1.010200E+02                       3.038646E+02                       5.941648E-08
                            12.2400                       5.141100E-08                       1.010200E+02                       3.038646E+02                       5.955906E-08
                            12.4200                       5.154123E-08                       1.010200E+02                       3.038646E+02                       5.970993E-08
                            12.6000                       5.167880E-08                       1.010200E+02                       3.038646E+02                       5.986930E-08
                            12.7800                       5.182389E-08                       1.010200E+02                       3.038646E+02                       6.003738E-08
                            12.9600                       5.197667E-08                       1.010200E+02                       3.038646E+02                       6.021437E-08
                            13.1400                       5.213732E-08                       1.010200E+02                       3.038646E+02                       6.040049E-08
                            13.3200                       5.230601E-08                       1.010200E+02                       3.038646E+02                       6.059592E-08
                            13.5000                       5.248293E-08                       1.010200E+02                       3.038646E+02                       6.080088E-08
                            13.6800                       5.266825E-08                       1.010200E+02                       3.038646E+02                       6.101557E-08
                            13.8600                       5.286215E-08                       1.010200E+02                       3.038646E+02                       6.124019E-08
                            14.0400                       5.306479E-08                       1.010200E+02                       3.038646E+02                       6.147496E-08
                            14.2200                       5.327637E-08                       1.010200E+02                       3.038646E+02                       6.172006E-08
                            14.4000                       5.349705E-08                       1.010200E+02                       3.038646E+02                       6.197572E-08
                            14.5800                       5.372700E-08                       1.010200E+02                       3.038646E+02                       6.224212E-08
                            14.7600                       5.396642E-08                       1.010200E+02                       3.038646E+02                       6.251948E-08
                            14.9400                       5.421546E-08                       1.010200E+02                       3.038646E+02                       6.280799E-08
                            15.1200                       5.447431E-08                       1.010200E+02                       3.038646E+02                       6.310786E-08
                            15.3000                       5.474313E-08                       1.010200E+02                       3.038646E+02                       6.341930E-08
                            15.4800                       5.502212E-08                       1.010200E+02                       3.038646E+02                       6.374249E-08
                            15.6600                       5.531143E-08                       1.010200E+02                       3.038646E+02                       6.407766E-08
                            15.8400                       5.561124E-08                       1.010200E+02                       3.038646E+02                       6.442499E-08
                            16.0200                       5.592174E-08                       1.010200E+02                       3.038646E+02                       6.478470E-08
                            16.2000                       5.624309E-08                       1.010200E+02                       3.038646E+02                       6.515697E-08
                            16.3800                       5.657546E-08                       1.010200E+02                       3.038646E+02                       6.554203E-08
                            16.5600                       5.691904E-08                       1.010200E+02                       3.038646E+02                       6.594005E-08
                            16.7400                       5.727398E-08                       1.010200E+02                       3.038646E+02                       6.635126E-08
                            16.9200                       5.764048E-08                       1.010200E+02                       3.038646E+02                       6.677584E-08
                            17.1000                       5.801870E-08                       1.010200E+02                       3.038646E+02                       6.721400E-08
                            17.2800                       5.840881E-08                       1.010200E+02                       3.038646E+02                       6.766594E-08
                            17.4600                       5.881099E-08                       1.010200E+02                       3.038646E+02                       6.813186E-08
                            17.6400                       5.922540E-08                       1.010200E+02                       3.038646E+02                       6.861195E-08
                            17.8200                       5.965223E-08                       1.010200E+02                       3.038646E+02                       6.910643E-08
                            18.0000                       6.009165E-08                       1.010200E+02                       3.038646E+02                       6.961549E-08
                            18.1800                       6.054382E-08                       1.010200E+02                       3.038646E+02                       7.013932E-08
                            18.3600                       6.100891E-08                       1.010200E+02                       3.038646E+02                       7.067813E-08
                            18.5400                       6.148711E-08                       1.010200E+02                       3.038646E+02                       7.123212E-08
                            18.7200                       6.197858E-08                       1.010200E+02                       3.038646E+02                       7.180148E-08
                            18.9000                       6.248349E-08                       1.010200E+02                       3.038646E+02                       7.238641E-08
                            19.0800                       6.300202E-08                       1.010200E+02                       3.038646E+02                       7.298712E-08
                            19.2600                       6.353433E-08                       1.010200E+02                       3.038646E+02                       7.360379E-08
                            19.4400                       6.408059E-08                       1.010200E+02                       3.038646E+02                       7.423664E-08
                            19.6200                       6.464098E-08                       1.010200E+02                       3.038646E+02                       7.488584E-08
                            19.8000                       6.521567E-08                       1.010200E+02                       3.038646E+02                       7.555161E-08
                            19.9800                       6.580482E-08                       1.010200E+02                       3.038646E+02                       7.623414E-08
                            20.1600                       6.640861E-08                       1.010200E+02                       3.038646E+02                       7.693362E-08
                            20.3400                       6.702720E-08                       1.010200E+02                       3.038646E+02                       7.765025E-08
                            20.5200                       6.766077E-08                       1.010200E+02                       3.038646E+02                       7.838423E-08
                            20.7000                       6.830948E-08                       1.010200E+02                       3.038646E+02                       7.913575E-08
                            20.8800                       6.897350E-08                       1.010200E+02                       3.038646E+02                       7.990501E-08
                            21.0600                       6.965300E-08                       1.010200E+02                       3.038646E+02                       8.069221E-08
                            21.2400                       7.034816E-08                       1.010200E+02                       3.038646E+02                       8.149754E-08
                            21.4200                       7.105912E-08                       1.010200E+02                       3.038646E+02                       8.232118E-08
                            21.6000                       7.178608E-08                       1.010200E+02                       3.038646E+02                       8.316335E-08
                            21.7800                       7.252918E-08                       1.010200E+02                       3.038646E+02                       8.402423E-08
                            21.9600                       7.328861E-08                       1.010200E+02                       3.038646E+02                       8.490402E-08
                            22.1400                       7.406452E-08                       1.010200E+02                       3.038646E+02                       8.580290E-08
                            22.3200                       7.485709E-08                       1.010200E+02                       3.038646E+02                       8.672108E-08
                            22.5000                       7.566647E-08                       1.010200E+02                       3.038646E+02                       8.765874E-08
                            22.6800                       7.649284E-08                       1.010200E+02                       3.038646E+02                       8.861609E-08
                            22.8600                       7.733637E-08                       1.010200E+02                       3.038646E+02                       8.959330E-08
                            23.0400                       7.819721E-08                       1.010200E+02                       3.038646E+02                       9.059058E-08
                            23.2200                       7.907554E-08                       1.010200E+02                       3.038646E+02                       9.160811E-08
                            23.4000                       7.997151E-08                       1.010200E+02                       3.038646E+02                       9.264608E-08
                            23.5800                       8.088530E-08                       1.010200E+02                       3.038646E+02                       9.370470E-08
                            23.7600                       8.181707E-08                       1.010200E+02                       3.038646E+02                       9.478414E-08
                            23.9400                       8.276698E-08                       1.010200E+02                       3.038646E+02                       9.588460E-08
                            24.1200                       8.373520E-08                       1.010200E+02                       3.038646E+02                       9.700627E-08
                            24.3000                       8.472189E-08                       1.010200E+02                       3.038646E+02                       9.814934E-08
                            24.4800                       8.572722E-08                       1.010200E+02                       3.038646E+02                       9.931400E-08
                            24.6600                       8.675134E-08                       1.010200E+02                       3.038646E+02                       1.005004E-07
                            24.8400                       8.779442E-08                       1.010200E+02                       3.038646E+02                       1.017088E-07
                            25.0200                       8.885663E-08                       1.010200E+02                       3.038646E+02                       1.029394E-07
                            25.2000                       8.993812E-08                       1.010200E+02                       3.038646E+02                       1.041923E-07
                            25.3800                       9.103906E-08                       1.010200E+02                       3.038646E+02                       1.054677E-07
                            25.5600                       9.215962E-08                       1.010200E+02                       3.038646E+02                       1.067659E-07
                            25.7400                       9.329994E-08                       1.010200E+02                       3.038646E+02                       1.080869E-07
                            25.9200                       9.446020E-08                       1.010200E+02                       3.038646E+02                       1.094311E-07
                            26.1000                       9.564055E-08                       1.010200E+02                       3.038646E+02                       1.107985E-07
                            26.2800                       9.684115E-08                       1.010200E+02                       3.038646E+02                       1.121894E-07
                            26.4600                       9.806217E-08                       1.010200E+02                       3.038646E+02                       1.136039E-07
                            26.6400                       9.930377E-08                       1.010200E+02                       3.038646E+02                       1.150423E-07
                            26.8200                       1.005661E-07                       1.010200E+02                       3.038646E+02                       1.165047E-07
                            27.0000                       1.018493E-07                       1.010200E+02                       3.038646E+02                       1.179913E-07
                            27.1800                       1.031536E-07                       1.010200E+02                       3.038646E+02                       1.195023E-07
                            27.3600                       1.044791E-07                       1.010200E+02                       3.038646E+02                       1.210378E-07
                            27.5400                       1.058259E-07                       1.010200E+02                       3.038646E+02                       1.225982E-07
                            27.7200                       1.071943E-07                       1.010200E+02                       3.038646E+02                       1.241834E-07
                            27.9000                       1.085844E-07                       1.010200E+02                       3.038646E+02                       1.257938E-07
                            28.0800                       1.099963E-07                       1.010200E+02                       3.038646E+02                       1.274295E-07
                            28.2600                       1.114302E-07                       1.010200E+02                       3.038646E+02                       1.290907E-07
                            28.4400                       1.128863E-07                       1.010200E+02                       3.038646E+02                       1.307775E-07
                            28.6200                       1.143647E-07                       1.010200E+02                       3.038646E+02                       1.324902E-07
                            28.8000                       1.158656E-07                       1.010200E+02                       3.038646E+02                       1.342290E-07
