                   Degree          h_min[micron-m]               p_max[MPa]           Q_martin[cc/s]                    Eccen        Att.Angle[degree]
                  11.7000             2.374979E+01             4.949041E-02             2.115420E-01             5.000043E-01            -2.435978E-01
                  11.8800             2.374979E+01             4.990698E-02             2.117659E-01             5.000044E-01            -2.459051E-01
                  12.0600             2.374979E+01             5.032533E-02             2.119868E-01             5.000044E-01            -2.478576E-01
                  12.2400             2.374979E+01             5.074561E-02             2.122045E-01             5.000045E-01            -2.494537E-01
                  12.4200             2.374979E+01             5.116744E-02             2.124185E-01             5.000045E-01            -2.506926E-01
                  12.6000             2.374978E+01             5.159088E-02             2.126287E-01             5.000045E-01            -2.515736E-01
                  12.7800             2.374978E+01             5.201563E-02             2.128346E-01             5.000046E-01            -2.520966E-01
                  12.9600             2.374978E+01             5.244171E-02             2.130361E-01             5.000046E-01            -2.522621E-01
                  13.1400             2.374978E+01             5.286908E-02             2.132329E-01             5.000046E-01            -2.520714E-01
                  13.3200             2.374978E+01             5.329759E-02             2.134249E-01             5.000047E-01            -2.515258E-01
                  13.5000             2.374978E+01             5.372700E-02             2.136118E-01             5.000047E-01            -2.506274E-01
                  13.6800             2.374977E+01             5.415748E-02             2.137937E-01             5.000048E-01            -2.493786E-01
                  13.8600             2.374977E+01             5.458868E-02             2.139703E-01             5.000048E-01            -2.477831E-01
                  14.0400             2.374977E+01             5.502090E-02             2.141418E-01             5.000048E-01            -2.458440E-01
                  14.2200             2.374977E+01             5.545373E-02             2.143081E-01             5.000049E-01            -2.435657E-01
                  14.4000             2.374977E+01             5.588720E-02             2.144691E-01             5.000049E-01            -2.409530E-01
                  14.5800             2.374977E+01             5.632124E-02             2.146252E-01             5.000049E-01            -2.380112E-01
                  14.7600             2.374976E+01             5.675569E-02             2.147762E-01             5.000050E-01            -2.347456E-01
                  14.9400             2.374976E+01             5.719099E-02             2.149225E-01             5.000050E-01            -2.311630E-01
                  15.1200             2.374976E+01             5.762642E-02             2.150642E-01             5.000051E-01            -2.272696E-01
                  15.3000             2.374976E+01             5.806257E-02             2.152016E-01             5.000051E-01            -2.230729E-01
                  15.4800             2.374976E+01             5.849893E-02             2.153349E-01             5.000051E-01            -2.185800E-01
                  15.6600             2.374975E+01             5.893565E-02             2.154645E-01             5.000052E-01            -2.137991E-01
                  15.8400             2.374975E+01             5.937278E-02             2.155906E-01             5.000052E-01            -2.087387E-01
                  16.0200             2.374975E+01             5.981028E-02             2.157136E-01             5.000053E-01            -2.034069E-01
                  16.2000             2.374975E+01             6.024805E-02             2.158340E-01             5.000053E-01            -1.978136E-01
                  16.3800             2.374975E+01             6.068600E-02             2.159522E-01             5.000053E-01            -1.919675E-01
                  16.5600             2.374974E+01             6.112467E-02             2.160685E-01             5.000054E-01            -1.858788E-01
                  16.7400             2.374974E+01             6.156334E-02             2.161834E-01             5.000054E-01            -1.795569E-01
                  16.9200             2.374974E+01             6.200259E-02             2.162975E-01             5.000055E-01            -1.730122E-01
                  17.1000             2.374967E+01             6.304845E-02             2.199937E-01             5.000069E-01            -3.328162E-01
                  17.2800             2.374967E+01             6.347161E-02             2.199856E-01             5.000069E-01            -3.241171E-01
                  17.4600             2.374967E+01             6.389414E-02             2.199740E-01             5.000070E-01            -3.151790E-01
                  17.6400             2.374967E+01             6.431657E-02             2.199600E-01             5.000070E-01            -3.060152E-01
                  17.8200             2.374966E+01             6.473838E-02             2.199444E-01             5.000071E-01            -2.966389E-01
                  18.0000             2.374966E+01             6.515987E-02             2.199280E-01             5.000071E-01            -2.870645E-01
                  18.1800             2.374966E+01             6.558105E-02             2.199118E-01             5.000072E-01            -2.773048E-01
                  18.3600             2.374966E+01             6.600231E-02             2.198966E-01             5.000072E-01            -2.673744E-01
                  18.5400             2.374966E+01             6.642340E-02             2.198834E-01             5.000073E-01            -2.572862E-01
                  18.7200             2.374965E+01             6.684449E-02             2.198728E-01             5.000073E-01            -2.470538E-01
                  18.9000             2.374965E+01             6.726574E-02             2.198657E-01             5.000074E-01            -2.366910E-01
                  19.0800             2.374965E+01             6.768720E-02             2.198630E-01             5.000074E-01            -2.262110E-01
                  19.2600             2.374965E+01             6.810892E-02             2.198653E-01             5.000075E-01            -2.156274E-01
                  19.4400             2.374964E+01             6.853099E-02             2.198733E-01             5.000075E-01            -2.049518E-01
                  19.6200             2.374964E+01             6.895393E-02             2.198878E-01             5.000076E-01            -1.941983E-01
                  19.8000             2.374964E+01             6.937717E-02             2.199093E-01             5.000076E-01            -1.833791E-01
                  19.9800             2.374964E+01             6.980125E-02             2.199385E-01             5.000077E-01            -1.725062E-01
                  20.1600             2.374963E+01             7.022598E-02             2.199758E-01             5.000077E-01            -1.615916E-01
                  20.3400             2.374963E+01             7.065171E-02             2.200219E-01             5.000077E-01            -1.506471E-01
                  20.5200             2.374963E+01             7.107800E-02             2.200772E-01             5.000078E-01            -1.396835E-01
                  20.7000             2.374963E+01             7.150576E-02             2.201421E-01             5.000078E-01            -1.287126E-01
                  20.8800             2.374955E+01             7.232985E-02             2.224732E-01             5.000095E-01            -2.412910E-01
                  21.0600             2.374955E+01             7.273150E-02             2.223829E-01             5.000095E-01            -2.281448E-01
                  21.2400             2.374954E+01             7.313418E-02             2.223069E-01             5.000096E-01            -2.150268E-01
                  21.4200             2.374954E+01             7.353794E-02             2.222453E-01             5.000096E-01            -2.019479E-01
                  21.6000             2.374954E+01             7.394295E-02             2.221988E-01             5.000097E-01            -1.889188E-01
                  21.7800             2.374954E+01             7.434974E-02             2.221675E-01             5.000098E-01            -1.759498E-01
                  21.9600             2.374953E+01             7.475778E-02             2.221517E-01             5.000098E-01            -1.630517E-01
                  22.1400             2.374953E+01             7.516731E-02             2.221517E-01             5.000099E-01            -1.502333E-01
                  22.3200             2.374953E+01             7.557879E-02             2.221675E-01             5.000099E-01            -1.375033E-01
                  22.5000             2.374953E+01             7.599161E-02             2.221993E-01             5.000100E-01            -1.248711E-01
                  22.6800             2.374952E+01             7.640632E-02             2.222471E-01             5.000100E-01            -1.123443E-01
                  22.8600             2.374944E+01             7.711403E-02             2.239583E-01             5.000118E-01            -1.999159E-01
                  23.0400             2.374944E+01             7.750397E-02             2.238696E-01             5.000119E-01            -1.855728E-01
                  23.2200             2.374943E+01             7.789622E-02             2.238025E-01             5.000119E-01            -1.713772E-01
                  23.4000             2.374943E+01             7.829086E-02             2.237570E-01             5.000120E-01            -1.573358E-01
                  23.5800             2.374943E+01             7.868774E-02             2.237327E-01             5.000120E-01            -1.434561E-01
                  23.7600             2.374943E+01             7.908687E-02             2.237295E-01             5.000121E-01            -1.297443E-01
                  23.9400             2.374942E+01             7.948820E-02             2.237470E-01             5.000122E-01            -1.162049E-01
                  24.1200             2.374942E+01             7.989172E-02             2.237849E-01             5.000122E-01            -1.028436E-01
                  24.3000             2.374942E+01             8.029797E-02             2.238429E-01             5.000123E-01            -8.966485E-02
                  24.4800             2.374933E+01             8.090771E-02             2.250510E-01             5.000141E-01            -1.590521E-01
                  24.6600             2.374933E+01             8.129241E-02             2.249995E-01             5.000142E-01            -1.444222E-01
                  24.8400             2.374932E+01             8.168020E-02             2.249732E-01             5.000143E-01            -1.300132E-01
                  25.0200             2.374932E+01             8.207084E-02             2.249715E-01             5.000143E-01            -1.158292E-01
                  25.2000             2.374932E+01             8.246422E-02             2.249936E-01             5.000144E-01            -1.018719E-01
                  25.3800             2.374931E+01             8.286028E-02             2.250389E-01             5.000144E-01            -8.814473E-02
                  25.5600             2.374931E+01             8.325889E-02             2.251068E-01             5.000145E-01            -7.464916E-02
                  25.7400             2.374922E+01             8.380748E-02             2.260187E-01             5.000164E-01            -1.315568E-01
                  25.9200             2.374922E+01             8.418848E-02             2.259989E-01             5.000165E-01            -1.168998E-01
                  26.1000             2.374921E+01             8.457254E-02             2.260058E-01             5.000166E-01            -1.025069E-01
                  26.2800             2.374921E+01             8.495968E-02             2.260385E-01             5.000166E-01            -8.837875E-02
                  26.4600             2.374921E+01             8.534988E-02             2.260961E-01             5.000167E-01            -7.451524E-02
                  26.6400             2.374911E+01             8.587120E-02             2.268954E-01             5.000187E-01            -1.232382E-01
                  26.8200             2.374911E+01             8.624559E-02             2.268788E-01             5.000188E-01            -1.084211E-01
                  27.0000             2.374910E+01             8.662407E-02             2.268907E-01             5.000189E-01            -9.389631E-02
                  27.1800             2.374910E+01             8.700569E-02             2.269299E-01             5.000189E-01            -7.966267E-02
                  27.3600             2.374910E+01             8.739045E-02             2.269951E-01             5.000190E-01            -6.571765E-02
                  27.5400             2.374900E+01             8.787915E-02             2.276507E-01             5.000210E-01            -1.072637E-01
                  27.7200             2.374900E+01             8.825068E-02             2.276562E-01             5.000211E-01            -9.255398E-02
                  27.9000             2.374899E+01             8.862567E-02             2.276904E-01             5.000212E-01            -7.815510E-02
                  28.0800             2.374899E+01             8.900449E-02             2.277520E-01             5.000213E-01            -6.406346E-02
                  28.2600             2.374899E+01             8.938642E-02             2.278399E-01             5.000213E-01            -5.027706E-02
                  28.4400             2.374889E+01             8.984179E-02             2.283468E-01             5.000234E-01            -8.558932E-02
                  28.6200             2.374888E+01             9.021248E-02             2.283884E-01             5.000235E-01            -7.120315E-02
                  28.8000             2.374888E+01             9.058715E-02             2.284579E-01             5.000236E-01            -5.713774E-02
                  28.9800             2.374878E+01             9.103644E-02             2.289550E-01             5.000257E-01            -8.866871E-02
                  29.1600             2.374877E+01             9.140131E-02             2.289851E-01             5.000258E-01            -7.411293E-02
                  29.3400             2.374877E+01             9.176967E-02             2.290444E-01             5.000259E-01            -5.988989E-02
                  29.5200             2.374877E+01             9.214157E-02             2.291314E-01             5.000260E-01            -4.599572E-02
                  29.7000             2.374866E+01             9.256983E-02             2.295412E-01             5.000281E-01            -7.337776E-02
                  29.8800             2.374866E+01             9.293378E-02             2.295978E-01             5.000282E-01            -5.910516E-02
                  30.0600             2.374866E+01             9.330143E-02             2.296828E-01             5.000283E-01            -4.516907E-02
                  30.2400             2.374855E+01             9.371980E-02             2.300612E-01             5.000305E-01            -6.953022E-02
                  30.4200             2.374855E+01             9.408020E-02             2.301220E-01             5.000306E-01            -5.530151E-02
                  30.6000             2.374854E+01             9.444423E-02             2.302114E-01             5.000307E-01            -4.141468E-02
                  30.7800             2.374844E+01             9.485198E-02             2.305530E-01             5.000329E-01            -6.305170E-02
                  30.9600             2.374843E+01             9.521018E-02             2.306239E-01             5.000330E-01            -4.894821E-02
                  31.1400             2.374843E+01             9.557191E-02             2.307232E-01             5.000331E-01            -3.518956E-02
                  31.3200             2.374832E+01             9.596825E-02             2.310265E-01             5.000353E-01            -5.437560E-02
                  31.5000             2.374832E+01             9.632503E-02             2.311124E-01             5.000354E-01            -4.046690E-02
                  31.6800             2.374821E+01             9.671889E-02             2.314154E-01             5.000377E-01            -5.789334E-02
                  31.8600             2.374820E+01             9.707103E-02             2.314917E-01             5.000378E-01            -4.388756E-02
                  32.0400             2.374820E+01             9.742683E-02             2.315965E-01             5.000379E-01            -3.023104E-02
                  32.2200             2.374809E+01             9.780917E-02             2.318593E-01             5.000402E-01            -4.563117E-02
                  32.4000             2.374809E+01             9.816119E-02             2.319586E-01             5.000403E-01            -3.192935E-02
                  32.5800             2.374797E+01             9.853989E-02             2.322148E-01             5.000426E-01            -4.586318E-02
                  32.7600             2.374797E+01             9.888877E-02             2.323117E-01             5.000427E-01            -3.215829E-02
                  32.9400             2.374786E+01             9.926286E-02             2.325587E-01             5.000451E-01            -4.473761E-02
                  33.1200             2.374785E+01             9.960917E-02             2.326561E-01             5.000452E-01            -3.106770E-02
                  33.3000             2.374774E+01             9.997858E-02             2.328924E-01             5.000476E-01            -4.239754E-02
                  33.4800             2.374774E+01             1.003227E-01             2.329930E-01             5.000477E-01            -2.879746E-02
                  33.6600             2.374762E+01             1.006874E-01             2.332177E-01             5.000501E-01            -3.897505E-02
                  33.8400             2.374762E+01             1.010297E-01             2.333238E-01             5.000502E-01            -2.547360E-02
                  34.0200             2.374750E+01             1.013895E-01             2.335368E-01             5.000526E-01            -3.459088E-02
                  34.2000             2.374739E+01             1.017490E-01             2.337571E-01             5.000550E-01            -4.293115E-02
                  34.3800             2.374738E+01             1.020852E-01             2.338521E-01             5.000551E-01            -2.935632E-02
                  34.5600             2.374727E+01             1.024402E-01             2.340594E-01             5.000575E-01            -3.677424E-02
                  34.7400             2.374726E+01             1.027757E-01             2.341660E-01             5.000577E-01            -2.337462E-02
                  34.9200             2.374714E+01             1.031255E-01             2.343614E-01             5.000601E-01            -2.994435E-02
                  35.1000             2.374703E+01             1.034741E-01             2.345594E-01             5.000626E-01            -3.587297E-02
                  35.2800             2.374702E+01             1.038055E-01             2.346655E-01             5.000627E-01            -2.252995E-02
                  35.4600             2.374690E+01             1.041499E-01             2.348522E-01             5.000652E-01            -2.772630E-02
                  35.6400             2.374679E+01             1.044929E-01             2.350398E-01             5.000677E-01            -3.235356E-02
                  35.8200             2.374678E+01             1.048209E-01             2.351510E-01             5.000678E-01            -1.913626E-02
                  36.0000             2.374666E+01             1.051594E-01             2.353287E-01             5.000703E-01            -2.313303E-02
                  36.1800             2.374654E+01             1.054960E-01             2.355062E-01             5.000728E-01            -2.662665E-02
                  36.3600             2.374642E+01             1.058319E-01             2.356828E-01             5.000754E-01            -2.963897E-02
