                   Degree              Press.Ratio   Mass_leak_rad_ro[kg/s]      Mass_leak_vef[kg/s]       Mass_leak_vs[kg/s]      Mass_leak_ref[kg/s]    Mass_leak_total[kg/s]
                   0.0000             1.005108E+00             1.167037E-05             7.560994E-06             0.000000E+00             0.000000E+00             1.923136E-05
                   0.1800             1.117890E+00             1.069000E-06             1.139624E-05             0.000000E+00             2.111061E-08             1.248635E-05
                   0.3600             1.117613E+00             5.004327E-07             1.137712E-05             0.000000E+00             4.177659E-08             1.191933E-05
                   0.5400             1.116884E+00             4.753344E-07             1.135308E-05             0.000000E+00             6.191797E-08             1.189033E-05
                   0.7200             1.116064E+00             1.351333E-07             1.132704E-05             0.000000E+00             8.161199E-08             1.154378E-05
                   0.9000             1.115305E+00             1.560310E-07             1.130340E-05             0.000000E+00             1.009813E-07             1.156042E-05
                   1.0800             1.114659E+00             1.581554E-09             1.128578E-05             0.000000E+00             1.201469E-07             1.140751E-05
                   1.2600             1.114149E+00             1.652123E-08             1.127120E-05             0.000000E+00             1.392332E-07             1.142696E-05
                   1.4400             1.113781E+00             7.119680E-08             1.126286E-05             0.000000E+00             1.583553E-07             1.149241E-05
                   1.6200             1.113556E+00             7.116943E-08             1.125757E-05             0.000000E+00             1.776222E-07             1.150636E-05
                   1.8000             1.113453E+00             7.116013E-08             1.125807E-05             0.000000E+00             1.970952E-07             1.152633E-05
                   1.9800             1.113388E+00             7.115531E-08             1.125935E-05             0.000000E+00             2.166236E-07             1.154713E-05
                   2.1600             1.113341E+00             7.115166E-08             1.125780E-05             0.000000E+00             2.361711E-07             1.156512E-05
                   2.3400             1.113311E+00             7.114917E-08             1.125973E-05             0.000000E+00             2.557476E-07             1.158662E-05
                   2.5200             1.113296E+00             7.114773E-08             1.126196E-05             0.000000E+00             2.753618E-07             1.160847E-05
                   2.7000             1.113296E+00             7.114729E-08             1.126451E-05             0.000000E+00             2.950213E-07             1.163067E-05
                   2.8800             1.113309E+00             7.114779E-08             1.126734E-05             0.000000E+00             3.147331E-07             1.165322E-05
                   3.0600             1.113336E+00             7.114915E-08             1.127047E-05             0.000000E+00             3.345027E-07             1.167612E-05
                   3.2400             1.113373E+00             7.115130E-08             1.127703E-05             0.000000E+00             3.543352E-07             1.170252E-05
                   3.4200             1.113422E+00             7.115416E-08             1.128071E-05             0.000000E+00             3.742341E-07             1.172609E-05
