                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                   0.0000             1.372795E-15             3.468473E+02             1.372795E-15             5.314336E+01             0.000000E+00             3.999907E+02             5.934400E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   0.1800             1.646600E+01             3.338243E+02             1.515929E-02             5.119339E+01             1.648116E+01             3.850177E+02             7.335613E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   0.3600             1.647885E+01             3.209118E+02             4.423936E-03             4.925544E+01             1.648327E+01             3.701672E+02             6.864440E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   0.5400             1.647489E+01             3.080094E+02             8.208631E-04             4.731404E+01             1.647571E+01             3.553234E+02             6.441520E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   0.7200             1.646126E+01             2.951168E+02             1.132997E-05             4.536938E+01             1.646127E+01             3.404862E+02             6.145428E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   0.9000             1.644264E+01             2.822338E+02             1.824041E-04             4.342160E+01             1.644282E+01             3.256554E+02             5.962309E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   1.0800             1.642209E+01             2.693600E+02             6.133480E-04             4.147085E+01             1.642270E+01             3.108309E+02             5.815682E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   1.2600             1.640151E+01             2.564954E+02             1.041205E-03             3.951733E+01             1.640255E+01             2.960127E+02             5.679497E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   1.4400             1.638217E+01             2.436400E+02             1.387682E-03             3.756127E+01             1.638356E+01             2.812013E+02             5.554103E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   1.6200             1.636483E+01             2.307941E+02             1.644346E-03             3.560288E+01             1.636648E+01             2.663970E+02             5.435218E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   1.8000             1.634995E+01             2.179578E+02             1.825242E-03             3.364241E+01             1.635178E+01             2.516002E+02             5.325901E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   1.9800             1.633777E+01             2.051315E+02             1.948586E-03             3.168009E+01             1.633971E+01             2.368116E+02             5.225382E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   2.1600             1.632838E+01             1.923156E+02             2.030526E-03             2.971619E+01             1.633041E+01             2.220318E+02             5.130352E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   2.3400             1.632178E+01             1.795105E+02             2.083630E-03             2.775101E+01             1.632386E+01             2.072615E+02             5.043528E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   2.5200             1.631792E+01             1.667171E+02             2.117109E-03             2.578485E+01             1.632003E+01             1.925020E+02             4.964660E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   2.7000             1.631669E+01             1.539363E+02             2.137472E-03             2.381806E+01             1.631883E+01             1.777544E+02             4.890502E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   2.8800             1.631796E+01             1.411695E+02             2.149228E-03             2.185105E+01             1.632011E+01             1.630205E+02             4.824234E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   3.0600             1.632160E+01             1.284183E+02             2.155468E-03             1.988430E+01             1.632375E+01             1.483026E+02             4.765459E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   3.2400             1.632743E+01             1.156852E+02             2.158274E-03             1.791836E+01             1.632959E+01             1.336035E+02             4.712691E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   3.4200             1.633529E+01             1.029735E+02             2.159063E-03             1.595398E+01             1.633745E+01             1.189275E+02             4.665851E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   3.6000             1.634501E+01             9.028811E+01             2.158769E-03             1.399208E+01             1.634717E+01             1.042802E+02             4.624870E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
                   3.7800             1.635641E+01             7.763606E+01             2.158010E-03             1.203398E+01             1.635857E+01             8.967004E+01             4.591005E-02                      NaN                      NaN                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity                 Infinity
