                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                   0.0000             0.000000E+00            -2.080940E+01            -5.673471E+00
                   0.1800            -3.394677E-04            -2.080928E+01             1.738918E+01
                   0.3600            -6.789309E-04            -2.080886E+01             3.435107E+01
                   0.5400            -1.018385E-03            -2.080817E+01             5.131495E+01
                   0.7200            -1.357826E-03            -2.080720E+01             6.827962E+01
                   0.9000            -1.697248E-03            -2.080596E+01             8.524108E+01
                   1.0800            -2.036648E-03            -2.080444E+01             1.021989E+02
                   1.2600            -2.376021E-03            -2.080264E+01             1.191559E+02
                   1.4400            -2.715363E-03            -2.080056E+01             1.361096E+02
                   1.6200            -3.054668E-03            -2.079821E+01             1.530600E+02
                   1.8000            -3.393932E-03            -2.079558E+01             1.700059E+02
                   1.9800            -3.733152E-03            -2.079268E+01             1.869487E+02
                   2.1600            -4.072322E-03            -2.078950E+01             2.038864E+02
                   2.3400            -4.411437E-03            -2.078604E+01             2.208197E+02
                   2.5200            -4.750494E-03            -2.078231E+01             2.377476E+02
                   2.7000            -5.089488E-03            -2.077830E+01             2.546696E+02
                   2.8800            -5.428414E-03            -2.077401E+01             2.715857E+02
                   3.0600            -5.767269E-03            -2.076945E+01             2.884950E+02
                   3.2400            -6.106046E-03            -2.076461E+01             3.053974E+02
                   3.4200            -6.444742E-03            -2.075950E+01             3.222926E+02
                   3.6000            -6.783353E-03            -2.075411E+01             3.391800E+02
                   3.7800            -7.121873E-03            -2.074845E+01             3.560592E+02
                   3.9600            -7.460299E-03            -2.074251E+01             3.729301E+02
                   4.1400            -7.798626E-03            -2.073629E+01             3.897918E+02
                   4.3200            -8.136849E-03            -2.072980E+01             4.066443E+02
                   4.5000            -8.474964E-03            -2.072304E+01             4.234869E+02
                   4.6800            -8.812966E-03            -2.071600E+01             4.403194E+02
                   4.8600            -9.150851E-03            -2.070869E+01             4.571414E+02
                   5.0400            -9.488615E-03            -2.070110E+01             4.739524E+02
                   5.2200            -9.826253E-03            -2.069324E+01             4.907521E+02
                   5.4000            -1.016376E-02            -2.068510E+01             5.075400E+02
                   5.5800            -1.050113E-02            -2.067669E+01             5.243157E+02
                   5.7600            -1.083836E-02            -2.066801E+01             5.410790E+02
                   5.9400            -1.117545E-02            -2.065905E+01             5.578292E+02
                   6.1200            -1.151239E-02            -2.064982E+01             5.745661E+02
                   6.3000            -1.184918E-02            -2.064032E+01             5.912894E+02
                   6.4800            -1.218581E-02            -2.063055E+01             6.079984E+02
                   6.6600            -1.252228E-02            -2.062050E+01             6.246929E+02
                   6.8400            -1.285858E-02            -2.061018E+01             6.413725E+02
                   7.0200            -1.319472E-02            -2.059959E+01             6.580368E+02
                   7.2000            -1.353067E-02            -2.058872E+01             6.746853E+02
                   7.3800            -1.386645E-02            -2.057759E+01             6.913178E+02
                   7.5600            -1.420205E-02            -2.056618E+01             7.079339E+02
                   7.7400            -1.453745E-02            -2.055450E+01             7.245330E+02
                   7.9200            -1.487266E-02            -2.054255E+01             7.411148E+02
                   8.1000            -1.520768E-02            -2.053034E+01             7.576790E+02
                   8.2800            -1.554249E-02            -2.051785E+01             7.742252E+02
                   8.4600            -1.587710E-02            -2.050509E+01             7.907529E+02
                   8.6400            -1.621150E-02            -2.049206E+01             8.072619E+02
                   8.8200            -1.654568E-02            -2.047877E+01             8.237516E+02
                   9.0000            -1.687965E-02            -2.046520E+01             8.402218E+02
                   9.1800            -1.721339E-02            -2.045137E+01             8.566720E+02
                   9.3600            -1.754690E-02            -2.043726E+01             8.731019E+02
                   9.5400            -1.788018E-02            -2.042289E+01             8.895110E+02
                   9.7200            -1.821323E-02            -2.040825E+01             9.058991E+02
                   9.9000            -1.854603E-02            -2.039335E+01             9.222656E+02
                  10.0800            -1.887859E-02            -2.037818E+01             9.386104E+02
                  10.2600            -1.921089E-02            -2.036274E+01             9.549329E+02
                  10.4400            -1.954295E-02            -2.034704E+01             9.712328E+02
                  10.6200            -1.987474E-02            -2.033107E+01             9.875098E+02
