                   Degree          P_inst_total[W]  P_inst_total_no_loss[W]              P_f_loss[W]            P_thr_loss[W]          P_inertia_ro[W]          P_inertia_vh[W]                 P_com[W]              P_bear_s[W]
                   0.0000             6.550859E+01             4.696842E-02             6.546162E+01             3.011056E+05             4.155009E-02             1.249818E-04             5.293349E-03             1.143886E+01
                   0.1800             6.565248E+01            -1.086068E-01             6.576109E+01             3.011055E+05            -1.273503E-01            -3.830667E-04             1.912661E-02             1.143422E+01
                   0.3600             6.556927E+01            -1.897631E-01             6.575904E+01             3.011055E+05            -2.515671E-01            -7.567054E-04             6.256068E-02             1.144076E+01
                   0.5400             6.548422E+01            -2.709547E-01             6.575517E+01             3.011055E+05            -3.757899E-01            -1.130358E-03             1.059656E-01             1.144581E+01
                   0.7200             6.539859E+01            -3.522606E-01             6.575085E+01             3.011055E+05            -5.000058E-01            -1.503983E-03             1.492492E-01             1.144969E+01
                   0.9000             6.531249E+01            -4.336636E-01             6.574616E+01             3.011055E+05            -6.241813E-01            -1.877478E-03             1.923951E-01             1.145221E+01
                   1.0800             6.522566E+01            -5.151535E-01             6.574082E+01             3.011055E+05            -7.483086E-01            -2.250817E-03             2.354059E-01             1.145306E+01
                   1.2600             6.513782E+01            -5.967406E-01             6.573456E+01             3.011055E+05            -8.724051E-01            -2.624051E-03             2.782886E-01             1.145198E+01
                   1.4400             6.504885E+01            -6.783927E-01             6.572724E+01             3.011055E+05            -9.964475E-01            -2.997105E-03             3.210519E-01             1.144885E+01
                   1.6200             6.495879E+01            -7.600971E-01             6.571889E+01             3.011055E+05            -1.120432E+00            -3.369969E-03             3.637048E-01             1.144373E+01
                   1.8000             6.486791E+01            -8.418308E-01             6.570975E+01             3.011055E+05            -1.244345E+00            -3.742599E-03             4.062571E-01             1.143691E+01
                   1.9800             6.477670E+01            -9.235898E-01             6.570029E+01             3.011055E+05            -1.368194E+00            -4.115011E-03             4.487188E-01             1.142889E+01
                   2.1600             6.468586E+01            -1.005346E+00             6.569121E+01             3.011055E+05            -1.491959E+00            -4.487149E-03             4.911002E-01             1.142040E+01
                   2.3400             6.459626E+01            -1.087087E+00             6.568335E+01             3.011055E+05            -1.615640E+00            -4.859010E-03             5.334120E-01             1.141231E+01
                   2.5200             6.450882E+01            -1.168793E+00             6.567761E+01             3.011055E+05            -1.739227E+00            -5.230558E-03             5.756648E-01             1.140557E+01
                   2.7000             6.446090E+01            -1.250445E+00             6.571134E+01             3.011055E+05            -1.862713E+00            -5.601769E-03             6.178690E-01             1.140108E+01
                   2.8800             6.443121E+01            -1.332031E+00             6.576324E+01             3.011055E+05            -1.986091E+00            -5.972627E-03             6.600328E-01             1.139953E+01
                   3.0600             6.440508E+01            -1.413545E+00             6.581862E+01             3.011055E+05            -2.109353E+00            -6.343098E-03             7.021512E-01             1.140132E+01
                   3.2400             6.438254E+01            -1.495026E+00             6.587756E+01             3.011055E+05            -2.232492E+00            -6.713165E-03             7.441797E-01             1.140645E+01
                   3.4200             6.436311E+01            -1.576487E+00             6.593960E+01             3.011055E+05            -2.355503E+00            -7.082807E-03             7.860989E-01             1.141440E+01
                   3.6000             6.434587E+01            -1.657922E+00             6.600379E+01             3.011055E+05            -2.478378E+00            -7.451996E-03             8.279079E-01             1.142423E+01
                   3.7800             6.432950E+01            -1.739322E+00             6.606882E+01             3.011055E+05            -2.601107E+00            -7.820708E-03             8.696061E-01             1.143467E+01
                   3.9600             6.431252E+01            -1.820684E+00             6.613321E+01             0.000000E+00            -2.723688E+00            -8.188924E-03             9.111930E-01             1.144424E+01
                   4.1400             6.429349E+01            -1.901998E+00             6.619549E+01             0.000000E+00            -2.846109E+00            -8.556616E-03             9.526677E-01             1.145148E+01
