                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                  17.1000            -3.161129E-02            -1.293806E+01             6.788304E+02
                  17.2800            -3.193054E-02            -1.292122E+01             6.854555E+02
                  17.4600            -3.224937E-02            -1.290422E+01             6.920649E+02
                  17.6400            -3.256778E-02            -1.288705E+01             6.986584E+02
                  17.8200            -3.288577E-02            -1.286972E+01             7.052359E+02
                  18.0000            -3.320332E-02            -1.285223E+01             7.117973E+02
                  18.1800            -3.352044E-02            -1.283458E+01             7.183423E+02
                  18.3600            -3.383713E-02            -1.281677E+01             7.248709E+02
                  18.5400            -3.415337E-02            -1.279879E+01             7.313830E+02
                  18.7200            -3.446916E-02            -1.278066E+01             7.378784E+02
                  18.9000            -3.478451E-02            -1.276236E+01             7.443570E+02
                  19.0800            -3.509940E-02            -1.274391E+01             7.508186E+02
                  19.2600            -3.541384E-02            -1.272529E+01             7.572631E+02
                  19.4400            -3.572781E-02            -1.270652E+01             7.636905E+02
                  19.6200            -3.604132E-02            -1.268759E+01             7.701005E+02
                  19.8000            -3.635436E-02            -1.266850E+01             7.764931E+02
                  19.9800            -3.666692E-02            -1.264925E+01             7.828680E+02
                  20.1600            -3.697901E-02            -1.262985E+01             7.892253E+02
                  20.3400            -3.729062E-02            -1.261029E+01             7.955647E+02
                  20.5200            -3.760174E-02            -1.259057E+01             8.018862E+02
                  20.7000            -3.791237E-02            -1.257069E+01             8.081896E+02
                  20.8800            -3.822251E-02            -1.255066E+01             8.144748E+02
                  21.0600            -3.853216E-02            -1.253048E+01             8.207416E+02
                  21.2400            -3.884130E-02            -1.251014E+01             8.269901E+02
                  21.4200            -3.914994E-02            -1.248965E+01             8.332199E+02
                  21.6000            -3.945807E-02            -1.246900E+01             8.394311E+02
                  21.7800            -3.976569E-02            -1.244820E+01             8.456235E+02
                  21.9600            -4.007280E-02            -1.242725E+01             8.517970E+02
                  22.1400            -4.037938E-02            -1.240615E+01             8.579515E+02
                  22.3200            -4.068545E-02            -1.238489E+01             8.640868E+02
                  22.5000            -4.099098E-02            -1.236348E+01             8.702028E+02
                  22.6800            -4.129599E-02            -1.234193E+01             8.762995E+02
                  22.8600            -4.160046E-02            -1.232022E+01             8.823767E+02
                  23.0400            -4.190439E-02            -1.229836E+01             8.884344E+02
                  23.2200            -4.220778E-02            -1.227635E+01             8.944723E+02
                  23.4000            -4.251063E-02            -1.225420E+01             9.004904E+02
                  23.5800            -4.281293E-02            -1.223189E+01             9.064886E+02
                  23.7600            -4.311467E-02            -1.220944E+01             9.124668E+02
                  23.9400            -4.341586E-02            -1.218684E+01             9.184248E+02
                  24.1200            -4.371649E-02            -1.216409E+01             9.243627E+02
                  24.3000            -4.401656E-02            -1.214120E+01             9.302801E+02
                  24.4800            -4.431605E-02            -1.211816E+01             9.361772E+02
                  24.6600            -4.461498E-02            -1.209498E+01             9.420537E+02
                  24.8400            -4.491334E-02            -1.207165E+01             9.479095E+02
                  25.0200            -4.521111E-02            -1.204817E+01             9.537446E+02
                  25.2000            -4.550831E-02            -1.202455E+01             9.595589E+02
                  25.3800            -4.580492E-02            -1.200079E+01             9.653522E+02
                  25.5600            -4.610094E-02            -1.197689E+01             9.711245E+02
                  25.7400            -4.639637E-02            -1.195284E+01             9.768756E+02
                  25.9200            -4.669120E-02            -1.192866E+01             9.826055E+02
                  26.1000            -4.698543E-02            -1.190433E+01             9.883141E+02
                  26.2800            -4.727907E-02            -1.187986E+01             9.940013E+02
                  26.4600            -4.757209E-02            -1.185525E+01             9.996669E+02
                  26.6400            -4.786451E-02            -1.183050E+01             1.005311E+03
                  26.8200            -4.815631E-02            -1.180561E+01             1.010933E+03
                  27.0000            -4.844750E-02            -1.178058E+01             1.016534E+03
                  27.1800            -4.873807E-02            -1.175542E+01             1.022113E+03
                  27.3600            -4.902802E-02            -1.173012E+01             1.027669E+03
                  27.5400            -4.931733E-02            -1.170468E+01             1.033204E+03
                  27.7200            -4.960602E-02            -1.167910E+01             1.038717E+03
                  27.9000            -4.989408E-02            -1.165339E+01             1.044207E+03
                  28.0800            -5.018150E-02            -1.162754E+01             1.049675E+03
                  28.2600            -5.046828E-02            -1.160156E+01             1.055121E+03
                  28.4400            -5.075441E-02            -1.157544E+01             1.060544E+03
                  28.6200            -5.103990E-02            -1.154919E+01             1.065944E+03
                  28.8000            -5.132474E-02            -1.152281E+01             1.071322E+03
                  28.9800            -5.160893E-02            -1.149630E+01             1.076678E+03
                  29.1600            -5.189246E-02            -1.146965E+01             1.082010E+03
                  29.3400            -5.217533E-02            -1.144287E+01             1.087320E+03
                  29.5200            -5.245754E-02            -1.141596E+01             1.092607E+03
                  29.7000            -5.273908E-02            -1.138892E+01             1.097870E+03
                  29.8800            -5.301995E-02            -1.136175E+01             1.103111E+03
                  30.0600            -5.330015E-02            -1.133445E+01             1.108328E+03
                  30.2400            -5.357968E-02            -1.130703E+01             1.113523E+03
                  30.4200            -5.385852E-02            -1.127947E+01             1.118694E+03
                  30.6000            -5.413669E-02            -1.125179E+01             1.123841E+03
                  30.7800            -5.441417E-02            -1.122398E+01             1.128965E+03
                  30.9600            -5.469096E-02            -1.119604E+01             1.134066E+03
                  31.1400            -5.496706E-02            -1.116798E+01             1.139143E+03
                  31.3200            -5.524246E-02            -1.113980E+01             1.144196E+03
                  31.5000            -5.551717E-02            -1.111149E+01             1.149226E+03
                  31.6800            -5.579118E-02            -1.108305E+01             1.154232E+03
                  31.8600            -5.606448E-02            -1.105449E+01             1.159214E+03
                  32.0400            -5.633708E-02            -1.102581E+01             1.164172E+03
                  32.2200            -5.660896E-02            -1.099701E+01             1.169106E+03
                  32.4000            -5.688014E-02            -1.096808E+01             1.174017E+03
                  32.5800            -5.715060E-02            -1.093904E+01             1.178903E+03
                  32.7600            -5.742034E-02            -1.090987E+01             1.183765E+03
                  32.9400            -5.768935E-02            -1.088059E+01             1.188603E+03
                  33.1200            -5.795765E-02            -1.085118E+01             1.193416E+03
                  33.3000            -5.822521E-02            -1.082166E+01             1.198206E+03
                  33.4800            -5.849205E-02            -1.079202E+01             1.202971E+03
                  33.6600            -5.875815E-02            -1.076226E+01             1.207711E+03
                  33.8400            -5.902352E-02            -1.073238E+01             1.212427E+03
                  34.0200            -5.928815E-02            -1.070239E+01             1.217119E+03
                  34.2000            -5.955203E-02            -1.067229E+01             1.221786E+03
                  34.3800            -5.981517E-02            -1.064206E+01             1.226428E+03
                  34.5600            -6.007756E-02            -1.061173E+01             1.231046E+03
                  34.7400            -6.033921E-02            -1.058128E+01             1.235639E+03
                  34.9200            -6.060010E-02            -1.055071E+01             1.240207E+03
                  35.1000            -6.086023E-02            -1.052004E+01             1.244751E+03
                  35.2800            -6.111960E-02            -1.048925E+01             1.249269E+03
                  35.4600            -6.137821E-02            -1.045835E+01             1.253763E+03
                  35.6400            -6.163606E-02            -1.042734E+01             1.258232E+03
