                   Degree               Volume[m3]            Pressure[kPa]           Temperature[K]        Int. Energy[J/kg]           Density[kg/m3]           Enthalpy[J/kg]          Entropy[J/kg.K]  Dyn. Viscosity[N.s/m^2]       Spec. Heat[J/kg.K]     Therm. Cond[W/(m.K)]                 Mass[kg]    Valve Deflec. mid[mm]    Valve Deflec. tip[mm]
                   4.8600             5.019265E-08             8.603991E+01             3.054135E+02             3.522689E+05             9.816435E-01             4.317797E+05             3.951750E+03             1.879506E-05             1.006351E+03             2.678065E-02             5.095421E-08             0.000000E+00             0.000000E+00
                   5.0400             5.017555E-08             8.602785E+01             3.054149E+02             3.522767E+05             9.815015E-01             4.317811E+05             3.951795E+03             1.879512E-05             1.006351E+03             2.678075E-02             5.093103E-08             0.000000E+00             0.000000E+00
                   5.2200             5.015845E-08             8.601574E+01             3.054163E+02             3.522846E+05             9.813586E-01             4.317826E+05             3.951840E+03             1.879519E-05             1.006351E+03             2.678085E-02             5.090782E-08             0.000000E+00             0.000000E+00
                   5.4000             5.014155E-08             8.600370E+01             3.054178E+02             3.522925E+05             9.812165E-01             4.317841E+05             3.951885E+03             1.879526E-05             1.006351E+03             2.678096E-02             5.088484E-08             0.000000E+00             0.000000E+00
                   5.5800             5.012501E-08             8.599187E+01             3.054193E+02             3.523003E+05             9.810767E-01             4.317856E+05             3.951930E+03             1.879533E-05             1.006351E+03             2.678107E-02             5.086231E-08             0.000000E+00             0.000000E+00
                   5.7600             5.010902E-08             8.598037E+01             3.054208E+02             3.523079E+05             9.809404E-01             4.317872E+05             3.951973E+03             1.879540E-05             1.006350E+03             2.678118E-02             5.084050E-08             0.000000E+00             0.000000E+00
                   5.9400             5.009376E-08             8.596933E+01             3.054224E+02             3.523152E+05             9.808095E-01             4.317888E+05             3.952015E+03             1.879547E-05             1.006350E+03             2.678129E-02             5.081963E-08             0.000000E+00             0.000000E+00
                   6.1200             5.007940E-08             8.595888E+01             3.054239E+02             3.523222E+05             9.806852E-01             4.317904E+05             3.952055E+03             1.879555E-05             1.006350E+03             2.678140E-02             5.079996E-08             0.000000E+00             0.000000E+00
                   6.3000             5.006612E-08             8.594915E+01             3.054255E+02             3.523287E+05             9.805693E-01             4.317919E+05             3.952093E+03             1.879562E-05             1.006350E+03             2.678151E-02             5.078172E-08             0.000000E+00             0.000000E+00
                   6.4800             5.005412E-08             8.594027E+01             3.054269E+02             3.523347E+05             9.804631E-01             4.317934E+05             3.952128E+03             1.879569E-05             1.006350E+03             2.678162E-02             5.076518E-08             0.000000E+00             0.000000E+00
                   6.6600             5.004355E-08             8.593237E+01             3.054284E+02             3.523402E+05             9.803683E-01             4.317949E+05             3.952159E+03             1.879576E-05             1.006350E+03             2.678172E-02             5.075056E-08             0.000000E+00             0.000000E+00
