                   Degree                T_ocsc[K]                T_ocdc[K]                T_rosc[K]                T_rodc[K]              T_roller[K]               T_uocsc[K]               T_locsc[K]               T_uocdc[K]               T_locdc[K]
                   0.0000             3.467681E+02             3.467681E+02             3.494851E+02             3.494851E+02             3.499233E+02             3.473961E+02             3.453595E+02             3.473961E+02             3.453595E+02
                   0.1800             3.468278E+02             3.469069E+02             3.495250E+02             3.496055E+02             3.500488E+02             3.474981E+02             3.454953E+02             3.475290E+02             3.455331E+02
                   0.3600             3.464270E+02             3.465539E+02             3.491307E+02             3.492616E+02             3.497021E+02             3.471518E+02             3.451291E+02             3.471789E+02             3.451619E+02
                   0.5400             3.462069E+02             3.463742E+02             3.489086E+02             3.490828E+02             3.495230E+02             3.469724E+02             3.449466E+02             3.469997E+02             3.449796E+02
                   0.7200             3.460568E+02             3.462607E+02             3.487535E+02             3.489674E+02             3.494079E+02             3.468564E+02             3.448330E+02             3.468857E+02             3.448688E+02
                   0.9000             3.459378E+02             3.461753E+02             3.486285E+02             3.488792E+02             3.493202E+02             3.467669E+02             3.447476E+02             3.467995E+02             3.447878E+02
                   1.0800             3.458353E+02             3.461039E+02             3.485197E+02             3.488049E+02             3.492465E+02             3.466907E+02             3.446755E+02             3.467273E+02             3.447213E+02
                   1.2600             3.457435E+02             3.460412E+02             3.484218E+02             3.487393E+02             3.491814E+02             3.466223E+02             3.446110E+02             3.466638E+02             3.446631E+02
                   1.4400             3.456599E+02             3.459849E+02             3.483323E+02             3.486803E+02             3.491229E+02             3.465599E+02             3.445519E+02             3.466067E+02             3.446111E+02
                   1.6200             3.455835E+02             3.459342E+02             3.482503E+02             3.486272E+02             3.490702E+02             3.465027E+02             3.444974E+02             3.465552E+02             3.445642E+02
                   1.8000             3.455136E+02             3.458888E+02             3.481751E+02             3.485796E+02             3.490228E+02             3.464503E+02             3.444472E+02             3.465091E+02             3.445221E+02
                   1.9800             3.454499E+02             3.458484E+02             3.481065E+02             3.485372E+02             3.489806E+02             3.464028E+02             3.444012E+02             3.464680E+02             3.444846E+02
                   2.1600             3.453921E+02             3.458129E+02             3.480442E+02             3.485001E+02             3.489435E+02             3.463599E+02             3.443594E+02             3.464320E+02             3.444515E+02
                   2.3400             3.453401E+02             3.457823E+02             3.479880E+02             3.484680E+02             3.489114E+02             3.463217E+02             3.443218E+02             3.464008E+02             3.444229E+02
