                   Degree          h_min[micron-m]               p_max[MPa]           Q_martin[cc/s]                    Eccen        Att.Angle[degree]
                   0.0000             2.374997E+01             3.535539E-02             3.901278E-01             5.000007E-01             4.999734E-01
                   0.1800             2.374957E+01             3.220790E-02             3.859004E-01             5.000092E-01            -5.446392E-02
                   0.3600             2.374956E+01             3.225107E-02             3.859567E-01             5.000092E-01            -8.533993E-02
                   0.5400             2.374960E+01             3.228694E-02             3.859361E-01             5.000085E-01            -6.775907E-02
                   0.7200             2.374960E+01             3.236844E-02             3.860038E-01             5.000085E-01            -9.529898E-02
                   0.9000             2.374963E+01             3.242619E-02             3.859743E-01             5.000078E-01            -7.140584E-02
                   1.0800             2.374963E+01             3.253073E-02             3.860477E-01             5.000078E-01            -9.771135E-02
                   1.2600             2.374966E+01             3.260541E-02             3.860113E-01             5.000071E-01            -6.787644E-02
                   1.4400             2.374966E+01             3.272794E-02             3.860851E-01             5.000072E-01            -9.295534E-02
                   1.6200             2.374966E+01             3.286565E-02             3.861789E-01             5.000072E-01            -1.185614E-01
                   1.8000             2.374969E+01             3.295674E-02             3.861156E-01             5.000065E-01            -8.018730E-02
                   1.9800             2.374969E+01             3.310786E-02             3.862020E-01             5.000065E-01            -1.040914E-01
                   2.1600             2.374969E+01             3.327288E-02             3.863072E-01             5.000066E-01            -1.283727E-01
                   2.3400             2.374972E+01             3.337852E-02             3.862184E-01             5.000059E-01            -8.045354E-02
                   2.5200             2.374972E+01             3.355267E-02             3.863081E-01             5.000059E-01            -1.026343E-01
                   2.7000             2.374972E+01             3.373897E-02             3.864144E-01             5.000059E-01            -1.250698E-01
                   2.8800             2.374972E+01             3.393710E-02             3.865384E-01             5.000060E-01            -1.477404E-01
                   3.0600             2.374975E+01             3.405237E-02             3.863969E-01             5.000052E-01            -8.676743E-02
                   3.2400             2.374975E+01             3.425404E-02             3.864942E-01             5.000053E-01            -1.068938E-01
                   3.4200             2.374975E+01             3.446587E-02             3.866058E-01             5.000053E-01            -1.271275E-01
                   3.6000             2.374975E+01             3.468767E-02             3.867323E-01             5.000053E-01            -1.474432E-01
                   3.7800             2.374974E+01             3.491965E-02             3.868744E-01             5.000054E-01            -1.678153E-01
                   3.9600             2.374974E+01             3.516124E-02             3.870328E-01             5.000054E-01            -1.882239E-01
                   4.1400             2.374978E+01             3.527070E-02             3.867558E-01             5.000047E-01            -1.074102E-01
                   4.3200             2.374978E+01             3.551069E-02             3.868705E-01             5.000047E-01            -1.249038E-01
                   4.5000             2.374978E+01             3.575950E-02             3.869973E-01             5.000047E-01            -1.423691E-01
                   4.6800             2.374977E+01             3.601673E-02             3.871364E-01             5.000048E-01            -1.597883E-01
                   4.8600             2.374977E+01             3.628246E-02             3.872883E-01             5.000048E-01            -1.771428E-01
                   5.0400             2.374977E+01             3.655647E-02             3.874532E-01             5.000048E-01            -1.944150E-01
                   5.2200             2.374977E+01             3.683848E-02             3.876315E-01             5.000049E-01            -2.115874E-01
                   5.4000             2.374977E+01             3.712836E-02             3.878233E-01             5.000049E-01            -2.286427E-01
                   5.5800             2.374977E+01             3.742598E-02             3.880290E-01             5.000049E-01            -2.455637E-01
                   5.7600             2.374980E+01             3.749916E-02             3.874431E-01             5.000041E-01            -1.352800E-01
                   5.9400             2.374980E+01             3.778912E-02             3.875802E-01             5.000042E-01            -1.491163E-01
                   6.1200             2.374980E+01             3.808605E-02             3.877262E-01             5.000042E-01            -1.628010E-01
                   6.3000             2.374980E+01             3.838950E-02             3.878812E-01             5.000042E-01            -1.763200E-01
                   6.4800             2.374980E+01             3.869942E-02             3.880452E-01             5.000043E-01            -1.896602E-01
                   6.6600             2.374980E+01             3.901560E-02             3.882181E-01             5.000043E-01            -2.028098E-01
                   6.8400             2.374979E+01             3.933805E-02             3.884000E-01             5.000043E-01            -2.157556E-01
                   7.0200             2.374979E+01             3.966638E-02             3.885907E-01             5.000044E-01            -2.284855E-01
                   7.2000             2.374979E+01             4.000044E-02             3.887901E-01             5.000044E-01            -2.409870E-01
                   7.3800             2.374979E+01             4.034000E-02             3.889979E-01             5.000044E-01            -2.532485E-01
                   7.5600             2.374979E+01             4.068520E-02             3.892142E-01             5.000045E-01            -2.652582E-01
                   7.7400             2.374979E+01             4.103528E-02             3.894385E-01             5.000045E-01            -2.770041E-01
                   7.9200             2.374978E+01             4.139067E-02             3.896706E-01             5.000046E-01            -2.884754E-01
                   8.1000             2.374978E+01             4.175075E-02             3.899102E-01             5.000046E-01            -2.996603E-01
                   8.2800             2.374978E+01             4.211543E-02             3.901569E-01             5.000046E-01            -3.105481E-01
                   8.4600             2.374978E+01             4.248446E-02             3.904103E-01             5.000047E-01            -3.211274E-01
                   8.6400             2.374978E+01             4.285787E-02             3.906701E-01             5.000047E-01            -3.313885E-01
                   8.8200             2.374982E+01             4.280573E-02             3.891845E-01             5.000038E-01            -1.730579E-01
                   9.0000             2.374982E+01             4.316766E-02             3.893459E-01             5.000038E-01            -1.807321E-01
                   9.1800             2.374982E+01             4.353362E-02             3.895109E-01             5.000039E-01            -1.881275E-01
                   9.3600             2.374982E+01             4.390346E-02             3.896791E-01             5.000039E-01            -1.952357E-01
                   9.5400             2.374981E+01             4.427699E-02             3.898502E-01             5.000039E-01            -2.020497E-01
                   9.7200             2.374981E+01             4.465440E-02             3.900238E-01             5.000040E-01            -2.085623E-01
                   9.9000             2.374981E+01             4.503508E-02             3.901998E-01             5.000040E-01            -2.147668E-01
                  10.0800             2.374981E+01             4.541928E-02             3.903776E-01             5.000040E-01            -2.206564E-01
                  10.2600             2.374981E+01             4.580656E-02             3.905570E-01             5.000041E-01            -2.262248E-01
                  10.4400             2.374981E+01             4.619689E-02             3.907377E-01             5.000041E-01            -2.314662E-01
                  10.6200             2.374980E+01             4.659019E-02             3.909191E-01             5.000041E-01            -2.363748E-01
                  10.8000             2.374980E+01             4.698625E-02             3.911010E-01             5.000042E-01            -2.409452E-01
                  10.9800             2.374980E+01             4.738481E-02             3.912830E-01             5.000042E-01            -2.451730E-01
                  11.1600             2.374980E+01             4.778611E-02             3.914646E-01             5.000042E-01            -2.490531E-01
                  11.3400             2.374980E+01             4.818952E-02             3.916456E-01             5.000043E-01            -2.525820E-01
                  11.5200             2.374980E+01             4.859537E-02             3.918255E-01             5.000043E-01            -2.557557E-01
                  11.7000             2.374979E+01             4.900330E-02             3.920040E-01             5.000043E-01            -2.585713E-01
                  11.8800             2.374979E+01             4.941315E-02             3.921807E-01             5.000044E-01            -2.610259E-01
                  12.0600             2.374979E+01             4.982479E-02             3.923553E-01             5.000044E-01            -2.631175E-01
                  12.2400             2.374979E+01             5.023843E-02             3.925275E-01             5.000044E-01            -2.648443E-01
                  12.4200             2.374979E+01             5.065343E-02             3.926968E-01             5.000045E-01            -2.662046E-01
                  12.6000             2.374979E+01             5.107013E-02             3.928632E-01             5.000045E-01            -2.671982E-01
                  12.7800             2.374978E+01             5.148808E-02             3.930263E-01             5.000046E-01            -2.678253E-01
                  12.9600             2.374978E+01             5.190731E-02             3.931858E-01             5.000046E-01            -2.680855E-01
                  13.1400             2.374978E+01             5.232781E-02             3.933415E-01             5.000046E-01            -2.679801E-01
                  13.3200             2.374978E+01             5.274945E-02             3.934933E-01             5.000047E-01            -2.675102E-01
                  13.5000             2.374978E+01             5.317201E-02             3.936410E-01             5.000047E-01            -2.666785E-01
                  13.6800             2.374977E+01             5.359540E-02             3.937844E-01             5.000047E-01            -2.654871E-01
                  13.8600             2.374977E+01             5.401979E-02             3.939236E-01             5.000048E-01            -2.639395E-01
                  14.0400             2.374977E+01             5.444489E-02             3.940583E-01             5.000048E-01            -2.620388E-01
                  14.2200             2.374977E+01             5.487059E-02             3.941887E-01             5.000049E-01            -2.597898E-01
                  14.4000             2.374977E+01             5.529694E-02             3.943147E-01             5.000049E-01            -2.571970E-01
                  14.5800             2.374977E+01             5.572387E-02             3.944363E-01             5.000049E-01            -2.542657E-01
                  14.7600             2.374976E+01             5.615126E-02             3.945537E-01             5.000050E-01            -2.510018E-01
                  14.9400             2.374976E+01             5.657893E-02             3.946670E-01             5.000050E-01            -2.474113E-01
                  15.1200             2.374976E+01             5.700736E-02             3.947762E-01             5.000050E-01            -2.435014E-01
                  15.3000             2.374976E+01             5.743590E-02             3.948817E-01             5.000051E-01            -2.392788E-01
