                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                   0.0000             7.351667E-02             4.409474E-04             1.326657E-06             3.296527E-05             4.752393E-04             5.055196E-01             5.830626E-02             5.059949E-01
                   0.1800             7.130801E-02            -1.351496E-03            -4.066177E-06             5.143154E-04            -8.412471E-04             5.031332E-01             5.818048E-02             5.022920E-01
                   0.3600             7.133247E-02            -2.669738E-03            -8.032279E-06             8.205309E-04            -1.857239E-03             5.029375E-01             5.817363E-02             5.010802E-01
                   0.5400             7.137879E-02            -3.988044E-03            -1.199853E-05             1.126297E-03            -2.873745E-03             5.027746E-01             5.817748E-02             4.999009E-01
                   0.7200             7.144014E-02            -5.306277E-03            -1.596449E-05             1.432204E-03            -3.890037E-03             5.026179E-01             5.817134E-02             4.987279E-01
                   0.9000             7.151341E-02            -6.624080E-03            -1.992906E-05             1.738487E-03            -4.905522E-03             5.024862E-01             5.817659E-02             4.975807E-01
                   1.0800             7.159730E-02            -7.941372E-03            -2.389198E-05             2.045245E-03            -5.920019E-03             5.023556E-01             5.817068E-02             4.964356E-01
                   1.2600             7.169110E-02            -9.258339E-03            -2.785378E-05             2.352542E-03            -6.933651E-03             5.022493E-01             5.817728E-02             4.953157E-01
                   1.4400             7.179433E-02            -1.057473E-02            -3.181368E-05             2.660424E-03            -7.946119E-03             5.021421E-01             5.817159E-02             4.941960E-01
                   1.6200             7.190665E-02            -1.189051E-02            -3.577156E-05             2.968941E-03            -8.957336E-03             5.020458E-01             5.816576E-02             4.930884E-01
                   1.8000             7.202775E-02            -1.320553E-02            -3.972695E-05             3.278145E-03            -9.967110E-03             5.019747E-01             5.817431E-02             4.920076E-01
                   1.9800             7.215732E-02            -1.451986E-02            -4.368003E-05             3.588090E-03            -1.097545E-02             5.019001E-01             5.816881E-02             4.909246E-01
