                   Degree           dqdtheta_sc[W]           dqdtheta_dc[W]           dqdtheta_hc[W]       dqdtheta_resoil[W]          dqdtheta_oil[W]
                   0.0000             6.860041E-04             2.766002E+00             0.000000E+00             2.202924E+00             9.944875E+03
                   0.1800             3.403512E-02             2.826301E+00             0.000000E+00             2.153116E+00             9.944880E+03
                   0.3600             5.768846E-02             2.862096E+00             0.000000E+00             2.191643E+00             9.944876E+03
                   0.5400             7.924211E-02             2.900805E+00             0.000000E+00             2.202893E+00             9.944874E+03
                   0.7200             9.979996E-02             2.938249E+00             0.000000E+00             2.204392E+00             9.944874E+03
                   0.9000             1.196546E-01             2.972970E+00             0.000000E+00             2.202473E+00             9.944874E+03
                   1.0800             1.389301E-01             3.004451E+00             0.000000E+00             2.199484E+00             9.944874E+03
                   1.2600             1.577041E-01             3.032504E+00             0.000000E+00             2.196347E+00             9.944874E+03
                   1.4400             1.760412E-01             3.057075E+00             0.000000E+00             2.193408E+00             9.944874E+03
                   1.6200             1.939964E-01             3.078157E+00             0.000000E+00             2.190800E+00             9.944874E+03
                   1.8000             2.116150E-01             3.095761E+00             0.000000E+00             2.188572E+00             9.944875E+03
                   1.9800             2.289349E-01             3.109902E+00             0.000000E+00             2.186747E+00             9.944875E+03
                   2.1600             2.459871E-01             3.120598E+00             0.000000E+00             2.185331E+00             9.944875E+03
                   2.3400             2.627980E-01             3.127870E+00             0.000000E+00             2.184326E+00             9.944875E+03
                   2.5200             2.793894E-01             3.131745E+00             0.000000E+00             2.183732E+00             9.944875E+03
                   2.7000             2.957801E-01             3.132275E+00             0.000000E+00             2.183544E+00             9.944875E+03
                   2.8800             3.119862E-01             3.130132E+00             0.000000E+00             2.183682E+00             9.944875E+03
                   3.0600             3.280216E-01             3.127698E+00             0.000000E+00             2.183860E+00             9.944875E+03
                   3.2400             3.438988E-01             3.125280E+00             0.000000E+00             2.184043E+00             9.944875E+03
                   3.4200             3.596285E-01             3.122880E+00             0.000000E+00             2.184229E+00             9.944875E+03
                   3.6000             3.752205E-01             3.120498E+00             0.000000E+00             2.184418E+00             9.944875E+03
                   3.7800             3.906836E-01             3.118134E+00             0.000000E+00             2.184609E+00             9.944875E+03
                   3.9600             4.060254E-01             3.115787E+00             0.000000E+00             2.184804E+00             9.944875E+03
                   4.1400             4.212531E-01             3.113458E+00             0.000000E+00             2.185002E+00             9.944875E+03
                   4.3200             4.363732E-01             3.111146E+00             0.000000E+00             2.185202E+00             9.944875E+03
                   4.5000             4.513918E-01             3.108852E+00             0.000000E+00             2.185405E+00             9.944875E+03
                   4.6800             4.663143E-01             3.106575E+00             0.000000E+00             2.185610E+00             9.944875E+03
                   4.8600             4.811461E-01             3.104316E+00             0.000000E+00             2.185818E+00             9.944875E+03
                   5.0400             4.958918E-01             3.102074E+00             0.000000E+00             2.186027E+00             9.944875E+03
                   5.2200             5.105560E-01             3.099849E+00             0.000000E+00             2.186238E+00             9.944875E+03
                   5.4000             5.251431E-01             3.097642E+00             0.000000E+00             2.186451E+00             9.944875E+03
                   5.5800             5.396571E-01             3.095452E+00             0.000000E+00             2.186665E+00             9.944875E+03
                   5.7600             5.541019E-01             3.093279E+00             0.000000E+00             2.186880E+00             9.944875E+03
                   5.9400             5.684812E-01             3.091124E+00             0.000000E+00             2.187097E+00             9.944875E+03
                   6.1200             5.827985E-01             3.088986E+00             0.000000E+00             2.187315E+00             9.944875E+03
                   6.3000             5.970572E-01             3.086865E+00             0.000000E+00             2.187534E+00             9.944875E+03
                   6.4800             6.112608E-01             3.084761E+00             0.000000E+00             2.187753E+00             9.944875E+03
                   6.6600             6.254123E-01             3.082674E+00             0.000000E+00             2.187973E+00             9.944874E+03
                   6.8400             6.395149E-01             3.080605E+00             0.000000E+00             2.188193E+00             9.944874E+03
                   7.0200             6.535716E-01             3.078552E+00             0.000000E+00             2.188413E+00             9.944874E+03
                   7.2000             6.675854E-01             3.076517E+00             0.000000E+00             2.188634E+00             9.944874E+03
                   7.3800             6.815592E-01             3.074498E+00             0.000000E+00             2.188854E+00             9.944874E+03
                   7.5600             6.954959E-01             3.072496E+00             0.000000E+00             2.189074E+00             9.944874E+03
                   7.7400             7.093982E-01             3.070511E+00             0.000000E+00             2.189294E+00             9.944874E+03
                   7.9200             7.232688E-01             3.068543E+00             0.000000E+00             2.189513E+00             9.944874E+03
                   8.1000             7.371106E-01             3.066592E+00             0.000000E+00             2.189731E+00             9.944874E+03
                   8.2800             7.509261E-01             3.064658E+00             0.000000E+00             2.189949E+00             9.944874E+03
                   8.4600             7.647182E-01             3.062740E+00             0.000000E+00             2.190165E+00             9.944874E+03
                   8.6400             7.784893E-01             3.060839E+00             0.000000E+00             2.190380E+00             9.944874E+03
                   8.8200             7.922418E-01             3.058954E+00             0.000000E+00             2.190594E+00             9.944874E+03
                   9.0000             8.059787E-01             3.057086E+00             0.000000E+00             2.190806E+00             9.944874E+03
                   9.1800             8.197022E-01             3.055235E+00             0.000000E+00             2.191016E+00             9.944874E+03
                   9.3600             8.334149E-01             3.053400E+00             0.000000E+00             2.191225E+00             9.944874E+03
                   9.5400             8.471193E-01             3.051581E+00             0.000000E+00             2.191432E+00             9.944874E+03
                   9.7200             8.608177E-01             3.049779E+00             0.000000E+00             2.191637E+00             9.944874E+03
                   9.9000             8.745126E-01             3.047993E+00             0.000000E+00             2.191840E+00             9.944874E+03
                  10.0800             8.882064E-01             3.046223E+00             0.000000E+00             2.192040E+00             9.944874E+03
                  10.2600             9.019015E-01             3.044469E+00             0.000000E+00             2.192238E+00             9.944874E+03
                  10.4400             9.155999E-01             3.042731E+00             0.000000E+00             2.192434E+00             9.944874E+03
                  10.6200             9.293042E-01             3.041009E+00             0.000000E+00             2.192627E+00             9.944874E+03
                  10.8000             9.430163E-01             3.039303E+00             0.000000E+00             2.192818E+00             9.944874E+03
                  10.9800             9.567387E-01             3.037613E+00             0.000000E+00             2.193005E+00             9.944874E+03
                  11.1600             9.704733E-01             3.035939E+00             0.000000E+00             2.193190E+00             9.944874E+03
                  11.3400             9.842222E-01             3.034280E+00             0.000000E+00             2.193373E+00             9.944874E+03
                  11.5200             9.979874E-01             3.032637E+00             0.000000E+00             2.193552E+00             9.944874E+03
                  11.7000             1.011771E+00             3.031009E+00             0.000000E+00             2.193729E+00             9.944874E+03
                  11.8800             1.025575E+00             3.029397E+00             0.000000E+00             2.193902E+00             9.944874E+03
                  12.0600             1.039400E+00             3.027800E+00             0.000000E+00             2.194073E+00             9.944874E+03
                  12.2400             1.053250E+00             3.026219E+00             0.000000E+00             2.194241E+00             9.944874E+03
                  12.4200             1.067124E+00             3.024652E+00             0.000000E+00             2.194406E+00             9.944874E+03
