                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                   0.0000             3.464065E+02             3.460156E+02             3.464065E+02             3.460156E+02             3.495564E+02             3.485593E+02             3.495564E+02             3.485593E+02             3.500363E+02             3.489750E+02
                   0.1800             3.464714E+02             3.460917E+02             3.465514E+02             3.461699E+02             3.495992E+02             3.486167E+02             3.496801E+02             3.486962E+02             3.501657E+02             3.491170E+02
                   0.3600             3.460640E+02             3.456839E+02             3.461952E+02             3.458088E+02             3.492020E+02             3.482147E+02             3.493344E+02             3.483437E+02             3.498170E+02             3.487618E+02
                   0.5400             3.458394E+02             3.454638E+02             3.460151E+02             3.456280E+02             3.489781E+02             3.479921E+02             3.491553E+02             3.481638E+02             3.496374E+02             3.485814E+02
                   0.7200             3.456857E+02             3.453161E+02             3.459020E+02             3.455157E+02             3.488215E+02             3.478389E+02             3.490400E+02             3.480496E+02             3.495226E+02             3.484676E+02
                   0.9000             3.455634E+02             3.452002E+02             3.458174E+02             3.454322E+02             3.486949E+02             3.477166E+02             3.489521E+02             3.479635E+02             3.494353E+02             3.483821E+02
                   1.0800             3.454578E+02             3.451009E+02             3.457469E+02             3.453631E+02             3.485845E+02             3.476108E+02             3.488782E+02             3.478915E+02             3.493621E+02             3.483107E+02
                   1.2600             3.453630E+02             3.450120E+02             3.456850E+02             3.453024E+02             3.484849E+02             3.475156E+02             3.488130E+02             3.478282E+02             3.492974E+02             3.482478E+02
                   1.4400             3.452767E+02             3.449312E+02             3.456295E+02             3.452480E+02             3.483936E+02             3.474288E+02             3.487544E+02             3.477713E+02             3.492393E+02             3.481914E+02
                   1.6200             3.451975E+02             3.448572E+02             3.455795E+02             3.451991E+02             3.483098E+02             3.473491E+02             3.487016E+02             3.477200E+02             3.491869E+02             3.481405E+02
                   1.8000             3.451250E+02             3.447895E+02             3.455347E+02             3.451551E+02             3.482328E+02             3.472761E+02             3.486542E+02             3.476740E+02             3.491398E+02             3.480948E+02
                   1.9800             3.450589E+02             3.447277E+02             3.454948E+02             3.451161E+02             3.481624E+02             3.472093E+02             3.486121E+02             3.476331E+02             3.490979E+02             3.480540E+02
                   2.1600             3.449987E+02             3.446715E+02             3.454598E+02             3.450818E+02             3.480983E+02             3.471487E+02             3.485751E+02             3.475972E+02             3.490610E+02             3.480182E+02
                   2.3400             3.449444E+02             3.446209E+02             3.454296E+02             3.450521E+02             3.480402E+02             3.470939E+02             3.485432E+02             3.475661E+02             3.490291E+02             3.479871E+02
                   2.5200             3.448957E+02             3.445755E+02             3.454042E+02             3.450271E+02             3.479882E+02             3.470448E+02             3.485163E+02             3.475399E+02             3.490021E+02             3.479608E+02
                   2.7000             3.448525E+02             3.445353E+02             3.453833E+02             3.450065E+02             3.479419E+02             3.470012E+02             3.484942E+02             3.475185E+02             3.489799E+02             3.479392E+02
                   2.8800             3.448138E+02             3.444993E+02             3.453663E+02             3.449897E+02             3.479003E+02             3.469622E+02             3.484762E+02             3.475008E+02             3.489616E+02             3.479213E+02
                   3.0600             3.447763E+02             3.444644E+02             3.453498E+02             3.449734E+02             3.478602E+02             3.469246E+02             3.484588E+02             3.474838E+02             3.489439E+02             3.479040E+02
                   3.2400             3.447398E+02             3.444303E+02             3.453335E+02             3.449573E+02             3.478211E+02             3.468878E+02             3.484416E+02             3.474670E+02             3.489264E+02             3.478869E+02
                   3.4200             3.447040E+02             3.443968E+02             3.453174E+02             3.449413E+02             3.477829E+02             3.468519E+02             3.484246E+02             3.474503E+02             3.489090E+02             3.478699E+02
                   3.6000             3.446690E+02             3.443639E+02             3.453014E+02             3.449256E+02             3.477455E+02             3.468167E+02             3.484077E+02             3.474339E+02             3.488919E+02             3.478531E+02
