                   Degree           dqdtheta_sc[W]           dqdtheta_dc[W]           dqdtheta_hc[W]       dqdtheta_resoil[W]          dqdtheta_oil[W]
                   0.0000             8.116064E-04             1.298194E+01             0.000000E+00             1.725602E+00             2.211114E+03
                   0.1800             2.241297E-02             1.300857E+01             0.000000E+00             1.594136E+00             2.211295E+03
                   0.3600             3.781175E-02             1.303783E+01             0.000000E+00             1.556022E+00             2.211346E+03
                   0.5400             5.156220E-02             1.306595E+01             0.000000E+00             1.536070E+00             2.211372E+03
                   0.7200             6.460099E-02             1.309259E+01             0.000000E+00             1.526192E+00             2.211383E+03
                   0.9000             7.722886E-02             1.311751E+01             0.000000E+00             1.521601E+00             2.211387E+03
                   1.0800             8.955214E-02             1.314060E+01             0.000000E+00             1.519686E+00             2.211387E+03
                   1.2600             1.016152E-01             1.316179E+01             0.000000E+00             1.519086E+00             2.211385E+03
                   1.4400             1.134433E-01             1.318108E+01             0.000000E+00             1.519104E+00             2.211383E+03
                   1.6200             1.250561E-01             1.319845E+01             0.000000E+00             1.519390E+00             2.211380E+03
                   1.8000             1.364711E-01             1.321392E+01             0.000000E+00             1.519768E+00             2.211378E+03
                   1.9800             1.477046E-01             1.322748E+01             0.000000E+00             1.520153E+00             2.211376E+03
                   2.1600             1.587715E-01             1.323917E+01             0.000000E+00             1.520503E+00             2.211373E+03
                   2.3400             1.696852E-01             1.324899E+01             0.000000E+00             1.520799E+00             2.211372E+03
                   2.5200             1.804576E-01             1.325696E+01             0.000000E+00             1.521033E+00             2.211370E+03
                   2.7000             1.910995E-01             1.326309E+01             0.000000E+00             1.521202E+00             2.211368E+03
                   2.8800             2.016203E-01             1.326740E+01             0.000000E+00             1.521308E+00             2.211367E+03
                   3.0600             2.120281E-01             1.326992E+01             0.000000E+00             1.521351E+00             2.211366E+03
                   3.2400             2.223305E-01             1.327066E+01             0.000000E+00             1.521334E+00             2.211366E+03
                   3.4200             2.325342E-01             1.326965E+01             0.000000E+00             1.521260E+00             2.211365E+03
                   3.6000             2.426451E-01             1.326694E+01             0.000000E+00             1.521130E+00             2.211365E+03
                   3.7800             2.526686E-01             1.326259E+01             0.000000E+00             1.520949E+00             2.211365E+03
                   3.9600             2.626098E-01             1.325670E+01             0.000000E+00             1.520720E+00             2.211366E+03
                   4.1400             2.724732E-01             1.324952E+01             0.000000E+00             1.520449E+00             2.211366E+03
                   4.3200             2.822631E-01             1.324163E+01             0.000000E+00             1.520152E+00             2.211367E+03
                   4.5000             2.919836E-01             1.323364E+01             0.000000E+00             1.519841E+00             2.211367E+03
                   4.6800             3.016382E-01             1.322571E+01             0.000000E+00             1.519523E+00             2.211368E+03
                   4.8600             3.112307E-01             1.321785E+01             0.000000E+00             1.519200E+00             2.211368E+03
                   5.0400             3.207645E-01             1.321004E+01             0.000000E+00             1.518873E+00             2.211369E+03
                   5.2200             3.302427E-01             1.320231E+01             0.000000E+00             1.518544E+00             2.211370E+03
