                   Degree                   P1[Pa]                   P2[Pa]                   P3[Pa]                   P4[Pa]                   P5[Pa]                   P6[Pa]                   P7[Pa]                   P8[Pa]                   P9[Pa]                  P3a[Pa]
                   6.3000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671357E+05             1.660901E+05             4.928688E+05
                   6.4800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671326E+05             1.660870E+05             4.928615E+05
                   6.6600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671296E+05             1.660840E+05             4.928543E+05
                   6.8400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671265E+05             1.660809E+05             4.928471E+05
                   7.0200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671234E+05             1.660778E+05             4.928399E+05
                   7.2000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671202E+05             1.660746E+05             4.928327E+05
                   7.3800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671169E+05             1.660713E+05             4.928256E+05
                   7.5600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671135E+05             1.660678E+05             4.928185E+05
                   7.7400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671099E+05             1.660643E+05             4.928116E+05
                   7.9200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671062E+05             1.660606E+05             4.928046E+05
                   8.1000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671026E+05             1.660570E+05             4.927978E+05
                   8.2800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670990E+05             1.660534E+05             4.927909E+05
                   8.4600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670956E+05             1.660500E+05             4.927841E+05
                   8.6400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670923E+05             1.660467E+05             4.927773E+05
                   8.8200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670892E+05             1.660436E+05             4.927706E+05
                   9.0000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670862E+05             1.660405E+05             4.927640E+05
                   9.1800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670832E+05             1.660376E+05             4.927574E+05
                   9.3600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670804E+05             1.660348E+05             4.927509E+05
                   9.5400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670776E+05             1.660319E+05             4.927444E+05
                   9.7200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670748E+05             1.660292E+05             4.927381E+05
