                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                   0.0000            -7.705840E-01            -4.891888E+01             4.061341E+00             5.471625E+00             1.410284E+00             2.004551E+01             2.009506E+01
                   0.1800            -2.321512E+00            -5.017630E+01             2.843732E+00             5.008629E+00             2.171929E+00             2.072845E+01             2.084193E+01
                   0.3600            -3.040199E+00            -5.023145E+01             2.178048E+00             4.995441E+00             2.831500E+00             2.081341E+01             2.100513E+01
                   0.5400            -3.758179E+00            -5.028741E+01             1.512978E+00             4.983240E+00             3.491482E+00             2.089950E+01             2.118914E+01
                   0.7200            -4.475506E+00            -5.034436E+01             8.485091E-01             4.971948E+00             4.151803E+00             2.098673E+01             2.139346E+01
                   0.9000            -5.192092E+00            -5.040239E+01             1.847502E-01             4.961503E+00             4.812288E+00             2.107507E+01             2.161751E+01
                   1.0800            -5.907968E+00            -5.046155E+01            -4.783115E-01             4.951868E+00             5.472908E+00             2.116450E+01             2.186067E+01
                   1.2600            -6.623281E+00            -5.052193E+01            -1.140812E+00             4.943017E+00             6.133769E+00             2.125501E+01             2.212235E+01
                   1.4400            -7.337953E+00            -5.058351E+01            -1.802669E+00             4.934927E+00             6.794762E+00             2.134653E+01             2.240185E+01
                   1.6200            -8.052004E+00            -5.064633E+01            -2.463900E+00             4.927584E+00             7.455885E+00             2.143901E+01             2.269849E+01
                   1.8000            -8.765398E+00            -5.071037E+01            -3.124469E+00             4.920975E+00             8.117088E+00             2.153241E+01             2.301156E+01
                   1.9800            -9.478200E+00            -5.077565E+01            -3.784442E+00             4.915092E+00             8.778422E+00             2.162668E+01             2.334039E+01
                   2.1600            -1.019035E+01            -5.084214E+01            -4.443755E+00             4.909924E+00             9.439814E+00             2.172175E+01             2.368426E+01
                   2.3400            -1.090186E+01            -5.090985E+01            -5.102436E+00             4.905467E+00             1.010128E+01             2.181756E+01             2.404250E+01
                   2.5200            -1.161271E+01            -5.097876E+01            -5.760457E+00             4.901713E+00             1.076279E+01             2.191405E+01             2.441440E+01
                   2.7000            -1.232288E+01            -5.104885E+01            -6.417810E+00             4.898657E+00             1.142432E+01             2.201116E+01             2.479932E+01
                   2.8800            -1.303239E+01            -5.112013E+01            -7.074502E+00             4.896294E+00             1.208588E+01             2.210884E+01             2.519661E+01
                   3.0600            -1.374119E+01            -5.119256E+01            -7.730501E+00             4.894618E+00             1.274742E+01             2.220702E+01             2.560563E+01
                   3.2400            -1.444928E+01            -5.126615E+01            -8.385815E+00             4.893625E+00             1.340894E+01             2.230563E+01             2.602578E+01
                   3.4200            -1.515666E+01            -5.134087E+01            -9.040437E+00             4.893310E+00             1.407045E+01             2.240462E+01             2.645647E+01
                   3.6000            -1.586332E+01            -5.141672E+01            -9.694352E+00             4.893670E+00             1.473191E+01             2.250393E+01             2.689714E+01
