                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                   0.0000             0.000000E+00            -1.855760E+01            -4.512042E+00
                   0.1800            -3.394677E-04            -1.855749E+01             1.382940E+01
                   0.3600            -6.789309E-04            -1.855712E+01             2.731898E+01
                   0.5400            -1.018385E-03            -1.855650E+01             4.081015E+01
                   0.7200            -1.357826E-03            -1.855564E+01             5.430194E+01
                   0.9000            -1.697248E-03            -1.855453E+01             6.779118E+01
                   1.0800            -2.036648E-03            -1.855317E+01             8.127749E+01
                   1.2600            -2.376021E-03            -1.855156E+01             9.476322E+01
                   1.4400            -2.715363E-03            -1.854971E+01             1.082463E+02
                   1.6200            -3.054668E-03            -1.854762E+01             1.217267E+02
                   1.8000            -3.393932E-03            -1.854527E+01             1.352036E+02
                   1.9800            -3.733152E-03            -1.854268E+01             1.486780E+02
                   2.1600            -4.072322E-03            -1.853984E+01             1.621484E+02
                   2.3400            -4.411437E-03            -1.853676E+01             1.756152E+02
                   2.5200            -4.750494E-03            -1.853343E+01             1.890777E+02
                   2.7000            -5.089488E-03            -1.852986E+01             2.025356E+02
                   2.8800            -5.428414E-03            -1.852603E+01             2.159887E+02
                   3.0600            -5.767269E-03            -1.852197E+01             2.294365E+02
                   3.2400            -6.106046E-03            -1.851765E+01             2.428788E+02
                   3.4200            -6.444742E-03            -1.851309E+01             2.563153E+02
                   3.6000            -6.783353E-03            -1.850829E+01             2.697457E+02
                   3.7800            -7.121873E-03            -1.850324E+01             2.831695E+02
                   3.9600            -7.460299E-03            -1.849794E+01             2.965867E+02
                   4.1400            -7.798626E-03            -1.849240E+01             3.099966E+02
                   4.3200            -8.136849E-03            -1.848661E+01             3.233992E+02
                   4.5000            -8.474964E-03            -1.848058E+01             3.367939E+02
                   4.6800            -8.812966E-03            -1.847430E+01             3.501806E+02
                   4.8600            -9.150851E-03            -1.846778E+01             3.635589E+02
                   5.0400            -9.488615E-03            -1.846101E+01             3.769285E+02
                   5.2200            -9.826253E-03            -1.845400E+01             3.902891E+02
                   5.4000            -1.016376E-02            -1.844675E+01             4.036403E+02
                   5.5800            -1.050113E-02            -1.843925E+01             4.169818E+02
                   5.7600            -1.083836E-02            -1.843150E+01             4.303134E+02
                   5.9400            -1.117545E-02            -1.842352E+01             4.436347E+02
                   6.1200            -1.151239E-02            -1.841529E+01             4.569454E+02
