                   Degree                dmdtheta1                dedtheta1                dvdtheta1
                  17.1000            -5.377384E-05            -2.376898E+01             1.223687E-07
                  17.2800            -5.334510E-05            -2.357002E+01             1.261836E-07
                  17.4600            -5.291059E-05            -2.336861E+01             1.300534E-07
                  17.6400            -5.247059E-05            -2.316487E+01             1.339782E-07
                  17.8200            -5.202541E-05            -2.295896E+01             1.379578E-07
                  18.0000            -5.157531E-05            -2.275101E+01             1.419923E-07
                  18.1800            -5.112062E-05            -2.254116E+01             1.460815E-07
                  18.3600            -5.066161E-05            -2.232956E+01             1.502253E-07
                  18.5400            -5.019859E-05            -2.211635E+01             1.544238E-07
                  18.7200            -4.973185E-05            -2.190167E+01             1.586769E-07
                  18.9000            -4.926169E-05            -2.168566E+01             1.629844E-07
                  19.0800            -4.878841E-05            -2.146846E+01             1.673463E-07
                  19.2600            -4.831231E-05            -2.125022E+01             1.717626E-07
                  19.4400            -4.783366E-05            -2.103105E+01             1.762332E-07
                  19.6200            -4.735277E-05            -2.081110E+01             1.807579E-07
                  19.8000            -4.686992E-05            -2.059051E+01             1.853368E-07
                  19.9800            -4.638538E-05            -2.036939E+01             1.899697E-07
                  20.1600            -4.589945E-05            -2.014788E+01             1.946567E-07
                  20.3400            -4.541238E-05            -1.992611E+01             1.993975E-07
                  20.5200            -4.492446E-05            -1.970418E+01             2.041922E-07
                  20.7000            -4.443593E-05            -1.948223E+01             2.090407E-07
                  20.8800            -4.394707E-05            -1.926037E+01             2.139428E-07
                  21.0600            -4.345811E-05            -1.903870E+01             2.188986E-07
                  21.2400            -4.296930E-05            -1.881734E+01             2.239079E-07
                  21.4200            -4.248089E-05            -1.859639E+01             2.289706E-07
                  21.6000            -4.199309E-05            -1.837595E+01             2.340868E-07
                  21.7800            -4.150613E-05            -1.815612E+01             2.392562E-07
                  21.9600            -4.102024E-05            -1.793700E+01             2.444789E-07
                  22.1400            -4.053561E-05            -1.771867E+01             2.497546E-07
                  22.3200            -4.005245E-05            -1.750122E+01             2.550835E-07
                  22.5000            -3.957096E-05            -1.728474E+01             2.604653E-07
                  22.6800            -3.909131E-05            -1.706930E+01             2.659000E-07
                  22.8600            -3.861370E-05            -1.685499E+01             2.713876E-07
                  23.0400            -3.813828E-05            -1.664186E+01             2.769278E-07
                  23.2200            -3.766523E-05            -1.642999E+01             2.825207E-07
                  23.4000            -3.719470E-05            -1.621945E+01             2.881661E-07
                  23.5800            -3.672684E-05            -1.601029E+01             2.938640E-07
                  23.7600            -3.626179E-05            -1.580258E+01             2.996143E-07
                  23.9400            -3.579968E-05            -1.559636E+01             3.054169E-07
                  24.1200            -3.534064E-05            -1.539169E+01             3.112717E-07
                  24.3000            -3.488480E-05            -1.518862E+01             3.171786E-07
                  24.4800            -3.443225E-05            -1.498719E+01             3.231375E-07
                  24.6600            -3.398312E-05            -1.478744E+01             3.291483E-07
                  24.8400            -3.353749E-05            -1.458941E+01             3.352110E-07
                  25.0200            -3.309546E-05            -1.439314E+01             3.413255E-07
                  25.2000            -3.265712E-05            -1.419866E+01             3.474916E-07
                  25.3800            -3.222254E-05            -1.400600E+01             3.537092E-07
                  25.5600            -3.179180E-05            -1.381518E+01             3.599783E-07
                  25.7400            -3.136497E-05            -1.362623E+01             3.662988E-07
                  25.9200            -3.094210E-05            -1.343917E+01             3.726706E-07
                  26.1000            -3.052326E-05            -1.325402E+01             3.790936E-07
                  26.2800            -3.010849E-05            -1.307080E+01             3.855676E-07
                  26.4600            -2.969784E-05            -1.288952E+01             3.920927E-07
                  26.6400            -2.929135E-05            -1.271020E+01             3.986686E-07
                  26.8200            -2.888906E-05            -1.253284E+01             4.052953E-07
                  27.0000            -2.849099E-05            -1.235746E+01             4.119727E-07
                  27.1800            -2.809718E-05            -1.218406E+01             4.187007E-07
                  27.3600            -2.770764E-05            -1.201264E+01             4.254792E-07
                  27.5400            -2.732239E-05            -1.184322E+01             4.323081E-07
                  27.7200            -2.694145E-05            -1.167578E+01             4.391873E-07
                  27.9000            -2.656482E-05            -1.151034E+01             4.461166E-07
                  28.0800            -2.619252E-05            -1.134688E+01             4.530961E-07
                  28.2600            -2.582454E-05            -1.118541E+01             4.601255E-07
                  28.4400            -2.546088E-05            -1.102592E+01             4.672048E-07
                  28.6200            -2.510154E-05            -1.086840E+01             4.743338E-07
                  28.8000            -2.474652E-05            -1.071286E+01             4.815126E-07
                  28.9800            -2.439580E-05            -1.055927E+01             4.887408E-07
                  29.1600            -2.404937E-05            -1.040764E+01             4.960186E-07
                  29.3400            -2.370721E-05            -1.025794E+01             5.033457E-07
                  29.5200            -2.336932E-05            -1.011018E+01             5.107220E-07
                  29.7000            -2.303566E-05            -9.964333E+00             5.181474E-07
                  29.8800            -2.270622E-05            -9.820393E+00             5.256219E-07
                  30.0600            -2.238098E-05            -9.678344E+00             5.331453E-07
                  30.2400            -2.205990E-05            -9.538173E+00             5.407174E-07
                  30.4200            -2.174296E-05            -9.399864E+00             5.483383E-07
                  30.6000            -2.143013E-05            -9.263401E+00             5.560077E-07
                  30.7800            -2.112137E-05            -9.128768E+00             5.637256E-07
                  30.9600            -2.081667E-05            -8.995950E+00             5.714919E-07
                  31.1400            -2.051598E-05            -8.864927E+00             5.793064E-07
                  31.3200            -2.021927E-05            -8.735683E+00             5.871690E-07
                  31.5000            -1.992650E-05            -8.608200E+00             5.950796E-07
                  31.6800            -1.963763E-05            -8.482458E+00             6.030381E-07
                  31.8600            -1.935263E-05            -8.358440E+00             6.110444E-07
                  32.0400            -1.907146E-05            -8.236125E+00             6.190983E-07
                  32.2200            -1.879407E-05            -8.115496E+00             6.271999E-07
                  32.4000            -1.852044E-05            -7.996531E+00             6.353488E-07
                  32.5800            -1.825051E-05            -7.879211E+00             6.435450E-07
                  32.7600            -1.798424E-05            -7.763516E+00             6.517885E-07
                  32.9400            -1.772159E-05            -7.649425E+00             6.600790E-07
                  33.1200            -1.746252E-05            -7.536920E+00             6.684164E-07
                  33.3000            -1.720699E-05            -7.425978E+00             6.768008E-07
                  33.4800            -1.695495E-05            -7.316579E+00             6.852318E-07
                  33.6600            -1.670635E-05            -7.208703E+00             6.937094E-07
                  33.8400            -1.646116E-05            -7.102329E+00             7.022335E-07
                  34.0200            -1.621933E-05            -6.997437E+00             7.108039E-07
                  34.2000            -1.598081E-05            -6.894006E+00             7.194206E-07
                  34.3800            -1.574556E-05            -6.792014E+00             7.280834E-07
                  34.5600            -1.551353E-05            -6.691442E+00             7.367921E-07
                  34.7400            -1.528469E-05            -6.592269E+00             7.455467E-07
                  34.9200            -1.505898E-05            -6.494474E+00             7.543471E-07
                  35.1000            -1.483635E-05            -6.398036E+00             7.631931E-07
                  35.2800            -1.461678E-05            -6.302936E+00             7.720845E-07
                  35.4600            -1.440020E-05            -6.209153E+00             7.810213E-07
                  35.6400            -1.418658E-05            -6.116666E+00             7.900034E-07
                  35.8200            -1.397587E-05            -6.025456E+00             7.990305E-07
                  36.0000            -1.376802E-05            -5.935502E+00             8.081027E-07
                  36.1800            -1.356300E-05            -5.846785E+00             8.172196E-07
                  36.3600            -1.336076E-05            -5.759285E+00             8.263813E-07
                  36.5400            -1.316126E-05            -5.672982E+00             8.355876E-07
                  36.7200            -1.296444E-05            -5.587857E+00             8.448384E-07
                  36.9000            -1.277028E-05            -5.503890E+00             8.541335E-07
                  37.0800            -1.257872E-05            -5.421063E+00             8.634728E-07
                  37.2600            -1.238973E-05            -5.339356E+00             8.728562E-07
                  37.4400            -1.220326E-05            -5.258750E+00             8.822835E-07
                  37.6200            -1.201927E-05            -5.179227E+00             8.917547E-07
                  37.8000            -1.183772E-05            -5.100767E+00             9.012695E-07
                  37.9800            -1.165856E-05            -5.023354E+00             9.108279E-07
                  38.1600            -1.148176E-05            -4.946969E+00             9.204297E-07
                  38.3400            -1.130728E-05            -4.871593E+00             9.300747E-07
                  38.5200            -1.113507E-05            -4.797209E+00             9.397630E-07
                  38.7000            -1.096510E-05            -4.723799E+00             9.494942E-07
                  38.8800            -1.079733E-05            -4.651346E+00             9.592683E-07
                  39.0600            -1.063171E-05            -4.579832E+00             9.690852E-07
                  39.2400            -1.046821E-05            -4.509241E+00             9.789447E-07
                  39.4200            -1.030679E-05            -4.439555E+00             9.888467E-07
                  39.6000            -1.014742E-05            -4.370759E+00             9.987910E-07
                  39.7800            -9.990052E-06            -4.302834E+00             1.008777E-06
                  39.9600            -9.834652E-06            -4.235765E+00             1.018806E-06
                  40.1400            -9.681183E-06            -4.169536E+00             1.028877E-06
                  40.3200            -9.529610E-06            -4.104131E+00             1.038989E-06
                  40.5000            -9.379895E-06            -4.039533E+00             1.049143E-06
                  40.6800            -9.232004E-06            -3.975727E+00             1.059338E-06
                  40.8600            -9.085900E-06            -3.912698E+00             1.069575E-06
                  41.0400            -8.941550E-06            -3.850431E+00             1.079853E-06
                  41.2200            -8.798918E-06            -3.788909E+00             1.090172E-06
                  41.4000            -8.657971E-06            -3.728119E+00             1.100533E-06
                  41.5800            -8.518674E-06            -3.668044E+00             1.110934E-06
                  41.7600            -8.380993E-06            -3.608671E+00             1.121375E-06
                  41.9400            -8.244896E-06            -3.549985E+00             1.131857E-06
                  42.1200            -8.110349E-06            -3.491972E+00             1.142380E-06
                  42.3000            -7.977320E-06            -3.434617E+00             1.152943E-06
                  42.4800            -7.845776E-06            -3.377906E+00             1.163546E-06
                  42.6600            -7.715686E-06            -3.321825E+00             1.174189E-06
                  42.8400            -7.587017E-06            -3.266360E+00             1.184872E-06
                  43.0200            -7.459738E-06            -3.211497E+00             1.195594E-06
                  43.2000            -7.333818E-06            -3.157224E+00             1.206356E-06
                  43.3800            -7.209225E-06            -3.103525E+00             1.217157E-06
                  43.5600            -7.085929E-06            -3.050389E+00             1.227998E-06
                  43.7400            -6.963899E-06            -2.997801E+00             1.238878E-06
                  43.9200            -6.843105E-06            -2.945748E+00             1.249797E-06
                  44.1000            -6.723516E-06            -2.894218E+00             1.260754E-06
                  44.2800            -6.605103E-06            -2.843196E+00             1.271750E-06
                  44.4600            -6.487835E-06            -2.792670E+00             1.282785E-06
                  44.6400            -6.371682E-06            -2.742628E+00             1.293858E-06
                  44.8200            -6.256616E-06            -2.693055E+00             1.304970E-06
                  45.0000            -6.142605E-06            -2.643940E+00             1.316119E-06
                  45.1800            -6.029621E-06            -2.595269E+00             1.327307E-06
                  45.3600            -5.917634E-06            -2.547030E+00             1.338532E-06
                  45.5400            -5.806615E-06            -2.499209E+00             1.349795E-06
                  45.7200            -5.696533E-06            -2.451794E+00             1.361095E-06
                  45.9000            -5.587359E-06            -2.404772E+00             1.372433E-06
                  46.0800            -5.479064E-06            -2.358131E+00             1.383808E-06
                  46.2600            -5.371617E-06            -2.311856E+00             1.395220E-06
                  46.4400            -5.264988E-06            -2.265936E+00             1.406669E-06
                  46.6200            -5.159148E-06            -2.220357E+00             1.418154E-06
                  46.8000            -5.054064E-06            -2.175105E+00             1.429677E-06
                  46.9800            -4.949707E-06            -2.130168E+00             1.441235E-06
                  47.1600            -4.846046E-06            -2.085531E+00             1.452830E-06
                  47.3400            -4.743048E-06            -2.041182E+00             1.464462E-06
                  47.5200            -4.640681E-06            -1.997106E+00             1.476129E-06
                  47.7000            -4.538912E-06            -1.953289E+00             1.487832E-06
                  47.8800            -4.437708E-06            -1.909716E+00             1.499571E-06
                  48.0600            -4.337034E-06            -1.866373E+00             1.511345E-06
                  48.2400            -4.236856E-06            -1.823245E+00             1.523155E-06
                  48.4200            -4.137136E-06            -1.780315E+00             1.535000E-06
                  48.6000            -4.037837E-06            -1.737567E+00             1.546880E-06
                  48.7800            -3.938922E-06            -1.694986E+00             1.558795E-06
                  48.9600            -3.840348E-06            -1.652553E+00             1.570745E-06
                  49.1400            -3.742075E-06            -1.610250E+00             1.582730E-06
                  49.3200            -3.644058E-06            -1.568059E+00             1.594749E-06
                  49.5000            -3.546251E-06            -1.525959E+00             1.606802E-06
                  49.6800            -3.448606E-06            -1.483930E+00             1.618890E-06
                  49.8600            -3.351071E-06            -1.441949E+00             1.631012E-06
                  50.0400            -3.253590E-06            -1.399992E+00             1.643167E-06
                  50.2200            -3.156106E-06            -1.358035E+00             1.655356E-06
                  50.4000            -3.058554E-06            -1.316050E+00             1.667579E-06
                  50.5800            -2.960866E-06            -1.274007E+00             1.679835E-06
                  50.7600            -2.862968E-06            -1.231875E+00             1.692125E-06
                  50.9400            -2.764778E-06            -1.189617E+00             1.704448E-06
                  51.1200            -2.666206E-06            -1.147196E+00             1.716803E-06
                  51.3000            -2.567151E-06            -1.104568E+00             1.729192E-06
                  51.4800            -2.467502E-06            -1.061685E+00             1.741613E-06
                  51.6600            -2.367130E-06            -1.018492E+00             1.754066E-06
                  51.8400            -2.265892E-06            -9.749269E-01             1.766552E-06
                  52.0200            -2.163620E-06            -9.309175E-01             1.779070E-06
                  52.2000            -2.060118E-06            -8.863799E-01             1.791620E-06
                  52.3800            -1.955157E-06            -8.412148E-01             1.804202E-06
                  52.5600            -1.848458E-06            -7.953029E-01             1.816816E-06
                  52.7400            -1.739684E-06            -7.484986E-01             1.829461E-06
                  52.9200            -1.628413E-06            -7.006205E-01             1.842137E-06
                  53.1000            -1.514106E-06            -6.514370E-01             1.854845E-06
                  53.2800            -1.396057E-06            -6.006443E-01             1.867584E-06
                  53.4600            -1.273306E-06            -5.478287E-01             1.880354E-06
                  53.6400            -1.144480E-06            -4.924005E-01             1.893155E-06
                  53.8200            -1.007505E-06            -4.334664E-01             1.905986E-06
                  54.0000            -8.589432E-07            -3.695481E-01             1.918848E-06
                  54.1800            -6.922801E-07            -2.978426E-01             1.931740E-06
                  54.3600            -4.916462E-07            -2.115223E-01             1.944662E-06
                  54.5400            -1.733397E-07            -7.457620E-02             1.957614E-06
                  54.7200             9.476565E-07             4.075025E-01             1.970596E-06
                  54.9000             1.735936E-06             7.464711E-01             1.983608E-06
                  55.0800             2.156646E-06             9.273809E-01             1.996649E-06
                  55.2600             2.300935E-06             9.894268E-01             2.009719E-06
                  55.4400             2.339032E-06             1.005809E+00             2.022819E-06
                  55.6200             2.356494E-06             1.013318E+00             2.035948E-06
                  55.8000             2.371843E-06             1.019918E+00             2.049105E-06
                  55.9800             2.387100E-06             1.026479E+00             2.062291E-06
                  56.1600             2.402387E-06             1.033052E+00             2.075506E-06
                  56.3400             2.417706E-06             1.039640E+00             2.088749E-06
                  56.5200             2.433057E-06             1.046241E+00             2.102021E-06
                  56.7000             2.448441E-06             1.052856E+00             2.115321E-06
                  56.8800             2.463856E-06             1.059485E+00             2.128648E-06
                  57.0600             2.479304E-06             1.066127E+00             2.142003E-06
                  57.2400             2.494783E-06             1.072784E+00             2.155386E-06
                  57.4200             2.510294E-06             1.079453E+00             2.168796E-06
                  57.6000             2.525836E-06             1.086137E+00             2.182234E-06
                  57.7800             2.541409E-06             1.092833E+00             2.195699E-06
                  57.9600             2.557013E-06             1.099543E+00             2.209190E-06
                  58.1400             2.572647E-06             1.106266E+00             2.222709E-06
                  58.3200             2.588313E-06             1.113002E+00             2.236254E-06
                  58.5000             2.604008E-06             1.119752E+00             2.249825E-06
                  58.6800             2.619734E-06             1.126514E+00             2.263423E-06
                  58.8600             2.635490E-06             1.133289E+00             2.277047E-06
                  59.0400             2.651275E-06             1.140077E+00             2.290697E-06
                  59.2200             2.667091E-06             1.146878E+00             2.304373E-06
                  59.4000             2.682935E-06             1.153691E+00             2.318074E-06
                  59.5800             2.698809E-06             1.160517E+00             2.331801E-06
                  59.7600             2.714712E-06             1.167355E+00             2.345554E-06
                  59.9400             2.730643E-06             1.174206E+00             2.359331E-06
                  60.1200             2.746603E-06             1.181069E+00             2.373134E-06
                  60.3000             2.762592E-06             1.187944E+00             2.386961E-06
                  60.4800             2.778609E-06             1.194832E+00             2.400813E-06
                  60.6600             2.794654E-06             1.201732E+00             2.414690E-06
                  60.8400             2.810727E-06             1.208643E+00             2.428591E-06
                  61.0200             2.826828E-06             1.215567E+00             2.442517E-06
                  61.2000             2.842956E-06             1.222502E+00             2.456466E-06
                  61.3800             2.859112E-06             1.229449E+00             2.470439E-06
                  61.5600             2.875294E-06             1.236408E+00             2.484436E-06
                  61.7400             2.891504E-06             1.243378E+00             2.498457E-06
                  61.9200             2.907740E-06             1.250360E+00             2.512501E-06
                  62.1000             2.924003E-06             1.257353E+00             2.526568E-06
                  62.2800             2.940292E-06             1.264357E+00             2.540658E-06
                  62.4600             2.956608E-06             1.271373E+00             2.554772E-06
                  62.6400             2.972949E-06             1.278400E+00             2.568908E-06
                  62.8200             2.989316E-06             1.285438E+00             2.583066E-06
                  63.0000             3.005709E-06             1.292487E+00             2.597247E-06
                  63.1800             3.022127E-06             1.299547E+00             2.611451E-06
                  63.3600             3.038571E-06             1.306618E+00             2.625676E-06
                  63.5400             3.055039E-06             1.313700E+00             2.639924E-06
                  63.7200             3.071533E-06             1.320792E+00             2.654193E-06
                  63.9000             3.088051E-06             1.327895E+00             2.668484E-06
                  64.0800             3.104593E-06             1.335009E+00             2.682796E-06
                  64.2600             3.121160E-06             1.342132E+00             2.697130E-06
                  64.4400             3.137751E-06             1.349267E+00             2.711484E-06
                  64.6200             3.154365E-06             1.356411E+00             2.725860E-06
                  64.8000             3.171004E-06             1.363566E+00             2.740257E-06
                  64.9800             3.187666E-06             1.370731E+00             2.754674E-06
                  65.1600             3.204351E-06             1.377906E+00             2.769112E-06
                  65.3400             3.221060E-06             1.385090E+00             2.783570E-06
                  65.5200             3.237791E-06             1.392285E+00             2.798048E-06
                  65.7000             3.254545E-06             1.399489E+00             2.812546E-06
                  65.8800             3.271322E-06             1.406704E+00             2.827065E-06
                  66.0600             3.288121E-06             1.413927E+00             2.841602E-06
                  66.2400             3.304942E-06             1.421161E+00             2.856160E-06
                  66.4200             3.321785E-06             1.428403E+00             2.870736E-06
                  66.6000             3.338650E-06             1.435656E+00             2.885332E-06
                  66.7800             3.355537E-06             1.442917E+00             2.899947E-06
                  66.9600             3.372445E-06             1.450188E+00             2.914581E-06
                  67.1400             3.389374E-06             1.457467E+00             2.929234E-06
                  67.3200             3.406324E-06             1.464756E+00             2.943905E-06
                  67.5000             3.423295E-06             1.472054E+00             2.958594E-06
                  67.6800             3.440287E-06             1.479361E+00             2.973302E-06
                  67.8600             3.457299E-06             1.486676E+00             2.988028E-06
                  68.0400             3.474332E-06             1.494000E+00             3.002771E-06
